"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(1,3)) []","im(S(1,4)) []","im(S(2,1)) []","im(S(2,2)) []","im(S(2,3)) []","im(S(2,4)) []","im(S(3,1)) []","im(S(3,2)) []","im(S(3,3)) []","im(S(3,4)) []","im(S(4,1)) []","im(S(4,2)) []","im(S(4,3)) []","im(S(4,4)) []"
3,-0.374262145246433,-0.163950591382488,0.555077077308515,-0.220920014255814,-0.163950591382495,-0.107612742174098,-0.224769756654785,0.747455220182021,0.555077077308522,-0.224769756654796,-0.380230473328923,-0.158134436938501,-0.220920014255816,0.747455220182024,-0.1581344369385,-0.112860030298365
3.1,-0.193666566622523,0.0119974503285113,0.763754708963647,-0.0794781841527135,0.0119974503285071,-0.00871976523394058,-0.0849865231766054,0.661837658896778,0.763754708963651,-0.084986523176604,-0.201001366651457,0.0173723009974978,-0.0794781841527128,0.661837658896781,0.0173723009975019,-0.0100037543066955
3.2,-0.21502307481662,0.0737787447904288,0.71740356888953,0.046202809534664,0.0737787447904291,0.151331982702057,0.0431024356093115,0.462846428268656,0.717403568889527,0.0431024356093306,-0.219857895220262,0.0760441839516,0.0462028095346806,0.46284642826866,0.0760441839516038,0.15161735019226
3.3,-0.530799747972012,-0.121761510381405,0.31385976097742,-0.00266923226293502,-0.121761510381397,0.196990484044087,-0.00196393753111426,0.0867889355220647,0.31385976097742,-0.00196393753112842,-0.531485881617092,-0.122532923288804,-0.00266923226295147,0.0867889355220557,-0.122532923288803,0.196392092772591
3.4,-0.659741236433574,-0.28254830128017,0.0432319074748541,0.00297821085860889,-0.282548301280171,0.187265460236662,0.00459290575931057,-0.268893010510082,0.0432319074748534,0.00459290575932511,-0.659168366655893,-0.284468901782123,0.00297821085861977,-0.268893010510072,-0.28446890178212,0.187634051263262
3.5,-0.637577304300684,-0.338995089272283,-0.0974961481723835,0.0757468110825966,-0.338995089272278,0.143849593161823,0.0773193908940374,-0.50408394441817,-0.0974961481723819,0.0773193908940229,-0.636764658612734,-0.341247754356567,0.0757468110825858,-0.504083944418173,-0.341247754356568,0.144635123166116
3.6,-0.567966639133543,-0.320279578970911,-0.191766930469463,0.151506431888406,-0.32027957897091,0.0566044952697929,0.153179063834669,-0.63368245813039,-0.191766930469464,0.153179063834663,-0.567063443162787,-0.32246859297988,0.151506431888403,-0.633682458130387,-0.322468592979878,0.05733230913402
3.7,-0.488026087927345,-0.246947594003871,-0.270004763997071,0.204665048225841,-0.246947594003873,-0.0530256958753522,0.206484318047813,-0.677188199076259,-0.270004763997073,0.206484318047812,-0.4870705264815,-0.248711845940852,0.204665048225841,-0.677188199076264,-0.248711845940852,-0.0528166711073054
3.8,-0.407493409593663,-0.13236139609485,-0.344248710372809,0.226112278669824,-0.132361396094844,-0.153810955432897,0.228000548048121,-0.651985358764253,-0.344248710372802,0.228000548048111,-0.406493752840528,-0.133467553707834,0.226112278669814,-0.651985358764256,-0.133467553707842,-0.154052348080288
3.9,-0.325064365637592,0.0122800117374954,-0.422788919712554,0.205352435006217,0.0122800117375066,-0.204805813911336,0.207079627531211,-0.565024719924982,-0.422788919712543,0.207079627531199,-0.32395968331448,0.011864301677149,0.205352435006209,-0.565024719924976,0.0118643016771417,-0.205208889307246
4,-0.240891741048892,0.172912817889009,-0.503299209580518,0.125582528619566,0.172912817889013,-0.159122100127154,0.126613620238667,-0.41883444425885,-0.503299209580514,0.126613620238666,-0.239477252300804,0.173039175791715,0.125582528619572,-0.418834444258864,0.173039175791715,-0.159537008852076
