"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(2,1)) []","re(S(2,2)) []"
3,-0.658035580504215,-0.161365868264157,-0.161365868264155,-0.194843666650173
3.1,-0.679850881751692,-0.305239256869284,-0.305239256869359,0.0377190296672977
3.2,-0.593978165377815,-0.401783045865265,-0.40178304586527,0.255313528861719
3.3,-0.297018543677069,-0.391675806417551,-0.391675806417606,0.469969356686703
3.4,0.0768183823612151,-0.327993400436209,-0.327993400436232,0.654723883333268
3.5,0.226028752587368,-0.343661341859916,-0.343661341859922,0.741289055616443
3.6,0.2124873355949,-0.410528491167068,-0.410528491167083,0.743762611754334
3.7,0.151467170820483,-0.471887326537298,-0.471887326537288,0.689524876447304
3.8,0.0726090497056473,-0.511055224071294,-0.511055224071275,0.590108629979647
3.9,-0.0628567087789536,-0.551742595542675,-0.551742595542634,0.437883184247358
4,-0.111799338061057,-0.5292703926441,-0.529270392644095,0.251365912813494
4.1,-0.203696240660838,-0.485587894744519,-0.485587894744518,0.0428945297688938
4.2,-0.299215447548203,-0.417013610986858,-0.417013610986853,-0.191643979316753
4.3,-0.394017965143021,-0.315263014925235,-0.315263014925234,-0.427274648447084
4.4,-0.494285451010316,-0.180563297731987,-0.180563297732031,-0.622527183102129
4.5,-0.609885814214365,-0.0303762223932678,-0.0303762223933518,-0.713395722872218
4.6,-0.742795897656759,0.0880137676538944,0.088013767653916,-0.633272922424108
4.7,-0.869356846247951,0.113117159283958,0.113117159284066,-0.374898408476967
4.8,-0.945574691688197,0.0276492585532196,0.0276492585530582,-0.0345005086255842
4.9,-0.950451236938755,-0.118899236037354,-0.118899236037268,0.259762963815638
5,-0.901567649430513,-0.262260948758445,-0.262260948757652,0.450523881328697
5.1,-0.825274718955491,-0.361772412109147,-0.361772412108998,0.551050765376494
5.2,-0.736922060154328,-0.406603178535283,-0.406603178535257,0.592407032847159
5.3,-0.641348974990088,-0.405175660539792,-0.405175660539601,0.593971697623601
5.4,-0.538036276646259,-0.366667795456007,-0.366667795455926,0.561258378206876
5.5,-0.425199413790879,-0.298864018645962,-0.298864018645991,0.493325979562441
5.6,-0.304320832293599,-0.213310409052367,-0.213310409052381,0.387907545127559
5.7,-0.18815350605299,-0.13156785014197,-0.131567850141949,0.240284361965952
5.8,-0.109264688919317,-0.0848038177837701,-0.0848038177837655,0.04475119138181
5.9,-0.105111270116744,-0.0881300153864433,-0.0881300153864386,-0.182808454907514
6,-0.168939093333834,-0.108957839426833,-0.108957839426823,-0.391806501777975
6.1,-0.248282090287835,-0.0980739620795927,-0.0980739620795962,-0.54387785233284
6.2,-0.305856816787305,-0.0387849232176246,-0.0387849232176244,-0.637422276679793
6.3,-0.338816664840884,0.0589789043876725,0.0589789043876768,-0.681753161694317
6.4,-0.360129218202345,0.180012368046098,0.18001236804609,-0.679449085443826
6.5,-0.385566118426737,0.309817630564787,0.3098176305648,-0.62353803156038
