"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(1,3)) []","re(S(1,4)) []","re(S(2,1)) []","re(S(2,2)) []","re(S(2,3)) []","re(S(2,4)) []","re(S(3,1)) []","re(S(3,2)) []","re(S(3,3)) []","re(S(3,4)) []","re(S(4,1)) []","re(S(4,2)) []","re(S(4,3)) []","re(S(4,4)) []"
3,-0.175589179744808,0.299191428494348,0.442875316495859,0.146245145457366,0.299191428494346,0.157580222580213,0.14612863875604,0.424853249774118,0.442875316495858,0.14612863875604,-0.176916269879869,0.298723781355696,0.146245145457365,0.424853249774118,0.298723781355696,0.157119671463937
3.1,-0.244659064371788,0.395048204377051,0.402195109831551,0.0657530301936972,0.395048204377048,0.148452609856571,0.0653533213367875,0.203509658902303,0.402195109831549,0.0653533213367871,-0.246208181233293,0.394627400524726,0.0657530301936934,0.203509658902301,0.394627400524726,0.148284809220072
3.2,-0.300035519372815,0.462085331222239,0.34349420374602,-0.0409534380736445,0.462085331222241,0.0861187600623319,-0.0416325229477062,-0.0334245219539222,0.34349420374602,-0.0416325229477031,-0.301720730945897,0.461941478423517,-0.0409534380736457,-0.0334245219539224,0.461941478423516,0.0867766400698357
3.3,-0.328291182067699,0.486287777296156,0.243184116238458,-0.161087081604408,0.486287777296163,-0.0201354994565972,-0.16195889788256,-0.266459734643941,0.243184116238453,-0.161958897882567,-0.32978871404749,0.486802844038325,-0.161087081604411,-0.266459734643944,0.486802844038322,-0.0180952338093941
3.4,-0.276350898032348,0.437918992063956,0.0415297564396552,-0.251491018068873,0.437918992063964,-0.12692377165398,-0.252100585466401,-0.475945417087796,0.0415297564396524,-0.252100585466403,-0.276619357452584,0.439620482041667,-0.251491018068867,-0.475945417087789,0.439620482041671,-0.12330508960868
3.5,-0.0664422557155361,0.255737898003665,-0.335295618443723,-0.213492590301019,0.255737898003666,-0.132451386303309,-0.212592241208567,-0.672957144587719,-0.335295618443726,-0.212592241208585,-0.0631203604689474,0.258899675034264,-0.213492590301038,-0.672957144587743,0.258899675034266,-0.128111442388341
3.6,0.0616519509019292,0.0463940629273125,-0.62710063157996,-0.0993595073484823,0.0463940629273366,0.00566274211280586,-0.0969909285772689,-0.828013881420826,-0.627100631579973,-0.096990928577275,0.0687530061368508,0.0501416630430167,-0.0993595073484635,-0.828013881420806,0.0501416630430345,0.0100780900034008
3.7,-0.113265501891411,0.055021255921953,-0.582596440417355,-0.113163567357114,0.0550212559219541,0.126774716095025,-0.111681288405155,-0.783920286899414,-0.58259644041736,-0.111681288405168,-0.106055104988383,0.0587591816573479,-0.113163567357127,-0.783920286899426,0.0587591816573523,0.131679329316564
3.8,-0.310286167797227,0.170767212022296,-0.467305908263592,-0.147004005469225,0.17076721202231,0.212873556993173,-0.147064350806618,-0.596768348916249,-0.467305908263604,-0.147064350806633,-0.304069463021062,0.174538242984801,-0.147004005469223,-0.596768348916243,0.174538242984812,0.217598367390258
3.9,-0.435075190320817,0.299318575094402,-0.374427953829796,-0.134109209248048,0.299318575094398,0.273692821816551,-0.135399910202961,-0.365858621211117,-0.374427953829793,-0.135399910202967,-0.429593290679766,0.302975033203766,-0.134109209248056,-0.365858621211127,0.302975033203762,0.276728082842072
4,-0.502529364693752,0.409940681103423,-0.297615974747388,-0.082894983435131,0.409940681103418,0.292954322690649,-0.0850313068767081,-0.135758002370781,-0.297615974747385,-0.0850313068767427,-0.49744649738578,0.413013328641232,-0.0828949834351776,-0.135758002370817,0.41301332864123,0.293047757604923
4.1,-0.53286759886424,0.490802889021003,-0.227400083615783,-0.0103027729471331,0.490802889021008,0.262557349637318,-0.0129669625562888,0.0750778144357639,-0.227400083615799,-0.0129669625563492,-0.527944065624055,0.492724560613289,-0.0103027729471801,0.0750778144357407,0.492724560613297,0.259047053695071
4.2,-0.537602186481266,0.535593314827945,-0.156478026607412,0.0718021349095497,0.535593314827951,0.183074007815795,0.068940531725675,0.258912265844205,-0.156478026607439,0.0689405317256353,-0.53277366961203,0.535638446173176,0.0718021349095464,0.25891226584421,0.535638446173182,0.175523180808722
4.3,-0.520077073003618,0.534358138142887,-0.0739491339297745,0.154173828272212,0.534358138142885,0.0633966193718837,0.151693712282801,0.411836783027345,-0.0739491339297816,0.151693712282795,-0.515661704189997,0.531327929429826,0.154173828272216,0.411836783027343,0.531327929429827,0.0516864239694244
4.4,-0.478421445451783,0.467733471646407,0.0387216801065893,0.22161508869859,0.4677334716464,-0.0653929497011388,0.220762478989805,0.531370241723569,0.0387216801066114,0.220762478989725,-0.475642108963023,0.459805152141086,0.221615088698483,0.531370241723521,0.459805152141093,-0.0792464568778354
