"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(2,1)) []","re(S(2,2)) []"
3,0.257828314168923,-0.529700681511911,-0.529700681511913,0.421396083420178
3.1,0.163530716641485,-0.526009617129081,-0.526009617129082,0.174428312292593
3.2,0.0560018268231859,-0.466460975806782,-0.466460975806783,-0.132642513381856
3.3,-0.0733363837582296,-0.354058114784543,-0.354058114784544,-0.464144055358243
3.4,-0.22740884326369,-0.206093200964468,-0.206093200964467,-0.750345132038951
3.5,-0.39819260983458,-0.0627949333635716,-0.0627949333635697,-0.896968524915754
3.6,-0.564438574559974,0.0225059253737688,0.0225059253737692,-0.835105383414709
3.7,-0.700020888714521,0.015655060498015,0.0156550604980134,-0.581565068764793
3.8,-0.789111019156343,-0.0760428861423567,-0.0760428861423574,-0.233842528258626
3.9,-0.831637892019421,-0.215988294474543,-0.215988294474543,0.100764743029154
4,-0.834027195506738,-0.364015433223566,-0.364015433223565,0.359056951664343
4.1,-0.795824207451907,-0.48849351662848,-0.48849351662848,0.525807465567849
4.2,-0.698058636860202,-0.55993108127689,-0.559931081276889,0.618291707285292
4.3,-0.497038856919466,-0.533723441347075,-0.533723441347071,0.678914560926361
4.4,-0.190973224213661,-0.378727514876807,-0.378727514876808,0.759427053535432
4.5,-0.0209721191430151,-0.240195781738065,-0.240195781738069,0.81432210011437
4.6,-0.117056050084111,-0.25487035205099,-0.254870352050987,0.722433552602922
4.7,-0.254017415183913,-0.322303631546074,-0.322303631546072,0.527473519602791
4.8,-0.336491158050437,-0.371571257510176,-0.371571257510177,0.305951497354537
4.9,-0.373856277954325,-0.391449661213638,-0.391449661213641,0.0850876114000939
5,-0.386585074027037,-0.384065949654988,-0.384065949654991,-0.126825852962118
5.1,-0.390412446511914,-0.350874863779391,-0.350874863779393,-0.323887000579364
5.2,-0.397845510552747,-0.290498822551167,-0.290498822551166,-0.497628790521131
5.3,-0.420506006033837,-0.199313182628045,-0.199313182628043,-0.634081955699
5.4,-0.46977542602643,-0.0743289033042385,-0.0743289033042365,-0.710008158333369
5.5,-0.554089392696842,0.0785457548799003,0.0785457548799015,-0.68893940950483
5.6,-0.671050726730211,0.228168871800715,0.228168871800716,-0.524427471332023
5.7,-0.797469726791976,0.308549250275971,0.308549250275975,-0.191530611381653
5.8,-0.891537095244253,0.261078615648762,0.261078615648766,0.24176233897825
5.9,-0.916985743026321,0.110059284670682,0.110059284670684,0.595521846137586
6,-0.866550697200825,-0.0561639555022464,-0.0561639555022462,0.728340068677944
6.1,-0.75806696799139,-0.169956043232003,-0.169956043232001,0.659099034586996
6.2,-0.615749058438822,-0.209573600045594,-0.209573600045591,0.486030558120164
6.3,-0.459019697864661,-0.181068905096532,-0.18106890509653,0.286509724795744
6.4,-0.301408610248566,-0.103577232044206,-0.103577232044205,0.0982855455302656
6.5,-0.152948793781758,-0.00210881073002214,-0.00210881073002191,-0.0656175659265925
