"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(1,3)) []","im(S(1,4)) []","im(S(2,1)) []","im(S(2,2)) []","im(S(2,3)) []","im(S(2,4)) []","im(S(3,1)) []","im(S(3,2)) []","im(S(3,3)) []","im(S(3,4)) []","im(S(4,1)) []","im(S(4,2)) []","im(S(4,3)) []","im(S(4,4)) []"
3,-0.670773087948172,-0.361374657493672,0.0971172888117511,0.0247180386107608,-0.361374657493673,0.16049310752951,-0.0274184574378388,0.0800824721222711,0.0971172888117517,-0.0274184574378372,-0.669849676559293,0.360801985733372,0.0247180386107616,0.0800824721222711,0.360801985733373,0.160562772222225
3.1,-0.66557757456213,-0.414949053558525,-0.0254287754122602,-0.0423258438997657,-0.414949053558527,0.155572411283279,0.0398948036695229,0.3193587228647,-0.0254287754122628,0.0398948036695253,-0.665668828027597,0.413762689659785,-0.0423258438997666,0.319358722864703,0.413762689659782,0.15368683522117
3.2,-0.625360740956548,-0.422545565205687,-0.121642162899568,-0.116767525615029,-0.422545565205688,0.120180201750659,0.11499034647597,0.500981189832506,-0.121642162899569,0.114990346475972,-0.626080121326269,0.420474628661943,-0.11676752561503,0.500981189832509,0.420474628661942,0.115995225747659
3.3,-0.570363520628254,-0.388990955963543,-0.204622771410387,-0.180512322672992,-0.388990955963544,0.054856660829678,0.179520731325445,0.622686447528623,-0.204622771410386,0.179520731325446,-0.571759232055546,0.38569116931568,-0.180512322672992,0.622686447528625,0.385691169315682,0.0484439198139506
3.4,-0.508050553762954,-0.319967107843998,-0.282736539504223,-0.224813469220027,-0.319967107843998,-0.0284167344693876,0.224732368052373,0.686628798010215,-0.282736539504222,0.224732368052373,-0.510417494663055,0.315050421740469,-0.224813469220027,0.686628798010216,0.31505042174047,-0.0366764904832221
3.5,-0.439547670055044,-0.220172679420523,-0.362189585589401,-0.243781160730483,-0.220172679420521,-0.108732194182649,0.244832350658984,0.694814812902832,-0.3621895855894,0.244832350658983,-0.443422747178835,0.213296321818085,-0.243781160730482,0.694814812902832,0.213296321818087,-0.118084290691761
3.6,-0.362869254425664,-0.0945310125279639,-0.447565785381203,-0.228214776912576,-0.0945310125279626,-0.160043004554826,0.230800893622136,0.648977384677881,-0.447565785381198,0.23080089362213,-0.369145993240146,0.0855458796758135,-0.228214776912569,0.648977384677875,0.0855458796758185,-0.168971662577285
3.7,-0.277426097309376,0.0500161374801445,-0.53759192157995,-0.163859449612542,0.0500161374801446,-0.152126865208697,0.168571289514728,0.554548565472139,-0.537591921579945,0.168571289514721,-0.287437734490041,-0.0606980815703407,-0.163859449612532,0.554548565472127,-0.060698081570343,-0.158047221405892
3.8,-0.203822700664757,0.199389265657014,-0.6030404120146,-0.0413761790563214,0.199389265657016,-0.0564094588443255,0.0483518117418977,0.426146675738934,-0.603040412014603,0.0483518117418948,-0.21869514190429,-0.209589470155447,-0.0413761790563232,0.426146675738926,-0.209589470155454,-0.0562610889213779
3.9,-0.236872716410132,0.28786916095087,-0.534134478753351,0.0905160664673282,0.287869160950866,0.111520007040335,-0.0843611298033259,0.271690272370964,-0.534134478753348,-0.084361129803329,-0.253922876062626,-0.292375655082225,0.0905160664673295,0.27169027237096,-0.292375655082226,0.117903762312705
4,-0.444188533309632,0.187874854275125,-0.252985751624381,0.100819932814897,0.187874854275128,0.220483830951096,-0.102040193671507,0.0324922203724603,-0.252985751624381,-0.102040193671512,-0.453669295130225,-0.183617111359057,0.100819932814896,0.0324922203724508,-0.183617111359066,0.22673379049382
4.1,-0.579884168223928,0.00109165165578064,0.00220508677598817,0.0586967721183069,0.00109165165577901,0.192214291182438,-0.0662099016057168,-0.270569155260624,0.00220508677599059,-0.0662099016057194,-0.578605116121505,0.00719747864088885,0.0586967721183066,-0.270569155260624,0.00719747864088971,0.19876673132242
4.2,-0.547759229624075,-0.107484946869524,0.120895900241353,0.0815092794791168,-0.107484946869521,0.109398443317382,-0.089848956138436,-0.493300995988481,0.120895900241357,-0.089848956138436,-0.540557034634178,0.116913464623098,0.0815092794791209,-0.493300995988484,0.116913464623092,0.12086040250549
4.3,-0.445480806531433,-0.129286999672428,0.178140664412263,0.135270197603875,-0.129286999672424,0.00521210122259084,-0.141797974173954,-0.606397214814713,0.17814066441226,-0.141797974173953,-0.435415974258868,0.140308961156335,0.135270197603876,-0.606397214814712,0.140308961156334,0.0227391768846142
4.4,-0.333170423029066,-0.0918899131426426,0.214526413345876,0.180420159254875,-0.0918899131426458,-0.107077395134657,-0.184538562738289,-0.633734872353193,0.214526413345891,-0.184538562738291,-0.321213313849519,0.105234564483896,0.180420159254879,-0.633734872353191,0.105234564483897,-0.0856459246658957
4.5,-0.232477433174961,-0.0147688350552015,0.24071838157198,0.202121350623921,-0.0147688350552056,-0.211202889292195,-0.203928480910797,-0.602005755234393,0.240718381571985,-0.203928480910802,-0.218533214129564,0.0307901554886033,0.202121350623929,-0.602005755234395,0.030790155488597,-0.189331759654324
4.6,-0.150967798997693,0.0890105696329005,0.262583373561199,0.198140817181679,0.0890105696328994,-0.290878613442458,-0.197812898029233,-0.532661748840448,0.262583373561184,-0.197812898029238,-0.134249314338595,-0.0703752382111355,0.198140817181682,-0.532661748840453,-0.0703752382111461,-0.272257782742048
4.7,-0.0927257780621092,0.206823035325999,0.283848933685683,0.170844354457517,0.206823035326,-0.328221121396717,-0.168386109246851,-0.440130037760921,0.283848933685673,-0.168386109246851,-0.0719533978436585,-0.186408202117271,0.170844354457514,-0.440130037760922,-0.186408202117276,-0.316912411814453
4.8,-0.0613481769780046,0.321044250701307,0.303949210229693,0.124236120890315,0.321044250701305,-0.30599001415739,-0.119452325381969,-0.331176448511724,0.303949210229697,-0.119452325381966,-0.0351471898300319,-0.301167594283952,0.124236120890316,-0.331176448511717,-0.301167594283951,-0.306227476586026
4.9,-0.0572942825205723,0.405878255501029,0.317419597348073,0.0633902000278412,0.405878255501025,-0.220330674296641,-0.0562094873794954,-0.203927469764907,0.317419597348074,-0.0562094873794945,-0.0252374681911107,-0.390759715488016,0.0633902000278561,-0.203927469764898,-0.390759715488022,-0.234353149880617
5,-0.0695681945280022,0.432656170330165,0.314569230264793,-0.00631408466869148,0.432656170330165,-0.0969523312769792,0.014912812816514,-0.0481134955445689,0.314569230264782,0.0149128128165099,-0.0338805115382229,-0.427149359374299,-0.0063140846686852,-0.0481134955445669,-0.427149359374317,-0.121907364379305
5.1,-0.0706809518137203,0.389178749347644,0.28433759358626,-0.082027611744922,0.389178749347648,0.0132646744108008,0.0893235735506758,0.14316375521051,0.284337593586249,0.0893235735506703,-0.0366588491140048,-0.395653634729126,-0.082027611744934,0.143163755210508,-0.395653634729139,-0.0153185252005499
5.2,-0.0342517348851486,0.297793209571687,0.220281420805556,-0.161170199644132,0.29779320957169,0.0639054203844721,0.164309110334436,0.345284810344998,0.220281420805554,0.164309110334432,-0.00742212081905062,-0.31465433847812,-0.161170199644133,0.345284810344998,-0.314654338478123,0.0386733180110524
5.3,0.0372288613415151,0.202341783489478,0.125983139504905,-0.227734592075597,0.202341783489481,0.0356544756248226,0.225433361176633,0.503903637445882,0.125983139504904,0.225433361176632,0.053715489336747,-0.226029055855766,-0.227734592075599,0.503903637445884,-0.226029055855768,0.0174700422279566
5.4,0.115520771576404,0.135624365581896,0.0130641011491896,-0.256796473567712,0.135624365581899,-0.0630541603427442,0.249383382689689,0.584201490297497,0.0130641011491889,0.249383382689687,0.120586295696782,-0.162413517540956,-0.256796473567712,0.584201490297497,-0.162413517540956,-0.0734321286457165
5.5,0.172246513812377,0.107765231942078,-0.105942455181208,-0.236995168123323,0.107765231942076,-0.202396622121211,0.226429179857478,0.586567276946334,-0.105942455181204,0.226429179857479,0.166466456877552,-0.134081031198719,-0.236995168123322,0.586567276946334,-0.134081031198717,-0.20651361270279
5.6,0.198763540980016,0.117316577549294,-0.218606213129302,-0.180305073254497,0.11731657754929,-0.340000664221871,0.170023204896734,0.527424118658863,-0.218606213129303,0.170023204896738,0.184599874833459,-0.140237949791039,-0.180305073254499,0.527424118658886,-0.14023794979104,-0.340852936319258
5.7,0.209616759783802,0.161881550099026,-0.308064851249744,-0.114013605626246,0.161881550099022,-0.438131526980777,0.10748904740118,0.422094078431768,-0.30806485124974,0.107489047401178,0.191140455920974,-0.179903761378691,-0.114013605626245,0.422094078431871,-0.17990376137869,-0.437864851885284
5.8,0.22469490232947,0.236413667963793,-0.358814551156405,-0.060080887102992,0.236413667963782,-0.479200026684726,0.058766926166679,0.281993957358398,-0.358814551156396,0.0587669261666751,0.206093906376831,-0.249619027230295,-0.0600808871029913,0.281993957358484,-0.249619027230282,-0.477574841897462
5.9,0.251529909945602,0.326221349387181,-0.370118190652266,-0.0224810011331026,0.326221349387173,-0.464788616637953,0.0255610707640327,0.133035764152296,-0.370118190652263,0.0255610707640363,0.23505468036548,-0.335546453157305,-0.0224810011331002,0.133035764152267,-0.335546453157295,-0.460234076510231
6,0.285542269259562,0.410478233217225,-0.354055639704872,0.00699950022974066,0.410478233217229,-0.404075019605676,-0.00129508491541421,-0.0192483491041763,-0.354055639704875,-0.0012950849154079,0.271263160830082,-0.4165980282362,0.00699950022974448,-0.0192483491041918,-0.416598028236199,-0.395400120857855
