"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(1,3)) []","re(S(1,4)) []","re(S(2,1)) []","re(S(2,2)) []","re(S(2,3)) []","re(S(2,4)) []","re(S(3,1)) []","re(S(3,2)) []","re(S(3,3)) []","re(S(3,4)) []","re(S(4,1)) []","re(S(4,2)) []","re(S(4,3)) []","re(S(4,4)) []"
3,-0.186852091830133,-0.17718477498868,-0.0733932844048026,0.171815398447736,-0.177184774988675,-0.0928561174814736,-0.170954527718988,-0.721290177550345,-0.0733932844048029,-0.170954527718989,-0.187369860918473,0.181073082513245,0.171815398447736,-0.721290177550343,0.181073082513244,-0.0900691535783045
3.1,0.109610934956517,-0.0367267241173633,0.52899249573852,0.152344659387325,-0.036726724117364,0.0145937278143753,-0.149285569861527,-0.798927552496488,0.528992495738519,-0.149285569861523,0.122315477293216,0.0420890844823808,0.152344659387326,-0.79892755249649,0.0420890844823847,0.0187785234414246
3.2,-0.105160384651112,-0.255295384937674,0.479772596089939,0.199316684268532,-0.255295384937675,0.14205812004236,-0.201146878468486,-0.434751609262688,0.479772596089939,-0.201146878468488,-0.0949845754243002,0.2591689888279,0.199316684268532,-0.434751609262685,0.2591689888279,0.145032888890984
3.3,-0.247475093651565,-0.411777895655769,0.416521723638752,0.0845995012961829,-0.41177789565577,0.157044627078255,-0.0874891049226752,0.0277348829383996,0.416521723638752,-0.0874891049226744,-0.239316378268261,0.414024695788117,0.0845995012961807,0.027734882938402,0.414024695788116,0.154915737943744
3.4,-0.370181901904169,-0.420925350256413,0.308954660264158,-0.127485296833865,-0.420925350256416,-0.00684527578921501,0.126175037201196,0.503930274982828,0.308954660264155,0.126175037201196,-0.364495200118541,0.420603431915307,-0.127485296833866,0.503930274982826,0.420603431915302,-0.0122034297707629
3.5,-0.196619944626554,-0.180347354015593,-0.179226376422473,-0.180400154634311,-0.180347354015595,-0.0352443538000355,0.182784343665369,0.829958351839695,-0.17922637642248,0.182784343665364,-0.196267627626679,0.178039302008551,-0.180400154634297,0.829958351839704,0.17803930200856,-0.0395421132140643
3.6,-0.103794617002319,-0.164212837519978,-0.526084741018901,-0.178378858320663,-0.164212837519977,0.123163354547262,0.179533567064096,0.604309947556419,-0.526084741018905,0.179533567064096,-0.103066544753931,0.163361730441612,-0.17837885832066,0.60430994755642,0.163361730441613,0.119279965433298
3.7,-0.309812679854735,-0.387552489591044,-0.414396556973797,-0.155920630303992,-0.387552489591031,0.236366283706746,0.156655093763822,0.114750686032966,-0.414396556973795,0.156655093763823,-0.30880976599935,0.387425111178196,-0.155920630303994,0.114750686032964,0.387425111178194,0.234150424176252
3.8,-0.40551151908004,-0.49066266388578,-0.323164731803067,-0.00425470829222879,-0.490662663885799,0.165753317342488,0.00370173460354651,-0.3285016550992,-0.323164731803067,0.00370173460354692,-0.405233008296399,0.491319272565977,-0.00425470829223326,-0.328501655099201,0.49131927256602,0.166114690349904
3.9,-0.460399114761832,-0.424548804169357,-0.15985681036675,0.194400150605902,-0.424548804169354,-0.0336553321762448,-0.196306444171951,-0.677369353886402,-0.159856810366747,-0.196306444171961,-0.461055581451684,0.427938844776588,0.194400150605904,-0.677369353886414,0.427938844776587,-0.0289108899047156
