"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(2,1)) []","re(S(2,2)) []"
3,0.451051052273671,-0.326795244855219,-0.326795244855219,0.736612131645159
3.1,0.338637402793602,-0.446149553226821,-0.446149553226822,0.67416385254555
3.2,0.241587935360729,-0.529316529832136,-0.529316529832137,0.568192686431277
3.3,0.152482736552089,-0.575852510968234,-0.575852510968235,0.415338282549519
3.4,0.0653478523163073,-0.584375872880194,-0.584375872880196,0.215292750815055
3.5,-0.0249604590593037,-0.552947226758753,-0.552947226758754,-0.0266347625345482
3.6,-0.123306904354803,-0.480615089687388,-0.480615089687387,-0.295413504751974
3.7,-0.234159941512372,-0.370398991447509,-0.370398991447509,-0.560677004152814
3.8,-0.360220108131294,-0.234118215222175,-0.234118215222174,-0.772278329431745
3.9,-0.499316349311964,-0.0972989336924311,-0.0972989336924305,-0.86557342091876
4,-0.640827414563864,0.00245225572577127,0.00245225572577108,-0.78833892118562
4.1,-0.766262055382483,0.0310703490375926,0.0310703490375904,-0.543393167485538
4.2,-0.857549107558574,-0.0197079703729293,-0.0197079703729312,-0.204041312327517
4.3,-0.906534493389493,-0.126718332522298,-0.126718332522297,0.129066297005583
4.4,-0.915322463130783,-0.252360112813129,-0.252360112813129,0.387367608603271
4.5,-0.889039732941677,-0.363050682464596,-0.363050682464602,0.554031964203911
4.6,-0.829890816947032,-0.434513694776797,-0.434513694776804,0.647504412705525
4.7,-0.736535085623837,-0.449641999624789,-0.449641999624787,0.69831755959508
4.8,-0.609666477007603,-0.402320446270705,-0.402320446270701,0.730186886755678
4.9,-0.466155990043502,-0.312567607623002,-0.312567607623018,0.742779415433934
5,-0.347764000650872,-0.228112759558355,-0.228112759558378,0.705752695568245
5.1,-0.279705709798148,-0.187215135394408,-0.187215135394414,0.587772818907405
5.2,-0.240798061301978,-0.191635654261604,-0.191635654261606,0.396626566960319
5.3,-0.215091444607506,-0.223381352126778,-0.223381352126793,0.172408236444164
5.4,-0.207176787140061,-0.264354316726878,-0.264354316726896,-0.0457702536424948
5.5,-0.221910470478483,-0.298940337795726,-0.298940337795729,-0.234679559863847
5.6,-0.256045980852104,-0.311715660762009,-0.311715660762007,-0.385926504131404
5.7,-0.300727183757469,-0.290567458954591,-0.290567458954597,-0.501238627376167
5.8,-0.346543690014418,-0.231995158603971,-0.23199515860398,-0.586093344162973
5.9,-0.387401113826748,-0.140214206515174,-0.140214206515178,-0.642925790114038
6,-0.422247163544282,-0.0220034341165802,-0.0220034341165806,-0.667059465341517
6.1,-0.454980523304526,0.115587777654525,0.115587777654525,-0.645851228462458
6.2,-0.493164596604435,0.262903309853325,0.262903309853324,-0.559455828676188
6.3,-0.545578495421748,0.402263692699002,0.402263692699001,-0.384113112547879
6.4,-0.617189734561691,0.501717636094019,0.501717636094023,-0.105056719230766
6.5,-0.699073356422084,0.515355031221106,0.515355031221112,0.249402961490735
