"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(1,3)) []","re(S(1,4)) []","re(S(2,1)) []","re(S(2,2)) []","re(S(2,3)) []","re(S(2,4)) []","re(S(3,1)) []","re(S(3,2)) []","re(S(3,3)) []","re(S(3,4)) []","re(S(4,1)) []","re(S(4,2)) []","re(S(4,3)) []","re(S(4,4)) []"
3,-0.125805332902276,0.311235140503016,0.463979224967066,-0.155154109935861,0.311235140503013,0.139578300781649,0.156625950045425,-0.267485604395784,0.46397922496707,0.156625950045426,-0.120902436842882,-0.312999873800489,-0.155154109935859,-0.267485604395778,-0.312999873800494,0.140123930626683
3.1,-0.269501206849181,0.393271555938521,0.408945996959442,0.0221879149649629,0.39327155593852,0.0485601930926726,-0.0195702284692658,0.200541417289406,0.408945996959447,-0.0195702284692653,-0.262949841316564,-0.394845222956851,0.0221879149649588,0.200541417289413,-0.394845222956849,0.0445431402974133
3.2,-0.32105679780327,0.304059176781622,0.185737744422331,0.19884114639769,0.304059176781615,-0.0893762397129255,-0.198568133801469,0.655178311516921,0.185737744422319,-0.19856813380148,-0.31669600691479,-0.300238774621316,0.198841146397695,0.655178311516933,-0.300238774621312,-0.0985716022173345
3.3,0.0883937237388303,0.0440743561118931,-0.512917839782909,0.11360217162897,0.0440743561118903,0.0149817902971565,-0.122083317601896,0.851824667086811,-0.512917839782946,-0.122083317601921,0.0772565850406263,-0.0323935037878839,0.113602171629007,0.85182466708681,-0.0323935037878604,0.0065179954878126
3.4,-0.113810200319713,0.222619465214523,-0.496908888210735,0.197948735482802,0.22261946521447,0.136710792980069,-0.199382155172924,0.524345863793591,-0.49690888821075,-0.199382155172933,-0.123931723174709,-0.21370150737506,0.197948735482816,0.524345863793616,-0.213701507375053,0.127314367488385
3.5,-0.272898581036998,0.402490013169532,-0.413584386446748,0.13483879263937,0.402490013169399,0.206464997773047,-0.132408970612798,0.0883545805273666,-0.41358438644669,-0.132408970612767,-0.281127740275366,-0.397355375153822,0.134838792639316,0.0883545805274172,-0.397355375153825,0.204591167980626
3.6,-0.374812893285798,0.471319863536029,-0.327854721028036,-0.0295544749169432,0.471319863535922,0.100783235818931,0.0335604918112242,-0.344307699349041,-0.327854721028066,0.0335604918112118,-0.381742559489865,-0.470959539622685,-0.0295544749169155,-0.344307699348977,-0.470959539622685,0.106800293046744
3.7,-0.426521436822863,0.382038059256804,-0.132209146408597,-0.214045247353355,0.382038059256682,-0.0669210542687474,0.216108030403799,-0.700105894043389,-0.132209146408561,0.216108030403839,-0.42987001878715,-0.38668374001771,-0.214045247353404,-0.70010589404336,-0.386683740017708,-0.0603124305277316
3.8,-0.127080922183185,0.104952580377671,0.460858111307801,-0.144805811642079,0.104952580377554,0.0513121923396797,0.142790753431875,-0.802904000608433,0.460858111307828,0.142790753431907,-0.118716385504343,-0.107545078545454,-0.144805811642126,-0.802904000608396,-0.107545078545462,0.0524635006435446
3.9,-0.294472731730628,0.256073555929102,0.46389026543964,-0.181796752345777,0.256073555929076,0.209823008106244,0.182827825526929,-0.376934460103708,0.463890265439645,0.182827825526937,-0.291268678618377,-0.254323407548187,-0.181796752345792,-0.376934460103706,-0.254323407548187,0.209181020586147
4,-0.432990360781695,0.442177176485925,0.354949483946443,-0.10555838149444,0.442177176485925,0.272259558425924,0.104640469695647,0.0877266157712022,0.354949483946444,0.104640469695647,-0.433903680635875,-0.440573587789502,-0.105558381494438,0.0877266157712028,-0.4405735877895,0.272451931088082
4.1,-0.486519999565539,0.501800216690621,0.25845756151052,0.047828618561475,0.50180021669062,0.145556903784575,-0.0510510418970269,0.450010378521511,0.258457561510522,-0.0510510418970223,-0.489603843419079,-0.502723011944884,0.0478286185614724,0.45001037852151,-0.502723011944887,0.151388188450829
4.2,-0.498717201947728,0.396565816950629,0.0802815071011174,0.212132859833846,0.396565816950624,-0.0434750252001692,-0.214553762619352,0.696061818686801,0.0802815071011208,-0.214553762619351,-0.500975152518223,-0.403659332967896,0.212132859833841,0.696061818686797,-0.403659332967895,-0.0344462254792132
4.3,-0.357022639230887,0.125874075448056,-0.336598816024519,0.189138340156164,0.125874075448062,0.0665302247586802,-0.183109338670241,0.706652696008617,-0.336598816024521,-0.183109338670244,-0.345253516285467,-0.137220806223831,0.189138340156165,0.706652696008618,-0.137220806223829,0.0676064471877891
4.4,-0.480881458643923,0.217374783004758,-0.392264785250952,0.167599456651744,0.21737478300476,0.268530031848871,-0.167881391270029,0.227829492267081,-0.392264785250952,-0.167881391270027,-0.469357261379391,-0.222092377556661,0.167599456651743,0.227829492267078,-0.222092377556661,0.269728591979926
4.5,-0.56874152821604,0.404514957057266,-0.305612034430523,0.0685169706277505,0.404514957057268,0.301114467056237,-0.0702774131024142,-0.234588435658026,-0.305612034430524,-0.0702774131024107,-0.561850677733486,-0.406654348195421,0.068516970627746,-0.234588435658026,-0.406654348195422,0.297603733209683
4.6,-0.568718117922156,0.456580840291313,-0.221736340655744,-0.0701036119829156,0.456580840291308,0.138885680915128,0.0696712731166351,-0.504516868973624,-0.221736340655743,0.0696712731166295,-0.564058478937839,-0.456865848830907,-0.070103611982915,-0.504516868973618,-0.456865848830912,0.133962625959619
4.7,-0.547342921574688,0.339064421412538,-0.0846960461653634,-0.195874611841006,0.339064421412547,-0.0487317720283139,0.197052775706988,-0.655453451298251,-0.0846960461653635,0.197052775706976,-0.544405601706523,-0.337955808228083,-0.195874611840924,-0.655453451298286,-0.337955808228088,-0.051574835710511
4.8,-0.522082433311088,0.0987680470787453,0.173201452556236,-0.224295593558807,0.0987680470788038,0.032341699663875,0.225783627246744,-0.604369507993848,0.173201452556209,0.225783627246616,-0.520110241763653,-0.0973611121598724,-0.224295593558735,-0.604369507993834,-0.097361112159863,0.0314694213281722
4.9,-0.581359510006179,0.110859186538039,0.331748630465254,-0.162463299698838,0.110859186538029,0.251590059744337,0.162634597900592,-0.114003734766567,0.331748630465258,0.162634597900583,-0.579547253943394,-0.110257238728045,-0.162463299698828,-0.11400373476655,-0.110257238728045,0.25107040015209
5,-0.603947575059152,0.290788314228046,0.317487030883347,-0.0318950296664414,0.290788314228042,0.247273870150784,0.0310708528705896,0.341963244109878,0.31748703088335,0.0310708528705956,-0.602559324796466,-0.291070655217644,-0.031895029666444,0.341963244109876,-0.291070655217645,0.248181838472295
5.1,-0.568076911586287,0.351098841359085,0.248665779104475,0.089750550314839,0.35109884135909,0.0679681200831573,-0.0914341920039135,0.556297240443088,0.248665779104474,-0.0914341920039158,-0.567264003195017,-0.352587965624136,0.0897505503148406,0.556297240443085,-0.352587965624135,0.0713865648420615
5.2,-0.538437002615185,0.24873326732031,0.136565635424875,0.190813043660706,0.248733267320319,-0.0898631375635559,-0.192722116795987,0.635544359311348,0.13656563542488,-0.192722116795996,-0.537914999971669,-0.252880229399662,0.190813043660714,0.635544359311359,-0.252880229399658,-0.0848955404691769
5.3,-0.555145460708586,0.0458132369145078,-0.0742086451068145,0.252453117175895,0.0458132369145269,-0.0402152361126208,-0.251878164598395,0.488900358605309,-0.0742086451068236,-0.251878164598408,-0.55184870567519,-0.0538403868189231,0.252453117175892,0.488900358605309,-0.0538403868189162,-0.0390616738807066
5.4,-0.577344383931558,-0.00157997377314809,-0.328279148358574,0.147650194539716,-0.00157997377314963,0.201569657519226,-0.144376757664035,-0.0106118131694356,-0.32827914835857,-0.14437675766403,-0.566432351857623,-0.00553577772058706,0.147650194539712,-0.0106118131694281,-0.00553577772058525,0.197172874019725
5.5,-0.533063393681539,0.173928534210118,-0.389940185184124,-0.0185869846250207,0.173928534210118,0.193495193433939,0.0186310014598165,-0.459360284670122,-0.389940185184123,0.0186310014598188,-0.520749994026769,-0.17553360665032,-0.0185869846250198,-0.459360284670123,-0.175533606650321,0.188215162472776
5.6,-0.497188174520883,0.271430118392037,-0.286163003963712,-0.100371328486794,0.271430118392045,-0.000984164058522886,0.0994574777331476,-0.609431501805381,-0.286163003963712,0.0994574777331448,-0.488949886889724,-0.270199003851903,-0.100371328486794,-0.609431501805379,-0.270199003851901,-0.00719009938854279
5.7,-0.480016029067316,0.186609716556844,-0.139377440753362,-0.171065746063262,0.18660971655683,-0.155058079162707,0.171592049292838,-0.5722720667262,-0.139377440753359,0.171592049292834,-0.47559108634249,-0.18487123868148,-0.171065746063255,-0.572272066726198,-0.184871238681473,-0.159684496331561
5.8,-0.489590730285996,-0.0176161111345466,0.0626002074768246,-0.238941710634221,-0.0176161111345095,-0.136445037380899,0.239547639328414,-0.347440912453517,0.0626002074768297,0.239547639328399,-0.488158385955253,0.0174242884981312,-0.238941710634223,-0.347440912453526,0.0174242884981334,-0.138826931326157
5.9,-0.502200874222184,-0.130263863372777,0.343136540158406,-0.15361458151889,-0.130263863372768,0.121382450238803,0.150854837052048,0.153890194043313,0.343136540158409,0.15085483705204,-0.498695719180626,0.126606122501439,-0.153614581518889,0.153890194043311,0.126606122501438,0.119552351252651
6,-0.426836638108998,0.0348954269587879,0.461682432583398,0.0427989216973892,0.0348954269587801,0.12718372114425,-0.043258124008066,0.569712380124734,0.461682432583393,-0.0432581240080691,-0.418817983233783,-0.0359584504051825,0.0427989216973971,0.569712380124744,-0.0359584504051774,0.129485941895544
6.1,-0.435765359813248,0.182048662114135,0.272795841071302,0.0931885865024152,0.182048662114143,-0.113725013676339,-0.0907750131814385,0.609796514877803,0.272795841071311,-0.0907750131814319,-0.430404003163659,-0.179817341015642,0.0931885865024142,0.609796514877804,-0.179817341015641,-0.112771496446986
6.2,-0.417464932619722,0.0895925244329394,0.0893882764912287,0.157902266063886,0.0895925244329734,-0.263727480671573,-0.157444701868554,0.449737903967329,0.0893882764912239,-0.157444701868547,-0.41558233263793,-0.0859003156092343,0.157902266063887,0.449737903967339,-0.0859003156092338,-0.263617977871777
6.3,-0.387276586893997,-0.12272410634002,-0.0791380941166607,0.226720255480254,-0.122724106340071,-0.253200182714288,-0.227912425684034,0.186084995840078,-0.0791380941166522,-0.227912425684036,-0.384951454290651,0.126984225842919,0.226720255480254,0.186084995840054,0.126984225842922,-0.25098166545113
6.4,-0.352863135242676,-0.285300460450327,-0.330125229920726,0.173928406848536,-0.285300460449407,0.000535977030001766,-0.174222387288512,-0.260291064387424,-0.330125229920836,-0.174222387288474,-0.350483785809258,0.287377801502457,0.173928406848546,-0.26029106438734,0.287377801502633,0.00433843691809794
6.5,-0.31997772886274,-0.137590770856801,-0.495530551027741,-0.0449416254876914,-0.137590770856799,0.0476786412108849,0.0458419561797798,-0.628502023184986,-0.495530551027742,0.0458419561797812,-0.316786415535011,0.137429878863591,-0.044941625487697,-0.628502023184982,0.137429878863596,0.051178459016229
