"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(2,1)) []","im(S(2,2)) []"
3,-0.150753048962978,-0.0858825262381122,-0.0858825262381119,-0.781324934080428
3.1,-0.0325117050656369,-0.0987308559802109,-0.0987308559802117,-0.70561915535975
3.2,0.0878728536781384,-0.108808041698898,-0.108808041698899,-0.61738129097896
3.3,0.208478629836626,-0.11463762242128,-0.114637622421281,-0.522823166988222
3.4,0.327257444176069,-0.114978354942917,-0.114978354942917,-0.428018226910112
3.5,0.442103929148226,-0.109162548687274,-0.109162548687274,-0.337532868391879
3.6,0.550895031739688,-0.0973204089748882,-0.0973204089748883,-0.253346346178938
3.7,0.651475138827786,-0.0803573794914098,-0.0803573794914101,-0.174687752786433
3.8,0.74159440861737,-0.0596741465197422,-0.0596741465197424,-0.0989769592172853
3.9,0.818843023987984,-0.0367622141190757,-0.0367622141190762,-0.0234374690185484
4,0.88063374507638,-0.0128576741711976,-0.0128576741711981,0.0533458822888974
4.1,0.924264345727584,0.0112291883249877,0.0112291883249871,0.130473765476308
4.2,0.947060640582283,0.0350950485132845,0.035095048513284,0.204558964049522
4.3,0.946580485174994,0.0585909211196157,0.0585909211196155,0.270241038051789
4.4,0.920853341267508,0.0816099008132083,0.0816099008132083,0.321203552494885
4.5,0.868631150495507,0.103881712989782,0.103881712989782,0.351489009573511
4.6,0.789626901948525,0.124828156727985,0.124828156727985,0.356870249184796
4.7,0.684715238939057,0.143519995691941,0.143519995691941,0.33598127172631
4.8,0.556066714246595,0.158753991535268,0.158753991535268,0.290903205968929
4.9,0.407187334644305,0.169235240862922,0.169235240862922,0.227009758703512
5,0.242840770620968,0.17381407236962,0.17381407236962,0.152095065869476
5.1,0.068843236546452,0.171706500141061,0.171706500141061,0.0750399841342004
5.2,-0.108260648852726,0.162635363645897,0.162635363645896,0.00439899908607607
5.3,-0.281612352854891,0.146862023478149,0.146862023478148,-0.0527471063188309
5.4,-0.444498307631831,0.125118006875737,0.125118006875737,-0.0914842114120738
5.5,-0.590797916067943,0.0984738201596217,0.0984738201596217,-0.109293948038229
5.6,-0.715366992690254,0.0681903482508792,0.0681903482508795,-0.105933168322676
5.7,-0.814315042890598,0.0355905043347892,0.0355905043347893,-0.0831227016536216
5.8,-0.885153975488063,0.00197394724587057,0.00197394724587028,-0.0441885077913697
5.9,-0.92681698367878,-0.0314167303901598,-0.0314167303901609,0.00624725632638463
6,-0.939564439987863,-0.0633806879564795,-0.0633806879564811,0.0624823730333149
6.1,-0.92480545667212,-0.0927047321664311,-0.0927047321664325,0.117874904503376
6.2,-0.884868299033002,-0.11808979043523,-0.11808979043523,0.164999191362293
6.3,-0.822751121752687,-0.138092430524593,-0.138092430524591,0.196006758832945
6.4,-0.741878656542381,-0.151139597645323,-0.151139597645321,0.203478507892817
6.5,-0.645882834561053,-0.155697829371923,-0.155697829371922,0.182038264827545
