"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(1,3)) []","im(S(1,4)) []","im(S(2,1)) []","im(S(2,2)) []","im(S(2,3)) []","im(S(2,4)) []","im(S(3,1)) []","im(S(3,2)) []","im(S(3,3)) []","im(S(3,4)) []","im(S(4,1)) []","im(S(4,2)) []","im(S(4,3)) []","im(S(4,4)) []"
3,0.0160346263012616,-0.0059807809970946,0.947097623447428,0.0203487387861914,-0.00598078099709507,0.0542367425581049,-0.0205004436367273,-0.62272297534143,0.947097623447426,-0.020500443636727,0.00546792123863188,0.00579218831309485,0.0203487387861915,-0.622722975341434,0.00579218831309483,0.0522666728816455
3.1,-0.0182941723423435,-0.0195678509873916,0.86970191772284,0.0334599143529057,-0.0195678509873929,0.0391347181627597,-0.0335239587544186,-0.467789484193275,0.869701917722844,-0.0335239587544204,-0.027852528084817,0.0193002275339858,0.0334599143529059,-0.467789484193274,0.0193002275339847,0.0375742441161142
3.2,-0.0805421997722775,-0.0344852124533365,0.753150755390941,0.0472201905928613,-0.0344852124533371,0.0193463758054503,-0.0471861259568951,-0.293312557839533,0.753150755390944,-0.0471861259568948,-0.0886986945140736,0.0341411920161111,0.04722019059286,-0.293312557839529,0.0341411920161089,0.018329767007401
3.3,-0.160484261697527,-0.0484305084935814,0.607685156655649,0.0595071296051159,-0.0484305084935811,-0.00220032376787201,-0.0593746924800613,-0.107323760489018,0.60768515665565,-0.0593746924800636,-0.166981632462561,0.0480272588925202,0.0595071296051164,-0.107323760489014,0.0480272588925182,-0.0025636306833171
3.4,-0.246657099479066,-0.0591364516285892,0.445353044112833,0.0680882000818372,-0.0591364516285888,-0.0231264265624562,-0.0678693923749552,0.0816888928418961,0.445353044112834,-0.0678693923749594,-0.251370063337678,0.0587050830826903,0.0680882000818371,0.0816888928418988,0.0587050830826893,-0.0227660790340727
3.5,-0.328126973345515,-0.0647683706042877,0.277860926721507,0.0711560833620699,-0.0647683706042881,-0.0414571063313633,-0.0708727057479595,0.264751092875627,0.277860926721509,-0.0708727057479556,-0.3310490795164,0.0643503232862265,0.0711560833620717,0.264751092875628,0.0643503232862264,-0.0403499358353555
3.6,-0.395943618890548,-0.0641228909089212,0.11490129316515,0.0676576236998124,-0.0641228909089225,-0.0555061257323821,-0.067336200639846,0.432517183265587,0.114901293165153,-0.0673362006398422,-0.397162558216479,0.0637649739512382,0.0676576236998142,0.432517183265586,0.0637649739512383,-0.0536815912761757
3.7,-0.444069915487093,-0.0566862794389578,-0.036733837404313,0.0573721184279616,-0.0566862794389593,-0.0638668484504932,-0.0570393334211139,0.575703224498541,-0.0367338374043105,-0.0570393334211098,-0.443733253078987,0.0564356065383085,0.0573721184279632,0.57570322449854,0.0564356065383083,-0.0614106759935471
3.8,-0.469628572124309,-0.0426596839069085,-0.173262558239471,0.0408746585638095,-0.0426596839069094,-0.0655525932896205,-0.0405548865179617,0.685925241241251,-0.173262558239472,-0.0405548865179601,-0.467907800818567,0.0425586334870894,0.0408746585638097,0.685925241241251,0.0425586334870888,-0.0626067689605324
3.9,-0.472504996138281,-0.0230114252993356,-0.293449391863871,0.0195228465490844,-0.0230114252993355,-0.0602974537320867,-0.0192373676424776,0.756867448304051,-0.293449391863873,-0.0192373676424776,-0.469566937032517,0.0230920425207079,0.0195228465490841,0.756867448304051,0.0230920425207076,-0.0570528533385696
