"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(2,1)) []","im(S(2,2)) []"
3,-0.159039196327042,-0.0534905647841516,-0.0534905647841519,0.742855996039594
3.1,-0.0406697362472867,-0.0423984659089717,-0.0423984659089718,0.718858786394746
3.2,0.0807147895604432,-0.0282097449455281,-0.0282097449455282,0.671250279988583
3.3,0.203422180423864,-0.0112429844243804,-0.0112429844243802,0.605589872506198
3.4,0.325518081696867,0.00790690307953559,0.00790690307953551,0.528416810413753
3.5,0.444818145210102,0.0283467816576691,0.0283467816576689,0.44633506446855
3.6,0.558889160763751,0.0488943311519334,0.0488943311519335,0.364972359373855
3.7,0.665062363515843,0.0681323828162198,0.0681323828162198,0.28802194578813
3.8,0.760461447145048,0.0845171198255483,0.0845171198255484,0.216628758220834
3.9,0.842046836421829,0.0965339271340191,0.0965339271340189,0.149355146346635
4,0.906677429139155,0.102874260443146,0.102874260443147,0.0828194612817064
4.1,0.951192383589892,0.102591707588266,0.102591707588266,0.0128696553124781
4.2,0.972518957339906,0.0951987241518154,0.0951987241518154,-0.0640588785591431
4.3,0.96781724293235,0.0806927134797273,0.0806927134797275,-0.14981469784982
4.4,0.934678708021756,0.0595429869125183,0.0595429869125186,-0.243904945884498
4.5,0.871405968894133,0.0327137511528253,0.032713751152825,-0.343385528714836
4.6,0.777424492211179,0.00183208811384948,0.00183208811384945,-0.443049499963938
4.7,0.653917951165256,-0.0303816856275391,-0.0303816856275395,-0.535638663275818
4.8,0.504793322258793,-0.0594051098020436,-0.0594051098020436,-0.612049494872908
4.9,0.337839147749076,-0.0783916267070554,-0.0783916267070554,-0.66224268330166
5,0.164946133363145,-0.0794416009820681,-0.0794416009820686,-0.678595648671607
5.1,-0.00109093249092273,-0.058680450544037,-0.058680450544037,-0.66234640870857
5.2,-0.153323918154601,-0.0223989639610253,-0.0223989639610264,-0.62712055247635
5.3,-0.29355683572765,0.0150493205366015,0.0150493205366017,-0.590694510144762
5.4,-0.426186512746464,0.0418782164244008,0.041878216424393,-0.562088348084629
5.5,-0.551388190869851,0.0548717799196896,0.0548717799196881,-0.539471950423463
5.6,-0.66484003771888,0.0567144972766426,0.0567144972766434,-0.51676302813275
5.7,-0.7607837156194,0.0515766001480256,0.0515766001480272,-0.488846292298656
5.8,-0.834350468647005,0.0429131555246336,0.0429131555246363,-0.452978859775612
5.9,-0.882451540138941,0.0330296838766492,0.0330296838766526,-0.408370401739102
6,-0.903836046548531,0.023293423225789,0.0232934232257879,-0.355458728338169
6.1,-0.898820244700325,0.0144365657438908,0.0144365657438911,-0.29536012120307
6.2,-0.868927485575483,0.00679420394842932,0.0067942039484301,-0.229528105519383
6.3,-0.816534190634214,0.000463874972333095,0.000463874972333435,-0.159556068209974
6.4,-0.74455811926835,-0.00459336690483826,-0.00459336690483835,-0.0870649262304777
6.5,-0.65620154886099,-0.00849028104527935,-0.00849028104527928,-0.0136381286988609
