"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(2,1)) []","im(S(2,2)) []"
3,-0.900084558750112,-0.0162900621223089,-0.016290062122309,-0.784563378668674
3.1,-0.937719653275887,-0.027030308258149,-0.0270303082581469,-0.709543510066366
3.2,-0.964910565397789,-0.0367321471529993,-0.0367321471529975,-0.622210396892901
3.3,-0.981841216527802,-0.0445531193891415,-0.0445531193891407,-0.528027955499161
3.4,-0.988773820231202,-0.0497146441180973,-0.0497146441180972,-0.432258719826976
3.5,-0.986020864539146,-0.0516920030173612,-0.0516920030173612,-0.338994110802987
3.6,-0.973916428738142,-0.0503710059267907,-0.0503710059267903,-0.25026275331808
3.7,-0.952797102661494,-0.0460960738266611,-0.0460960738266606,-0.165776295872626
3.8,-0.923000934524193,-0.0395836800247408,-0.0395836800247404,-0.0836572018985197
3.9,-0.884883362145992,-0.0317441991220477,-0.0317441991220477,-0.0019048731679848
4,-0.838839568160074,-0.0234910762088766,-0.0234910762088768,0.0801051096043059
4.1,-0.785321401456995,-0.0155998206513801,-0.0155998206513804,0.160730371093387
4.2,-0.724843353732422,-0.00863692671776249,-0.00863692671776267,0.236000195540075
4.3,-0.657979101535913,-0.00294541844416402,-0.00294541844416408,0.300249465385887
4.4,-0.585353132223846,0.00133711703658806,0.00133711703658798,0.347203143950075
4.5,-0.507631350447405,0.00424676779419195,0.00424676779419177,0.371284918247936
4.6,-0.425512699031715,0.00595646779779006,0.00595646779778974,0.368923854413071
4.7,-0.339722325584937,0.00673552426040286,0.00673552426040249,0.339586404364282
4.8,-0.251006070045997,0.00690500452612125,0.0069050045261209,0.286244927716523
4.9,-0.160125836117035,0.00679076515596024,0.00679076515595994,0.215096309711944
5,-0.0678554597960864,0.00667938177812888,0.00667938177812864,0.134570204912427
5.1,0.0250231826334685,0.00678377766497386,0.00678377766497359,0.0539113833100114
5.2,0.11772396271282,0.00722348952300247,0.00722348952300212,-0.0182552541491968
5.3,0.209460234405504,0.00802022809053331,0.00802022809053287,-0.0750274007956932
5.4,0.299448524016706,0.009105125766013,0.00910512576601255,-0.111830745935271
5.5,0.386912187310552,0.0103318469849449,0.0103318469849445,-0.126555953428718
5.6,0.47108509570103,0.0114900757278433,0.011490075727843,-0.119374528972995
5.7,0.551215515238604,0.0123160356659204,0.0123160356659204,-0.0924073567704169
5.8,0.626570499648618,0.0124996197160249,0.0124996197160251,-0.0493844811198308
5.9,0.696441324040072,0.0116908767171876,0.0116908767171881,0.00462462639326136
6,0.760150696200976,0.00951212220128755,0.00951212220128827,0.0633936847410557
6.1,0.817062577080391,0.00558609541050747,0.00558609541050819,0.119683974899095
6.2,0.866595164149193,-0.00040519093638806,-0.000405190936387852,0.165478735907881
6.3,0.908236515635989,-0.0086153037217226,-0.00861530372172367,0.192531141999734
6.4,0.941559958048641,-0.0188771695735489,-0.0188771695735517,0.193514115199381
6.5,0.966232862762531,-0.0305264567877757,-0.0305264567877798,0.163949277384558
