"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(1,3)) []","im(S(1,4)) []","im(S(2,1)) []","im(S(2,2)) []","im(S(2,3)) []","im(S(2,4)) []","im(S(3,1)) []","im(S(3,2)) []","im(S(3,3)) []","im(S(3,4)) []","im(S(4,1)) []","im(S(4,2)) []","im(S(4,3)) []","im(S(4,4)) []"
3,-0.550188541035967,0.00839852585206939,0.369427640637238,0.0232627696039981,0.00839852585206907,-0.124138566126844,0.0232550940025044,0.749665720109406,0.369427640637239,0.0232550940025041,-0.54819130137951,0.00854923582044497,0.0232627696039979,0.749665720109405,0.00854923582044525,-0.124604889420682
3.1,-0.507450623104014,0.00406193308843458,0.443246708277029,0.0256780734811953,0.0040619330884344,-0.0890740726108158,0.0256485687496872,0.801151147120157,0.443246708277029,0.0256485687496868,-0.50489509734644,0.00422896364445294,0.0256780734811953,0.801151147120156,0.00422896364445442,-0.0895426442756574
3.2,-0.45822583480937,0.000245202337496045,0.513899217180719,0.0266156239039397,0.000245202337495627,-0.056243802930642,0.0265661113622087,0.837089210049881,0.513899217180719,0.0265661113622084,-0.455076306591987,0.00042667514544332,0.0266156239039397,0.83708921004988,0.000426675145444409,-0.056701210848249
3.3,-0.403275468629231,-0.00341503421139495,0.580582431409881,0.026267657967032,-0.0034150342113953,-0.02559032320028,0.0261978068242025,0.855600093290648,0.580582431409882,0.0261978068242023,-0.399504509540413,-0.00321850876090208,0.026267657967032,0.855600093290648,-0.0032185087609016,-0.0260239113100194
3.4,-0.343509207677627,-0.00715605536963958,0.642417272553212,0.0248714477572022,-0.00715605536963965,0.00337067412193241,0.0247785125383208,0.855077673959337,0.642417272553213,0.0247785125383207,-0.339099801061371,-0.00694591038953349,0.0248714477572021,0.855077673959338,-0.00694591038953336,0.0029712458732879
3.5,-0.27999402570878,-0.0111311239326973,0.698445091263344,0.0226590815075906,-0.0111311239326971,0.0313649323593758,0.0225385318645717,0.8343128896362,0.698445091263345,0.0225385318645716,-0.274941824312844,-0.0109109042552648,0.0226590815075905,0.834312889636199,-0.0109109042552648,0.0310068043766635
3.6,-0.21396006796031,-0.0154297656349829,0.747625702467559,0.0198316399631898,-0.0154297656349826,0.0592095379873513,0.0196782020129838,0.792609202261661,0.74762570246756,0.0196782020129837,-0.208275755275042,-0.0152041745793104,0.0198316399631897,0.79260920226166,-0.0152041745793103,0.0588964668397765
3.7,-0.146801691831116,-0.0200819812920504,0.788837796684972,0.0165517051672727,-0.0200819812920501,0.0876898053586333,0.0163605142919519,0.729888927235135,0.788837796684973,0.0163605142919518,-0.140513402639643,-0.0198559997116307,0.0165517051672726,0.729888927235132,-0.0198559997116306,0.0874225322000659
3.8,-0.0800713766138411,-0.0250517619245674,0.82088341689393,0.0129468886123005,-0.0250517619245673,0.117436063850867,0.0127146531158537,0.646799872451527,0.820883416893932,0.0127146531158536,-0.0732271121451381,-0.0248302686565337,0.0129468886123004,0.646799872451523,-0.0248302686565336,0.117213089326869
3.9,-0.0154637332216806,-0.0302245115545458,0.842498888391847,0.00911906603183063,-0.030224511554546,0.148763424992204,0.00884526852049955,0.544844880484374,0.842498888391849,0.00884526852049956,-0.00813367778720043,-0.0300126653537903,0.00911906603183065,0.54484488048437,-0.0300126653537904,0.148582114876484
4,0.0452135806966123,-0.0353934252755617,0.852375385809484,0.00515655693247211,-0.035393425275562,0.181432546851501,0.00484476989156257,0.426567237315695,0.852375385809486,0.00484476989156271,0.0529349747812152,-0.0351979328517345,0.00515655693247214,0.426567237315691,-0.0351979328517348,0.181290555694432
4.1,0.100085527116065,-0.0402509925869923,0.849193159135735,0.00114855907198086,-0.0402509925869926,0.214294067464164,0.000807934340726842,0.295821189187468,0.849193159135737,0.000807934340727138,0.108077874628591,-0.0400820867394897,0.00114855907198087,0.295821189187466,-0.0400820867394902,0.214191062399924
4.2,0.14727549496864,-0.0443923228635051,0.831674210861683,-0.00279737378704642,-0.0443923228635053,0.244813859409975,-0.00315047257107123,0.158117972577408,0.831674210861684,-0.00315047257107076,0.155391494313255,-0.0442657761987776,-0.00279737378704651,0.158117972577408,-0.0442657761987783,0.24475338431653
4.3,0.184994597030328,-0.0473354126245422,0.798658746821229,-0.00653301300755413,-0.0473354126245424,0.268579671605725,-0.00687347181575329,0.0209337938117305,0.798658746821229,-0.00687347181575263,0.193060081936677,-0.0472733929726911,-0.00653301300755436,0.0209337938117318,-0.0472733929726918,0.268570645645864
4.4,0.211657305715403,-0.048559053117567,0.749210768905491,-0.00984003892924403,-0.0485590531175673,0.27909946274327,-0.0101331819943802,-0.106319120072707,0.74921076890549,-0.0101331819943794,0.219472794837455,-0.0485884628496689,-0.00984003892924441,-0.106319120072706,-0.0485884628496695,0.279156296927439
4.5,0.226025551526728,-0.0475531692116934,0.68275740438869,-0.0123921384363023,-0.0475531692116943,0.268459751059796,-0.0125949313533472,-0.213153726015019,0.682757404388689,-0.0125949313533463,0.233369875366231,-0.0477006643868026,-0.0123921384363027,-0.21315372601502,-0.047700664386803,0.268599769376806
4.6,0.227382442547021,-0.0438728221700412,0.599264462680667,-0.0137117529731212,-0.0438728221700427,0.229400860751796,-0.0137780856700187,-0.290146246119036,0.599264462680667,-0.0137780856700175,0.234019131350632,-0.0441569720748656,-0.0137117529731216,-0.290146246119038,-0.0441569720748657,0.229638425957418
4.7,0.215734880439642,-0.0371904331950538,0.499446230659549,-0.0131380467901366,-0.0371904331950562,0.158570612737455,-0.0130301738371492,-0.332126128763836,0.499446230659554,-0.0130301738371473,0.22142204659161,-0.037612928447807,-0.0131380467901369,-0.332126128763837,-0.0376129284478069,0.158909517111976
4.8,0.192038592878655,-0.0273529498865063,0.384998031903927,-0.00985332146452584,-0.0273529498865089,0.0592465392399383,-0.00955813981703351,-0.340977667312003,0.384998031903936,-0.00955813981703044,0.196542946292369,-0.0278916907623315,-0.00985332146452613,-0.340977667312002,-0.0278916907623314,0.0596743952286
4.9,0.158421011994326,-0.0144684611189912,0.258819124851572,-0.00306469532111449,-0.0144684611189935,-0.0587271212721499,-0.00260280933549741,-0.325983008394883,0.258819124851584,-0.0026028093354929,0.161536207113105,-0.0150754581918654,-0.00306469532111572,-0.325983008394881,-0.0150754581918654,-0.058239268281859
5,0.118329760034753,0.000940360460285762,0.125148404300619,0.00753948831231165,0.000940360460284264,-0.182166426185594,0.00813652980974992,-0.300876197889258,0.12514840430063,0.00813652980975453,0.119898085213352,0.00033381877384418,0.00753948831230861,-0.300876197889256,0.000333818773844051,-0.181659294389772
5.1,0.0764393012935218,0.0176946746560377,-0.0105469876859166,0.0211078983660539,0.0176946746560371,-0.298685798391028,0.0218445336546741,-0.279129994508892,-0.0105469876859113,0.0218445336546757,0.0763731885150102,0.0171641247416217,0.0211078983660506,-0.279129994508893,0.0171641247416216,-0.298204467252437
5.2,0.0380382169163766,0.0336992288958096,-0.142183454569752,0.035303949628502,0.0336992288958091,-0.399218353785925,0.0361399985306585,-0.270019885145225,-0.142183454569752,0.0361399985306598,0.0363340111380795,0.0333056115685971,0.0353039496285024,-0.270019885145226,0.0333056115685971,-0.398804779495782
5.3,0.00768799879691999,0.04593378149688,-0.264371085880702,0.0471588239929784,0.045933781496879,-0.478331938541142,0.0477903233642756,-0.276941448050109,-0.264371085880703,0.0477903233642987,0.00442117158082931,0.0457017575824187,0.0471588239929746,-0.276941448050108,0.0457017575824188,-0.478018718903683
5.4,-0.0124837354529665,0.0511392771146302,-0.37411458814121,0.0536764862585178,0.0511392771146287,-0.533337387834997,0.0544470435020319,-0.297940211413892,-0.374114588141207,0.0544470435020292,-0.017188525621644,0.0510490242470285,0.0536764862585041,-0.297940211413891,0.0510490242470288,-0.533143506389479
