"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(2,1)) []","re(S(2,2)) []"
3,-0.976774645675117,0.0362649698324191,0.036264969832419,-0.26242850048844
3.1,-0.985304474914289,0.0217749232487054,0.0217749232487056,-0.362293385906571
3.2,-0.97899189889134,0.00315554513838331,0.00315554513838321,-0.44182403217767
3.3,-0.957200049908691,-0.0189306875107786,-0.0189306875107788,-0.499849683759619
3.4,-0.919571799249366,-0.0431818545036594,-0.0431818545036591,-0.53771329200241
3.5,-0.86602524638406,-0.0677927624737489,-0.0677927624737482,-0.559020879279677
3.6,-0.79671250139905,-0.0907980876662968,-0.0907980876662959,-0.568492568945524
3.7,-0.711974196705788,-0.110507529513535,-0.110507529513534,-0.570272380488067
3.8,-0.61233655606076,-0.125841656297822,-0.125841656297821,-0.566463319833365
3.9,-0.498580513943363,-0.136427118168411,-0.13642711816841,-0.556556690147854
4,-0.3718737752814,-0.142447760818864,-0.142447760818863,-0.537907406051882
4.1,-0.233926085699205,-0.144361057183496,-0.144361057183495,-0.506923351830722
4.2,-0.0871225124274585,-0.142612394061232,-0.142612394061232,-0.46048196524182
4.3,0.0653976803290788,-0.137437215170999,-0.137437215170999,-0.397189615740617
4.4,0.219733726168559,-0.128787229875383,-0.128787229875383,-0.318248338867728
4.5,0.371295450766347,-0.116380063823175,-0.116380063823175,-0.22778257926099
4.6,0.514958099377856,-0.0998493568795715,-0.0998493568795712,-0.132533272578653
4.7,0.645298944048108,-0.0789534923489283,-0.0789534923489281,-0.040920039992229
4.8,0.756907278822276,-0.0537840085441165,-0.0537840085441166,0.0383686053681305
4.9,0.844748287113805,-0.0249088407607576,-0.0249088407607577,0.097927198585256
5,0.904548471024117,0.00659819506561322,0.00659819506561337,0.132920057508592
5.1,0.933159537015144,0.0392525010402386,0.0392525010402391,0.141778797827112
5.2,0.928852926592895,0.0713460012114214,0.0713460012114219,0.126199964151549
5.3,0.891501589492699,0.101166810553332,0.101166810553332,0.0905633048083252
5.4,0.822619709022155,0.127190793502338,0.127190793502338,0.041030961278938
5.5,0.725252423732027,0.148205695637384,0.148205695637384,-0.0154008020981741
5.6,0.603731162288257,0.163357059257611,0.163357059257611,-0.0717061861041597
5.7,0.463330200726389,0.172128172926305,0.172128172926305,-0.121408772268961
5.8,0.309871863755419,0.174278559421575,0.174278559421576,-0.15894429997015
5.9,0.14932952969984,0.169768509969617,0.169768509969618,-0.179875005293237
6,-0.0125296344155027,0.158695488871644,0.158695488871644,-0.181053343987596
6.1,-0.170433246005667,0.141266045886816,0.141266045886815,-0.160844792744484
6.2,-0.319809387612956,0.117825803317683,0.117825803317681,-0.119512032952898
6.3,-0.45690842630308,0.0889672203417208,0.088967220341719,-0.0598108694396742
6.4,-0.578849713245896,0.0557202568688338,0.0557202568688335,0.0123036628798453
6.5,-0.683607507473101,0.0197877404397066,0.019787740439708,0.0872652000394745
