"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(1,3)) []","re(S(1,4)) []","re(S(2,1)) []","re(S(2,2)) []","re(S(2,3)) []","re(S(2,4)) []","re(S(3,1)) []","re(S(3,2)) []","re(S(3,3)) []","re(S(3,4)) []","re(S(4,1)) []","re(S(4,2)) []","re(S(4,3)) []","re(S(4,4)) []"
3,-0.287354437874749,-0.00936999787906742,0.166613815683113,-0.0171537051990654,-0.00936999787906757,-0.152973629701038,-0.017196640291433,-0.348771483052285,0.166613815683113,-0.017196640291433,-0.28884047497867,-0.00945238490537474,-0.0171537051990654,-0.348771483052286,-0.00945238490537469,-0.153623785061879
3.1,-0.232044972878701,-0.00160869540803509,0.004031036513299,-0.0208829316230469,-0.00160869540803805,-0.121050120595919,-0.0210248403008283,-0.497903410561393,0.00403103651329745,-0.0210248403008193,-0.232172353769234,-0.00177394876405944,-0.0208829316230423,-0.497903410561388,-0.0017739487640558,-0.121992470841355
3.2,-0.164707187639655,0.00618998923587658,-0.167157876078064,-0.0246927333106686,0.00618998923587202,-0.0882594606535708,-0.0249478607848084,-0.63153057042033,-0.167157876078066,-0.0249478607847854,-0.163200617219195,0.00593500650120174,-0.0246927333106759,-0.631530570420325,0.00593500650120471,-0.0894389438993481
3.3,-0.0930128445547449,0.0130004030818906,-0.338741497092941,-0.027642472110417,0.0130004030818874,-0.0554361582198936,-0.0280125363795121,-0.744156929147541,-0.338741497092942,-0.0280125363794904,-0.0896914289642526,0.0126505972418705,-0.0276424721104293,-0.744156929147538,0.0126505972418715,-0.0567992967882834
3.4,-0.0256003461938991,0.0176638612788474,-0.501260491886039,-0.0286493105429694,0.0176638612788472,-0.0231276034991475,-0.0291200709112165,-0.830588094024389,-0.501260491886037,-0.0291200709112096,-0.020417815304326,0.0172163879992932,-0.0286493105429746,-0.830588094024388,0.0172163879992934,-0.0246220228448275
3.5,0.0291710176703658,0.0190473848304032,-0.645225203743231,-0.0266655224697963,0.0190473848304049,0.00825768362255173,-0.0272031539599824,-0.886273920138206,-0.645225203743226,-0.0272031539599906,0.0361076695130407,0.0185031911513192,-0.0266655224697898,-0.886273920138206,0.0185031911513207,0.00668522554753579
3.6,0.0644375114474899,0.0162332241310908,-0.762537944453961,-0.0209030920725233,0.016233224131092,0.0383223381995618,-0.0214525175094562,-0.907709240985326,-0.762537944453955,-0.0214525175094694,0.0728748374954689,0.0155994706317421,-0.0209030920725105,-0.907709240985325,0.0155994706317456,0.0367289373333527
3.7,0.0758017538538716,0.00870084707882887,-0.847712408610645,-0.0110365122847307,0.00870084707882833,0.0665667514375789,-0.0115243544516244,-0.892828751550546,-0.847712408610638,-0.0115243544516324,0.0853690524633092,0.0079932339631284,-0.0110365122847207,-0.892828751550545,0.00799323396313288,0.0650169223687888
3.8,0.0618910867955231,-0.00353247593340315,-0.898531813068331,0.00267736046709382,-0.00353247593340396,0.0922851928940272,0.00233388301689379,-0.841335899210348,-0.898531813068326,0.00233388301689357,0.0721447690816251,-0.00428874754553662,0.00267736046709667,-0.841335899210347,-0.00428874754553249,0.0908542892233994
3.9,0.0244050281248212,-0.0198265668154524,-0.916007200265025,0.0193728043867996,-0.0198265668154506,0.11447970367458,0.0192521267791251,-0.754943282795381,-0.916007200265022,0.0192521267791279,0.0348797889149113,-0.0205979201789447,0.0193728043867972,-0.754943282795382,-0.020597920178941,0.11325568427012
4,-0.032352470768807,-0.0388810433657864,-0.903753351698955,0.0376015726602233,-0.038881043365781,0.131830679881887,0.0377618748075243,-0.637556161541548,-0.903753351698952,0.0377618748075241,-0.0220936927261143,-0.0396284202225882,0.0376015726602201,-0.637556161541551,-0.0396284202225836,0.130911364614239
4.1,-0.102348419952285,-0.0587354150321996,-0.867045852127284,0.0553700725085511,-0.0587354150321933,0.142816068034578,0.0558339000236423,-0.495450744297343,-0.86704585212728,0.0558339000236375,-0.0926731590245659,-0.0594178862075383,0.0553700725085492,-0.495450744297345,-0.0594178862075314,0.14229775189192
4.2,-0.178903332999141,-0.07683117471624,-0.811810193570014,0.0702087782813673,-0.0768311747162372,0.146117405226394,0.0709505035937739,-0.337414837085898,-0.81181019357001,0.0709505035937673,-0.170083640512217,-0.0774093745283271,0.0702087782813645,-0.337414837085898,-0.0774093745283187,0.146071801475893
4.3,-0.255747241594879,-0.0902321804333886,-0.743687237660039,0.0793929570571869,-0.0902321804333916,0.141359747403099,0.0803325012737332,-0.174600594938129,-0.743687237660036,0.0803325012737287,-0.24795344196128,-0.0906715879603631,0.0793929570571807,-0.174600594938128,-0.0906715879603565,0.141803104993342
4.4,-0.327849290037789,-0.0961512083848652,-0.667238063781,0.0804806158790239,-0.0961512083848705,0.129801779228521,0.0814893058455917,-0.0196169775254529,-0.667238063780998,0.0814893058455903,-0.321163109004732,-0.0964260615311962,0.0804806158790155,-0.0196169775254499,-0.0964260615311944,0.130670865241477
4.5,-0.391885395231398,-0.0928228434222019,-0.585384969613012,0.072190005907273,-0.0928228434222038,0.114049476075709,0.0731142319035268,0.115484609387033,-0.585384969613013,0.0731142319035273,-0.386325406243104,-0.0929209771428698,0.072190005907267,0.115484609387035,-0.0929209771428725,0.115201387815298
4.6,-0.446263600025037,-0.0803951859267279,-0.499291796157788,0.0552502870892485,-0.0803951859267246,0.0963634356724557,0.0559503820937014,0.22192706656445,-0.49929179615779,0.0559503820937031,-0.441810180301113,-0.0803223007639577,0.055250287089248,0.22192706656445,-0.0803223007639619,0.0976040371537614
4.7,-0.490690932924747,-0.0611569158160533,-0.408846576366352,0.032547079244591,-0.0611569158160489,0.0769288038274222,0.0329352732565711,0.296298696984105,-0.408846576366354,0.0329352732565749,-0.487298144028182,-0.0609375456027471,0.0325470792445937,0.296298696984104,-0.0609375456027505,0.0780619309507554
4.8,-0.525411681080309,-0.0386906179899437,-0.313569657356544,0.008216397718165,-0.0386906179899423,0.0539063934163185,0.00827371297532497,0.340714578951269,-0.313569657356545,0.00827371297533098,-0.523002270627901,-0.0383642191520772,0.00821639771816582,0.340714578951268,-0.0383642191520799,0.0547853942731455
4.9,-0.550457659771122,-0.0164424178931697,-0.213422940749516,-0.0137927375329419,-0.0164424178931714,0.0250559648408832,-0.0140265656724214,0.361028232430121,-0.213422940749517,-0.0140265656724152,-0.548908661787196,-0.0160556400532461,-0.0137927375329451,0.36102823243012,-0.0160556400532492,0.0256129820137538
5,-0.565301696846051,0.00332613747247304,-0.109104849333506,-0.0307609638972048,0.00332613747247113,-0.0106343193243463,-0.0312124758585038,0.364340932337742,-0.109104849333507,-0.0312124758585,-0.564431591798467,0.0037282837587685,-0.0307609638972099,0.364340932337741,0.00372828375876538,-0.010390705428754
5.1,-0.569025078325528,0.0197445131220003,-0.00187351676086152,-0.0414193251056179,0.0197445131219999,-0.0522002877727468,-0.0420051997233753,0.357105760863457,-0.00187351676086228,-0.0420051997233744,-0.568588521493425,0.0201261293199003,-0.0414193251056213,0.357105760863456,0.0201261293198985,-0.0522065035432472
5.2,-0.560743507193986,0.0329568857077431,0.106780131471954,-0.0455953868196349,0.0329568857077434,-0.0967799278748295,-0.0462371764065608,0.344297798055735,0.106780131471954,-0.0462371764065609,-0.560434408343466,0.0332961882081772,-0.0455953868196348,0.344297798055734,0.033296188208177,-0.0969404877878813
5.3,-0.53996391431485,0.0436172350443416,0.215357874031383,-0.0437258020056399,0.0436172350443406,-0.140184414447649,-0.0443557680853938,0.329415979962005,0.215357874031385,-0.0443557680853922,-0.539425528690451,0.0439092710859994,-0.0437258020056378,0.329415979962004,0.043909271086,-0.140387753151779
5.4,-0.506747322687052,0.0525098946235435,0.322412407632514,-0.0365007769653676,0.0525098946235401,-0.177688019389618,-0.0370622781815355,0.3148873058917,0.322412407632516,-0.0370622781815312,-0.505587177137903,0.0527677471538221,-0.0365007769653663,0.3148873058917,0.0527677471538217,-0.177815617981233
5.5,-0.461743440779603,0.0603338991368141,0.426480685160609,-0.0247034668935996,0.0603338991368098,-0.204850829723216,-0.0251491526204041,0.302559916793393,0.426480685160611,-0.0251491526203991,-0.459551016544905,0.0605890479724068,-0.0247034668936006,0.302559916793393,0.060589047972405,-0.204784783429551
5.6,-0.406203967317207,0.0675951493364976,0.52595415037411,-0.00921229447797111,0.0675951493364956,-0.218263048648223,-0.00950228551284855,0.294128740132427,0.525954150374111,-0.00950228551284657,-0.402570500825761,0.0678971102510196,-0.00921229447797264,0.294128740132427,0.0678971102510181,-0.217896656619419
5.7,-0.342029463599418,0.0745388303394108,0.6189324775004,0.00888413398035693,0.0745388303394138,-0.216166629793537,0.00878266541593011,0.291415081365981,0.618932477500398,0.00878266541592597,-0.336571103941478,0.0749533658204942,0.00888413398035926,0.29141508136598,0.0749533658204969,-0.215418611758199
5.8,-0.271838698715662,0.0810695142821572,0.703094077102888,0.0281089668425619,0.0810695142821646,-0.198941295116134,0.0282197470548923,0.296402923173725,0.703094077102884,0.0282197470548835,-0.264225234468532,0.0816735960693895,0.0281089668425713,0.296402923173726,0.0816735960693997,-0.197769524041673
5.9,-0.199001682763121,0.0866255948296479,0.775615527443085,0.0464190045659366,0.0866255948296549,-0.169413461593114,0.0467513087131253,0.310845740779034,0.775615527443078,0.0467513087131179,-0.188992314645722,0.0874960079787526,0.0464190045659504,0.310845740779035,0.0874960079787682,-0.167821567914039
6,-0.127554728919618,0.0900069188979382,0.833180967307243,0.0611256775237104,0.0900069188979399,-0.132879394624672,0.061665485610863,0.335193620034353,0.83318096730724,0.0616654856108618,-0.11503969811737,0.0911988051374568,0.0611256775237185,0.335193620034355,0.091198805137467,-0.13091160960797
6.1,-0.0619255618833458,0.0892332633141049,0.872133763551831,0.0690535128096723,0.0892332633141065,-0.0966963491713305,0.0697524226895758,0.366811516060793,0.872133763551833,0.0697524226895742,-0.0469682953570324,0.0907476110161008,0.0690535128096668,0.366811516060791,0.0907476110160924,-0.0944227640575468
6.2,-0.00644879979232799,0.0816716779189127,0.888824708256444,0.0670684825774327,0.0816716779189387,-0.0693582375737103,0.0678338083007723,0.398301577406424,0.888824708256453,0.0678338083007505,0.0106808848092762,0.0834205068564511,0.0670684825774217,0.398301577406418,0.0834205068564306,-0.0668605627716231
6.3,0.0352582021434785,0.0648334238508241,0.880188933788755,0.0530016027526736,0.0648334238508988,-0.059134927704918,0.0536932239527406,0.417829077744571,0.88018893378877,0.0536932239526859,0.0540708244478317,0.0666254998729828,0.0530016027526825,0.417829077744564,0.0666254998729919,-0.0565049437131779
6.4,0.0608991812838707,0.0380057463457701,0.844526281125659,0.0267795524330204,0.0380057463458611,-0.0725099411388678,0.027220518134043,0.412792681449407,0.844526281125675,0.0272205181339836,0.0806999082451807,0.0395732130749791,0.0267795524330573,0.412792681449406,0.0395732130750443,-0.0698644197042455
6.5,0.0698905020012033,0.00381650355806056,0.782360106772036,-0.00866969611140173,0.00381650355806107,-0.112670563023638,-0.00866104799579322,0.374980362398465,0.782360106772037,-0.00866104799579405,0.0898206595693898,0.00486795273354944,-0.0086696961114009,0.374980362398463,0.00486795273355068,-0.110170766583909
