"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(2,1)) []","re(S(2,2)) []"
3,-0.980044646350183,-0.0657112028710213,-0.0657112028710216,-0.0825616219387457
3.1,-0.991197086026289,-0.0775626186013223,-0.0775626186013224,0.0521417311012737
3.2,-0.987810783391296,-0.0874315216957311,-0.0874315216957307,0.172985670333713
3.3,-0.968946990203378,-0.0944220940798936,-0.0944220940798931,0.275547785891762
3.4,-0.933812233466053,-0.0976580928429348,-0.0976580928429353,0.357595524682413
3.5,-0.881810436257258,-0.0963724364969019,-0.0963724364969011,0.419378142156175
3.6,-0.812604202654905,-0.0900167287012646,-0.0900167287012647,0.463502951586845
3.7,-0.72618395454208,-0.0783787022651233,-0.0783787022651237,0.494321913788022
3.8,-0.62294276857358,-0.0616847575429597,-0.0616847575429598,0.516873289985358
3.9,-0.503754797176715,-0.0406577434703557,-0.0406577434703557,0.535584425858726
4,-0.370056309302739,-0.0165049699232678,-0.0165049699232679,0.553081306420757
4.1,-0.223930010792856,0.00916757816300337,0.00916757816300344,0.569474709206367
4.2,-0.0681940040137581,0.0344880017921764,0.0344880017921764,0.582346062687036
4.3,0.0935045315060379,0.0574470762025874,0.0574470762025875,0.587389839483152
4.4,0.256593877133337,0.0759701568427122,0.0759701568427121,0.579430926447507
4.5,0.415488387062755,0.0879084965786471,0.0879084965786476,0.553466445815287
4.6,0.563527639812311,0.0909880543788155,0.0909880543788155,0.505522384795006
4.7,0.693022488777025,0.0828709163690992,0.0828709163690982,0.433408693115001
4.8,0.795658094035994,0.0617005015481712,0.0617005015481706,0.337790410389027
4.9,0.863847823331922,0.0277397038403532,0.0277397038403535,0.22405719561655
5,0.893732666960358,-0.0137605411614681,-0.0137605411614687,0.104319483628487
5.1,0.888734920855636,-0.0510219081408986,-0.0510219081408985,-0.00427820061731965
5.2,0.858701072852597,-0.0708354186446219,-0.0708354186446218,-0.0888930095363549
5.3,0.812101954956229,-0.0685853716691748,-0.0685853716691745,-0.150630397303512
5.4,0.750092067662615,-0.0507402195051388,-0.0507402195051363,-0.201064917114835
5.5,0.669418048552652,-0.0273560875187039,-0.0273560875186944,-0.250795257508398
5.6,0.567953316513106,-0.00551825324455477,-0.00551825324455503,-0.304067917399362
5.7,0.44684819269587,0.0116971762340121,0.0116971762340168,-0.360275946976642
5.8,0.309939074705868,0.0237536847468808,0.0237536847468794,-0.416803729267213
5.9,0.162496677135462,0.0312436876478081,0.0312436876478079,-0.470759510744563
6,0.0102115639895148,0.035099093547262,0.0350990935472596,-0.519665316074746
6.1,-0.141459592120491,0.0362447903421064,0.0362447903421067,-0.561624459050852
6.2,-0.287669148286606,0.0354758888779406,0.0354758888779409,-0.595294086836939
6.3,-0.4243641392666,0.0334313715329501,0.0334313715329505,-0.619805878917275
6.4,-0.548346607674415,0.030604395171479,0.0306043951714789,-0.634685779523712
6.5,-0.657253200102859,0.0273639000004496,0.0273639000004495,-0.639786679213808
