"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(2,1)) []","re(S(2,2)) []"
3,0.415432958961527,0.058151189837653,0.058151189837653,-0.263860921844025
3.1,0.319479190951162,0.0536912957334981,0.0536912957334992,-0.365144365794735
3.2,0.221537939324352,0.0466385399710979,0.0466385399710997,-0.446781359351025
3.3,0.122648827156667,0.0372285698449199,0.0372285698449215,-0.507922471766797
3.4,0.023761129802266,0.0260571652941886,0.0260571652941892,-0.549627358698669
3.5,-0.0742689508860154,0.0140471969924141,0.0140471969924138,-0.574736311170385
3.6,-0.170667498622827,0.00229996952220124,0.00229996952220059,-0.587062439540393
3.7,-0.264718471217702,-0.00812827535476687,-0.00812827535476731,-0.590020476539789
3.8,-0.355734549667198,-0.0164373789285257,-0.0164373789285258,-0.585286239969409
3.9,-0.443036560536492,-0.0222028029563984,-0.0222028029563984,-0.572204599507104
4,-0.525949519818649,-0.0253800443121985,-0.0253800443121985,-0.548241543904892
4.1,-0.603813129956858,-0.026225667467037,-0.0262256674670371,-0.510191895934699
4.2,-0.675998320885941,-0.025186879003623,-0.0251868790036231,-0.455593911196405
4.3,-0.741922205832816,-0.0227989030087043,-0.0227989030087042,-0.383914132658425
4.4,-0.801058064883356,-0.0196061385475253,-0.0196061385475248,-0.297279874595789
4.5,-0.852940509945949,-0.0161063087635476,-0.0161063087635469,-0.200659511152887
4.6,-0.897167442914476,-0.0127110220083906,-0.0127110220083898,-0.101435767818817
4.7,-0.933400404658751,-0.00971809149632288,-0.00971809149632203,-0.00838642143421695
4.8,-0.961364365812235,-0.00729541244336865,-0.00729541244336782,0.0697665566303964
4.9,-0.980847478409535,-0.00547899776379316,-0.00547899776379229,0.125905369447252
5,-0.991700960451679,-0.00418696853817821,-0.00418696853817727,0.155746862229228
5.1,-0.993839112890302,-0.00324756929403576,-0.00324756929403476,0.158433530871386
5.2,-0.987239413172166,-0.00243523441540727,-0.0024352344154063,0.136399207867108
5.3,-0.971942641046513,-0.00150700113345728,-0.00150700113345645,0.09467019251224
5.4,-0.948053037572333,-0.000233034587738432,-0.000233034587737831,0.039896147658678
5.5,-0.915738556250666,0.00158139826505179,0.00158139826505213,-0.0206075262618615
5.6,-0.875231319526029,0.00408138411719368,0.00408138411719374,-0.0796300792356556
5.7,-0.826828424741283,0.0073514673370869,0.00735146733708676,-0.130595812139895
5.8,-0.770893219609546,0.0114034296182482,0.0114034296182479,-0.167893314380683
5.9,-0.70785703698086,0.0161578091895697,0.0161578091895695,-0.187092121299591
6,-0.638221065767726,0.0214154160017953,0.0214154160017953,-0.185154438969848
6.1,-0.562557449987644,0.0268182055852765,0.0268182055852771,-0.160749200677572
6.2,-0.481507808743295,0.0318058729096883,0.0318058729096896,-0.114750498306447
6.3,-0.395776319636745,0.0355881352809736,0.0355881352809756,-0.0509191247124808
6.4,-0.306113955839491,0.0371731994481359,0.0371731994481378,0.0234315408853553
6.5,-0.213291796319163,0.0355100179794034,0.035510017979404,0.0973137905937627
