"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(1,3)) []","re(S(1,4)) []","re(S(2,1)) []","re(S(2,2)) []","re(S(2,3)) []","re(S(2,4)) []","re(S(3,1)) []","re(S(3,2)) []","re(S(3,3)) []","re(S(3,4)) []","re(S(4,1)) []","re(S(4,2)) []","re(S(4,3)) []","re(S(4,4)) []"
3,-0.316097055539007,0.0397828508581452,-0.662762303811241,-0.0214794773498653,0.0397828508581451,-0.235138903387914,-0.021351601062581,-0.416364227852484,-0.662762303811243,-0.0213516010625814,-0.319742015562692,0.0396913803936286,-0.0214794773498651,-0.416364227852484,0.0396913803936281,-0.234810946059505
3.1,-0.370452034424951,0.0391157683299199,-0.62253208156216,-0.0156516762622661,0.0391157683299217,-0.237508933564903,-0.0155217890194185,-0.306887312669934,-0.622532081562163,-0.0155217890194189,-0.374098072705651,0.0390597876928802,-0.015651676262266,-0.306887312669935,0.0390597876928812,-0.237255696723974
3.2,-0.418759069881134,0.0386030971563839,-0.57435983769713,-0.00981456782505201,0.0386030971563855,-0.235695402709489,-0.00968425798516694,-0.18915712281317,-0.574359837697132,-0.00968425798516742,-0.422332255761012,0.0385694938250528,-0.00981456782505187,-0.18915712281317,0.0385694938250541,-0.235515133646398
3.3,-0.460103026804554,0.0382248853680614,-0.518224344886695,-0.00431336441131191,0.0382248853680623,-0.230908766695562,-0.00418271985121415,-0.0653166760420259,-0.518224344886697,-0.00418271985121455,-0.463519314286722,0.0382127411409295,-0.00431336441131179,-0.065316676042026,0.0382127411409305,-0.230796041310173
3.4,-0.49362634963918,0.0378789426722734,-0.454166344114832,0.000628715216665411,0.0378789426722737,-0.224004225985287,0.000759262350352531,0.0619936470627778,-0.454166344114833,0.000759262350352257,-0.496792049525717,0.0378919719480388,0.000628715216665473,0.0619936470627786,0.0378919719480391,-0.223950638794174
3.5,-0.518553937525507,0.0374216850028838,-0.382306317937378,0.00488773863114212,0.0374216850028837,-0.21540938063574,0.00501597647498586,0.189666005903889,-0.382306317937379,0.00501597647498573,-0.521366541448965,0.0374644232514927,0.00488773863114208,0.189666005903891,0.0374644232514926,-0.215404821308115
3.6,-0.534223921601427,0.0366799509103973,-0.302865894677364,0.00840687353420475,0.0366799509103972,-0.205102853579325,0.00852794540157176,0.314178092028646,-0.302865894677365,0.00852794540157174,-0.536573343388924,0.0367562916220129,0.00840687353420461,0.314178092028649,0.0367562916220125,-0.205136909612844
3.7,-0.540124724899809,0.0354546428026075,-0.216193806796254,0.0111664024124438,0.0354546428026074,-0.192603829040247,0.0112724145007531,0.431659214812587,-0.216193806796254,0.0112724145007532,-0.54189503383381,0.0355677014338767,0.0111664024124436,0.431659214812589,0.0355677014338763,-0.192667047836267
3.8,-0.535938438392638,0.0335254795480525,-0.12279723364604,0.0131603406857518,0.0335254795480524,-0.176951383230894,0.0132402966737522,0.537959614760092,-0.122797233646041,0.0132402966737523,-0.537010168861561,0.0336781885582029,0.0131603406857515,0.537959614760094,0.0336781885582025,-0.177036283444181
3.9,-0.521589991761964,0.0306620812472813,-0.0233790734216284,0.0143798445691143,0.0306620812472811,-0.156673555406156,0.0144198252792078,0.628721952675114,-0.0233790734216283,0.0144198252792079,-0.521843123338928,0.0308580476523867,0.0143798445691141,0.628721952675115,0.0308580476523866,-0.156775337653068
4,-0.497300792689617,0.026644678977104,0.0811188802737749,0.0148020240215536,0.0266446789771038,-0.129772500333605,0.0147856363877208,0.699476242395401,0.0811188802737754,0.014785636387721,-0.496618501248492,0.026888749610703,0.0148020240215535,0.6994762423954,0.0268887496107029,-0.129889371973859
4.1,-0.463644428579052,0.0212955677610073,0.189467847348685,0.0143827779752358,0.021295567761007,-0.0937917614287804,0.014292018303449,0.745819028881479,0.189467847348686,0.0142920183034492,-0.461917707891188,0.021593417158576,0.0143827779752359,0.745819028881477,0.021593417158576,-0.0939246796328081
4.2,-0.421600669315819,0.0145191067574569,0.300101533929245,0.0130531290532884,0.0145191067574567,-0.0460895110833135,0.0128699351543182,0.763790929608075,0.300101533929246,0.0128699351543184,-0.418733905843189,0.0148752185423306,0.0130531290532886,0.763790929608074,0.0148752185423304,-0.0462410093787011
4.3,-0.372602396641219,0.00634411486141525,0.411067789652705,0.0107200832445666,0.00634411486141538,0.0155004523074795,0.0104289720383868,0.750607648058167,0.411067789652705,0.0104289720383872,-0.368519936160291,0.00675799073347171,0.0107200832445669,0.750607648058167,0.0067579907334714,0.015328732627261
4.4,-0.318568201338928,-0.00304011424217364,0.519990000448803,0.00727558985712164,-0.00304011424217301,0.0914594227501216,0.00686781607687044,0.705854352809964,0.519990000448801,0.00686781607687095,-0.313221857985784,-0.00257878448648618,0.00727558985712198,0.705854352809966,-0.00257878448648663,0.0912705699217735
4.5,-0.261911051990999,-0.0132616614486423,0.624049648582135,0.00262140579561616,-0.0132616614486412,0.178931636775855,0.00210081304706448,0.632996871239484,0.62404964858213,0.002100813047065,-0.255288355870516,-0.0127771345784792,0.00262140579561649,0.632996871239486,-0.0127771345784797,0.178737817909129
4.6,-0.205510025413744,-0.0237589370579213,0.720006595167678,-0.00327583758590589,-0.02375893705792,0.270365632924756,-0.00388615217958899,0.540532083616197,0.720006595167669,-0.00388615217958857,-0.197642753853975,-0.023290626901301,-0.00327583758590551,0.540532083616198,-0.0232906269013013,0.270190753773777
