"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(1,3)) []","im(S(1,4)) []","im(S(2,1)) []","im(S(2,2)) []","im(S(2,3)) []","im(S(2,4)) []","im(S(3,1)) []","im(S(3,2)) []","im(S(3,3)) []","im(S(3,4)) []","im(S(4,1)) []","im(S(4,2)) []","im(S(4,3)) []","im(S(4,4)) []"
3,-0.180823160230397,-0.0990265690568769,-0.801582482723477,0.0186060133820268,-0.099026569056876,-0.0203483813782665,0.0275365094917044,-0.780515866651997,-0.80158248272348,0.0275365094917042,-0.158850797751948,-0.0898568246950062,0.0186060133820262,-0.780515866652,-0.0898568246950072,-0.0214242399319694
3.1,-0.260510276360611,-0.141310013885034,-0.715830490827488,0.0632648992587926,-0.141310013885026,0.0353308155077495,0.0725637968631662,-0.745816378323187,-0.715830490827492,0.0725637968631699,-0.238111424629429,-0.133909384589969,0.0632648992587861,-0.745816378323193,-0.133909384589968,0.0321611844113843
3.2,-0.392013628912101,-0.129135368280372,-0.562161321125515,0.0716082558959563,-0.129135368280364,0.0827649892551275,0.0788774278718009,-0.665701195877304,-0.562161321125514,0.0788774278718033,-0.372396856825556,-0.124702532067145,0.0716082558959552,-0.665701195877307,-0.124702532067147,0.0789125391808368
3.3,-0.534191253140016,-0.0721002876797643,-0.381537573874218,0.0522353272929823,-0.0721002876797623,0.113653088903649,0.0554394284608311,-0.53628429883393,-0.381537573874215,0.0554394284608294,-0.519881386237231,-0.071112351933332,0.0522353272929833,-0.536284298833929,-0.0711123519333345,0.110705422440124
3.4,-0.645684172634284,0.00604634268581597,-0.216045304768463,0.0269734260710574,0.00604634268581735,0.132760781986921,0.0253468714678247,-0.367836228791442,-0.216045304768462,0.0253468714678259,-0.637581773117413,0.00385552051500656,0.0269734260710558,-0.367836228791443,0.00385552051500835,0.131512765764038
3.5,-0.707440670651328,0.0837409711093466,-0.0861169773595795,0.0139305190308637,0.0837409711093497,0.148074496799646,0.0079396258242382,-0.178069846837415,-0.0861169773595799,0.00793962582424313,-0.70504287463291,0.0789986131691287,0.0139305190308609,-0.178069846837418,0.0789986131691328,0.148242966046732
3.6,-0.720801456745908,0.149140149460383,0.00781524849415149,0.0200272845699194,0.149140149460386,0.163478079044145,0.0108062067271205,0.0158482996810799,0.00781524849415199,0.0108062067271242,-0.722930304511293,0.142449260142232,0.0200272845699172,0.0158482996810784,0.142449260142233,0.164045284957229
3.7,-0.695987713965529,0.198106623351063,0.0736572793320272,0.0434927140985628,0.198106623351065,0.177547661149261,0.0323533849827207,0.200023568984765,0.0736572793320285,0.0323533849827213,-0.701354272724266,0.189876637854563,0.0434927140985619,0.200023568984766,0.189876637854563,0.177221884489928
3.8,-0.644328361199463,0.229611832832122,0.119738629853965,0.0784289454016579,0.229611832832122,0.185050987714763,0.0665897842872782,0.363432258376808,0.119738629853965,0.0665897842872789,-0.651805455345636,0.220052703835826,0.0784289454016573,0.363432258376809,0.220052703835827,0.182622158951285
3.9,-0.575500844454636,0.243158902064912,0.152196605158946,0.117849670455514,0.243158902064913,0.179440539056178,0.106308440761966,0.497434564522129,0.152196605158945,0.106308440761971,-0.584217773368573,0.232309169439348,0.117849670455515,0.497434564522129,0.23230916943935,0.174011761094274
4,-0.497256139604392,0.238471769080293,0.175012479219247,0.155199259037249,0.238471769080296,0.155380653820805,0.14468434198776,0.59597057430796,0.175012479219246,0.144684341987769,-0.506620050212044,0.226256059825857,0.155199259037251,0.595970574307959,0.226256059825859,0.146507340648884
4.1,-0.415869878664813,0.215661418198814,0.190769642365907,0.185050004201835,0.215661418198817,0.11026066933003,0.176025118190474,0.656061150364228,0.190769642365907,0.176025118190482,-0.425561786268323,0.201972209395825,0.185050004201837,0.656061150364227,0.201972209395826,0.0980212533320496
4.2,-0.336613353387611,0.175293649748889,0.20137493656446,0.203428685432406,0.17529364974889,0.044516371050489,0.196138938937631,0.678209924915103,0.20137493656446,0.196138938937635,-0.34656790669151,0.160062773001293,0.203428685432407,0.678209924915103,0.160062773001295,0.0295163839830341
4.3,-0.264016578123557,0.118740445934214,0.208578818822769,0.208010772147773,0.118740445934215,-0.0382754605883463,0.202554450336193,0.666609272633816,0.208578818822768,0.202554450336192,-0.274375432922394,0.102018936372103,0.208010772147772,0.666609272633815,0.102018936372105,-0.0549602676310021
4.4,-0.201813534435488,0.048899589811981,0.214309031602482,0.198354739883026,0.0488995898119816,-0.130702875209069,0.19476362584436,0.629198985571169,0.214309031602479,0.19476362584436,-0.21283972369598,0.0309624068690371,0.198354739883023,0.629198985571169,0.0309624068690394,-0.147630012535069
4.5,-0.152482070638987,-0.0291503080645365,0.220816422750934,0.176266377342667,-0.0291503080645343,-0.221083836335901,0.174578143102855,0.577295055100078,0.22081642275093,0.174578143102859,-0.164443152860065,-0.047728436766708,0.176266377342669,0.577295055100081,-0.0477284367667077,-0.236609517427596
4.6,-0.11644890000321,-0.108360599607727,0.23054417573179,0.146014915025572,-0.108360599607724,-0.295813582918669,0.146305198893315,0.523702215480177,0.230544175731787,0.146305198893321,-0.129520219668594,-0.126770295094592,0.146014915025581,0.523702215480187,-0.126770295094594,-0.308370255621943
