"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(2,1)) []","im(S(2,2)) []"
3,-0.81908507401557,-0.356253751774544,-0.356253751774544,0.349299373532206
3.1,-0.861011073716689,-0.36940124620492,-0.369401246204919,0.497407951813128
3.2,-0.893080881019688,-0.36848898182108,-0.36848898182108,0.629925082717244
3.3,-0.914460520700324,-0.355315258012172,-0.355315258012172,0.740072925820914
3.4,-0.924637954982781,-0.332163614601523,-0.332163614601521,0.822331404428973
3.5,-0.923438729778801,-0.301613857557411,-0.301613857557407,0.872799272160853
3.6,-0.91101970595954,-0.266360892087312,-0.266360892087309,0.889378187321747
3.7,-0.887844861184974,-0.229046922692294,-0.229046922692292,0.871784813505566
3.8,-0.854648801507694,-0.192107573360839,-0.19210757336084,0.821431543930149
3.9,-0.812391917942695,-0.157630721451301,-0.157630721451303,0.741244422343691
4,-0.762203197689062,-0.127219474426087,-0.127219474426088,0.635504919075153
4.1,-0.705288509579218,-0.101828952402859,-0.101828952402859,0.509799439030047
4.2,-0.642754890097907,-0.0815219907660892,-0.0815219907660877,0.371088538106827
4.3,-0.575299082196838,-0.0651394324276522,-0.0651394324276514,0.22765745472705
4.4,-0.502840672011964,-0.0501659050757385,-0.0501659050757389,0.0882634397072458
4.5,-0.42451222543839,-0.0334938453740827,-0.0334938453740827,-0.0401754348800665
4.6,-0.339473163155578,-0.0132989226486554,-0.0132989226486559,-0.155221278818611
4.7,-0.248058488497151,0.00964791708312714,0.00964791708312616,-0.258794343457262
4.8,-0.152003107158808,0.0329318233786101,0.0329318233786102,-0.353800155332209
4.9,-0.0536430480496127,0.0544077279954602,0.0544077279954609,-0.44124045443134
5,0.0448498423920678,0.0730446056891532,0.0730446056891541,-0.520032073892384
5.1,0.141681337440901,0.0886810423749655,0.0886810423749656,-0.588220332770154
5.2,0.235314583063051,0.101532126733404,0.101532126733404,-0.643996194319526
5.3,0.324295389222833,0.111853714962957,0.111853714962956,-0.686131260004569
5.4,0.407125993785813,0.119776693297197,0.119776693297196,-0.714030746797624
5.5,0.482187920098886,0.125228782118893,0.125228782118893,-0.727626094731239
5.6,0.547690284811931,0.12788065782342,0.12788065782342,-0.727227326152631
5.7,0.601627571161691,0.127081484686127,0.127081484686127,-0.713389798890916
5.8,0.641755227454258,0.121766405687823,0.121766405687821,-0.686832419439661
5.9,0.665641760433552,0.110332197068674,0.11033219706867,-0.648465929306458
6,0.670949797143794,0.090502490265692,0.0905024902656895,-0.599648597780326
6.1,0.656221091466123,0.0592670900555456,0.0592670900555474,-0.54284626434576
6.2,0.622427725756881,0.0131202493237796,0.0131202493237907,-0.482703760555811
6.3,0.574959398353211,-0.0509533798028702,-0.0509533798028454,-0.426552344529655
6.4,0.524283127914247,-0.133210622331785,-0.133210622331754,-0.381867194308471
6.5,0.482862435686952,-0.227858278714254,-0.227858278714254,-0.350466883580071
