"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(2,1)) []","re(S(2,2)) []"
3,-0.0858259666034693,0.378758019138688,0.37875801913869,0.136124311793264
3.1,-0.0547741968995845,0.534452549115827,0.534452549115827,0.204576735210611
3.2,-0.0336565654591704,0.661273671330804,0.661273671330804,0.236023974034038
3.3,-0.0188305798256374,0.758593420878605,0.758593420878609,0.227769369082353
3.4,-0.00696226765284707,0.826760809691577,0.826760809691581,0.181179302311841
3.5,0.00396751646172319,0.86521991844771,0.865219918447713,0.100603237003502
3.6,0.0142045422753298,0.871762033709224,0.871762033709225,-0.00688438277073263
3.7,0.0222091876668363,0.842580763523961,0.842580763523961,-0.130563434906191
3.8,0.0245776423047569,0.773208324431295,0.773208324431296,-0.253904090874106
3.9,0.0157387297194871,0.660806857657991,0.660806857657992,-0.351865864536586
4,-0.0121028338184418,0.508398836618277,0.508398836618275,-0.390273087432598
4.1,-0.0675253299121243,0.330523795991094,0.330523795991089,-0.332899901902656
4.2,-0.155450470481435,0.15622805621151,0.156228056211507,-0.161839145185888
4.3,-0.27079047579998,0.0213914443820403,0.0213914443820425,0.096006341491627
4.4,-0.396840247773073,-0.0516511615308738,-0.0516511615308718,0.36487720800058
4.5,-0.514235094731153,-0.070751365472961,-0.0707513654729628,0.558009429598091
4.6,-0.613744796761499,-0.0676049240675271,-0.0676049240675273,0.627571942571747
4.7,-0.700707526884386,-0.0744693527542546,-0.0744693527542526,0.583016018653851
4.8,-0.787750091806765,-0.102484635383849,-0.10248463538385,0.475208700674553
4.9,-0.878025905075289,-0.132547457981786,-0.132547457981782,0.363260894135455
5,-0.952464951067266,-0.132629083560988,-0.132629083560978,0.274545436544228
5.1,-0.984839643198462,-0.0910015980326889,-0.0910015980326851,0.19554717254714
5.2,-0.964981096921098,-0.0181114444964059,-0.0181114444964054,0.112752580344843
5.3,-0.897864350807485,0.0737727815707732,0.0737727815707796,0.0353110470751401
5.4,-0.795094899673045,0.176302636645886,0.176302636645895,-0.0205614622000314
5.5,-0.672850960697345,0.279766271311465,0.27976627131147,-0.0469397443656278
5.6,-0.550206440317476,0.370361726218461,0.370361726218459,-0.0491798637019145
5.7,-0.443867354768112,0.433566969729996,0.433566969729993,-0.0440156455650459
5.8,-0.362999703838448,0.460005105579131,0.460005105579132,-0.0504892654190212
5.9,-0.308214611517147,0.448444219862633,0.448444219862636,-0.0788290841135824
6,-0.274180390330267,0.404180396424517,0.404180396424521,-0.12742021343969
6.1,-0.253071046094402,0.335246381154855,0.335246381154855,-0.188290629470535
6.2,-0.237212317480748,0.249330669977547,0.249330669977545,-0.252952027049121
6.3,-0.220741634153487,0.15238874355541,0.152388743555408,-0.314388823212607
6.4,-0.200444165064178,0.0485338646912554,0.0485338646912545,-0.366509140666707
6.5,-0.175760727270493,-0.059462232069143,-0.059462232069143,-0.403435039296129
