"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(2,1)) []","im(S(2,2)) []"
3,-0.290316447440973,-0.000604320064734537,-0.000604320064734529,0.366374851097753
3.1,-0.352486099696315,0.0036725272634592,0.0036725272634592,0.476540793335306
3.2,-0.41142319731749,0.00849409568832951,0.00849409568832938,0.574326487285807
3.3,-0.466553670841837,0.0137520466855828,0.0137520466855829,0.656579312100916
3.4,-0.517358245998515,0.0192952349732106,0.0192952349732107,0.720436366091651
3.5,-0.563375561178715,0.024929156121602,0.0249291561216018,0.763514357802638
3.6,-0.604204663148775,0.0304187659232634,0.0304187659232635,0.784106152461049
3.7,-0.639506898553566,0.0354953966688525,0.0354953966688525,0.78136464336901
3.8,-0.669007192831943,0.039868138173856,0.039868138173856,0.75545033186265
3.9,-0.69249468560236,0.0432395012567368,0.0432395012567369,0.707617783669783
4,-0.709822679730137,0.0453245013856429,0.0453245013856431,0.640219378393735
4.1,-0.720907866295482,0.0458716141447747,0.0458716141447747,0.556613061232378
4.2,-0.725728812072862,0.0446835242879732,0.0446835242879732,0.460973401703579
4.3,-0.724323736765039,0.0416353707843696,0.0416353707843697,0.358019973442528
4.4,-0.716787655081626,0.0366883715124082,0.0366883715124083,0.252690686124445
4.5,-0.703269001087751,0.0298972770472176,0.0298972770472176,0.149796942139813
