"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(2,1)) []","re(S(2,2)) []"
3,0.605627346167,-0.0239813272441209,-0.0239813272441209,-0.827604490209404
3.1,0.578211899835045,-0.0254788371930525,-0.0254788371930525,-0.754529675364064
3.2,0.544650604559063,-0.0262603330038676,-0.0262603330038674,-0.664516798640279
3.3,0.50536463743481,-0.0261684797822786,-0.0261684797822788,-0.559549207751283
3.4,0.460823280493258,-0.0250581559998399,-0.02505815599984,-0.442323852828831
3.5,0.411537343103126,-0.0228081891312811,-0.0228081891312811,-0.316224223091768
3.6,0.358052524780856,-0.0193343209706913,-0.0193343209706913,-0.185235932749104
3.7,0.300942722199835,-0.0146023583929437,-0.0146023583929436,-0.0537979869465367
3.8,0.240803285673482,-0.00864009235829682,-0.00864009235829683,0.0734099760462597
3.9,0.178244246116127,-0.00154633373457011,-0.00154633373457007,0.191734468980408
4,0.113883561370459,0.00650457613227178,0.00650457613227188,0.296848307858032
4.1,0.0483404647254153,0.0152640986243027,0.0152640986243027,0.385054153775416
4.2,-0.0177709711588044,0.0244173567031195,0.0244173567031195,0.453556092645474
4.3,-0.0838479253883349,0.0335973448306603,0.0335973448306603,0.500664555720683
4.4,-0.149304451250556,0.0424044126161735,0.0424044126161735,0.525907273932074
4.5,-0.213576536013876,0.0504292014586475,0.0504292014586474,0.530031952557975
