"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(2,1)) []","im(S(2,2)) []"
3,-0.292627912351368,-0.0779190086239396,-0.0779190086239394,-0.80668241014346
3.1,-0.354521389339397,-0.0722741235993077,-0.0722741235993077,-0.855628467796146
3.2,-0.41304131571677,-0.0643730236678768,-0.0643730236678769,-0.883176650217674
3.3,-0.467583149021231,-0.0539901227451281,-0.0539901227451281,-0.887094253856753
3.4,-0.517596343224673,-0.0409254554524068,-0.0409254554524068,-0.865543948198226
3.5,-0.562592771578762,-0.0250502839167156,-0.0250502839167156,-0.817432813583076
3.6,-0.602158342144179,-0.00637891585980358,-0.00637891585980361,-0.742930820237602
3.7,-0.635968483214924,0.0148315384920609,0.0148315384920608,-0.644152597784237
3.8,-0.663806516144844,0.037964589234943,0.0379645892349433,-0.525899626756541
3.9,-0.685580598183606,0.0619456005167036,0.0619456005167033,-0.396197434008089
4,-0.701330492516699,0.0852236728399881,0.0852236728399882,-0.266188261894055
4.1,-0.711212904322001,0.1059074793728,0.105907479372801,-0.148918249594575
4.2,-0.715458620373466,0.122087350150452,0.122087350150452,-0.0569067953598202
4.3,-0.714308698843887,0.132273612076687,0.132273612076686,0.000882231905347577
4.4,-0.707953402445323,0.13577563770209,0.13577563770209,0.0213905042312447
4.5,-0.696501508794445,0.132839620826514,0.132839620826514,0.0079644803111983
