"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(2,1)) []","re(S(2,2)) []"
3,0.604561830631838,-0.0598649967799434,-0.0598649967799433,0.479003432567348
3.1,0.576594636222847,-0.0727588114663733,-0.0727588114663732,0.352975981299547
3.2,0.542465782388456,-0.0855506746601408,-0.085550674660141,0.219536789035768
3.3,0.502622035230383,-0.0978739291228519,-0.0978739291228519,0.0822476203065525
3.4,0.457573216229182,-0.10924271074831,-0.10924271074831,-0.054433510416446
3.5,0.40789022910252,-0.119025424061217,-0.119025424061217,-0.185023604953455
3.6,0.354201981791636,-0.126430404967262,-0.126430404967263,-0.302995931015904
3.7,0.297188629676841,-0.13052273222475,-0.130522732224749,-0.401004731784539
3.8,0.237567225683472,-0.130298782912637,-0.130298782912636,-0.471527581314293
3.9,0.176065532658202,-0.124844122308733,-0.124844122308734,-0.508069887360803
4,0.113382406813028,-0.113577512828767,-0.113577512828768,-0.506890203009226
4.1,0.0501404382130635,-0.0965307129844395,-0.0965307129844393,-0.468825548377201
4.2,-0.0131534228126928,-0.0745481768364784,-0.0745481768364783,-0.400379726260464
4.3,-0.076118516660074,-0.0492694206694789,-0.0492694206694781,-0.313188208326067
4.4,-0.138470805367282,-0.0228362221952079,-0.0228362221952077,-0.221627597252142
4.5,-0.199962984640075,0.00257854237819821,0.00257854237819793,-0.13941954149821
