"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(2,1)) []","re(S(2,2)) []"
3,-0.387409216897519,-0.000529692950169744,-0.000529692950169704,-0.717617073825018
3.1,-0.422031137231419,0.00285710258255817,0.00285710258255818,-0.692149123296709
3.2,-0.454014948218044,0.00662157568351007,0.00662157568351006,-0.652996368495895
3.3,-0.483180181386061,0.0107251572212679,0.0107251572212679,-0.600194815428577
3.4,-0.509364726715957,0.0151086488816263,0.0151086488816263,-0.534172357197017
3.5,-0.532425979837857,0.0196889358953434,0.0196889358953434,-0.45582290258311
3.6,-0.552241792257018,0.0243562777126412,0.0243562777126411,-0.366576730285881
3.7,-0.568711199278953,0.0289727675640769,0.0289727675640768,-0.268459378947577
3.8,-0.581754906518654,0.0333727143827007,0.0333727143827005,-0.16412787384875
3.9,-0.591315523794879,0.0373658196484346,0.0373658196484345,-0.0568688437190511
4,-0.597357544535816,0.0407440298396977,0.0407440298396976,0.0494610029076285
4.1,-0.599867079162521,0.0432927517655991,0.0432927517655992,0.150573464505683
4.2,-0.598851361801743,0.0448066272761962,0.0448066272761964,0.241984333558333
4.3,-0.594338060594239,0.0451092165424899,0.0451092165424901,0.319350726535069
4.4,-0.586374432275699,0.0440747790182976,0.0440747790182978,0.378890733167697
4.5,-0.57502637109222,0.0416490848072071,0.0416490848072072,0.417832468549221
