"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(2,1)) []","re(S(2,2)) []"
3,-0.694339290037141,-0.0142592137990755,-0.0142592137990755,-0.00241662110120822
3.1,-0.749095377819811,-0.0130190307195241,-0.0130190307195241,-0.0125867006979722
3.2,-0.799187213960617,-0.0113839903625894,-0.0113839903625894,-0.0216304527907653
3.3,-0.844254517775179,-0.0093023869176611,-0.00930238691766113,-0.028968908574082
3.4,-0.883961154138808,-0.00671868070590172,-0.00671868070590176,-0.0339177404693084
3.5,-0.9179984963483,-0.00357522554597322,-0.00357522554597326,-0.0357040864764288
3.6,-0.946088929308229,0.000184447246333897,0.000184447246333857,-0.0335034276598117
3.7,-0.967989428522421,0.00461003793017475,0.00461003793017471,-0.0265023801205134
3.8,-0.983495132498415,0.00973567422536738,0.00973567422536733,-0.0139922511849611
3.9,-0.992442809514785,0.0155669940753741,0.015566994075374,0.00450413470690738
4,-0.994714105412226,0.0220636243544795,0.0220636243544794,0.0290738224073348
4.1,-0.990238448369514,0.0291177382147337,0.0291177382147336,0.0592311167766623
4.2,-0.978995480714842,0.0365316895609922,0.0365316895609921,0.0937290291575151
4.3,-0.961016887774454,0.0440012184013948,0.0440012184013947,0.13039980642692
4.4,-0.936387500402254,0.0511144247909751,0.0511144247909751,0.16608539269448
4.5,-0.905245561631568,0.0573780084237059,0.0573780084237059,0.196748909493261
