"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(2,1)) []","im(S(2,2)) []"
3,-0.724736322619907,-0.0236122511677473,-0.0236122511677473,-0.0600254672636901
3.1,-0.66789819022522,-0.0263990154933056,-0.0263990154933054,-0.0368202589915578
3.2,-0.606708828897057,-0.0291912784202637,-0.0291912784202635,-0.0122458427564109
3.3,-0.541517870169505,-0.031937746258138,-0.0319377462581378,0.013293240584922
3.4,-0.472706366695843,-0.0345732012249973,-0.0345732012249973,0.039252086043369
3.5,-0.400685626945315,-0.0370153896266864,-0.0370153896266863,0.0649155675981467
3.6,-0.325895661058949,-0.0391617438637916,-0.0391617438637916,0.0893675505150073
3.7,-0.248803190693292,-0.0408863849838325,-0.0408863849838325,0.111463571426788
3.8,-0.169899184271173,-0.0420382230023493,-0.0420382230023493,0.129814871990557
3.9,-0.0896958910460283,-0.0424414846106585,-0.0424414846106584,0.142796471446363
4,-0.00872336266674438,-0.041900596487988,-0.0419005964879879,0.148597539367992
4.1,0.0724745308234342,-0.0402118393761498,-0.0402118393761497,0.145336788515046
4.2,0.153344562977933,-0.0371841382551726,-0.0371841382551726,0.131264859462459
4.3,0.233329041130196,-0.0326701031678952,-0.0326701031678953,0.105063269097626
4.4,0.311871052214389,-0.0266053117585229,-0.0266053117585231,0.0662188503017877
4.5,0.388419969600059,-0.0190487985362627,-0.0190487985362627,0.0154033755615855
