"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(2,1)) []","im(S(2,2)) []"
3,-0.312548550251529,0.0165326198900352,0.0165326198900352,0.368815784063465
3.1,-0.406482114215031,0.0213613246398145,0.0213613246398145,0.479023724505339
3.2,-0.495430606313072,0.0264459551719115,0.0264459551719114,0.576825049035507
3.3,-0.578627584012182,0.0316379915849395,0.0316379915849397,0.659070107217377
3.4,-0.655396119588188,0.0367511171220693,0.0367511171220693,0.722900060101303
3.5,-0.725150248338301,0.0415631560419806,0.0415631560419806,0.765936163926984
3.6,-0.787395513765188,0.0458214486957836,0.0458214486957835,0.786475461454172
3.7,-0.841728685606047,0.0492521475899155,0.0492521475899156,0.783673643613349
3.8,-0.887836699120825,0.0515735125197136,0.0515735125197135,0.757691632894995
3.9,-0.925494844714247,0.0525127240743407,0.0525127240743404,0.709781280118303
4,-0.954564231262629,0.0518251017278055,0.0518251017278055,0.64228882486728
4.1,-0.974988557572638,0.0493140337107278,0.0493140337107277,0.558563004997878
4.2,-0.986790252737541,0.0448495509456609,0.0448495509456608,0.462767170759249
4.3,-0.990066081269754,0.038383431265658,0.0383834312656579,0.35960930025823
4.4,-0.984982342004554,0.0299590525871187,0.0299590525871188,0.254017268098627
4.5,-0.971769809048607,0.0197148696719142,0.0197148696719142,0.150795859585564
