"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(1,3)) []","im(S(1,4)) []","im(S(2,1)) []","im(S(2,2)) []","im(S(2,3)) []","im(S(2,4)) []","im(S(3,1)) []","im(S(3,2)) []","im(S(3,3)) []","im(S(3,4)) []","im(S(4,1)) []","im(S(4,2)) []","im(S(4,3)) []","im(S(4,4)) []"
3,-0.464731451604003,0.0012629825896938,-0.494165918501535,0.0248166531503233,0.0012629825896996,-0.0658833850850674,-0.0249173586647434,0.839392705612339,-0.494165918501539,-0.0249173586647497,-0.467001748731205,-0.00131252659967164,0.02481665315033,0.839392705612345,-0.00131252659966548,-0.0657791297110141
3.1,-0.40656987570039,-0.00169315125786408,-0.570684460450698,0.0240844042739702,-0.00169315125786261,-0.0313066443815413,-0.0241936815761376,0.874093861628239,-0.570684460450702,-0.0241936815761395,-0.409050319961844,0.00163479971526344,0.024084404273972,0.874093861628242,0.00163479971526472,-0.0311793827493875
3.2,-0.34288311604439,-0.0047122422305339,-0.642453263287234,0.022331692025748,-0.00471224223053393,0.00110167680811939,-0.0224459161976009,0.888004858115988,-0.642453263287237,-0.0224459161976007,-0.34549361464921,0.00464496468000037,0.022331692025748,0.888004858115987,0.00464496468000027,0.00123949043313902
3.3,-0.275065584343305,-0.00801218707751346,-0.708098058497724,0.0199119668296626,-0.00801218707751359,0.0318174915656043,-0.0200284521496046,0.879231117878899,-0.708098058497727,-0.0200284521496042,-0.277720297408443,0.00793759671255145,0.0199119668296624,0.879231117878897,0.00793759671255135,0.0319504298596944
3.4,-0.204804023394094,-0.0116849589812233,-0.766084690852605,0.0170791506136385,-0.0116849589812232,0.0613747331482734,-0.0171954432950573,0.846642079231159,-0.766084690852607,-0.0171954432950574,-0.207415304390401,0.0116057736195846,0.0170791506136385,0.846642079231156,0.0116057736195847,0.0614869284976339
3.5,-0.134078656807151,-0.0157081314749596,-0.814714414601993,0.0140191475435812,-0.0157081314749593,0.0903072014413118,-0.0141325425974372,0.789971552073963,-0.814714414601993,-0.0141325425974378,-0.136561564869574,0.0156277450606426,0.0140191475435813,0.789971552073961,0.0156277450606429,0.0903844800134014
3.6,-0.06514144901055,-0.0199410139463571,-0.852129070486458,0.010882755110068,-0.0199410139463569,0.119096938225021,-0.0109900478939433,0.709835598044754,-0.852129070486456,-0.010990047893944,-0.0674185964162175,0.0198630747321131,0.010882755110068,0.709835598044755,0.0198630747321135,0.119128928332448
3.7,-0.000466373245067822,-0.0241285704972551,-0.876334071227979,0.00781282882252592,-0.0241285704972551,0.148105518194831,-0.00791031195507497,0.607706532409716,-0.876334071227975,-0.00791031195507546,-0.00247278022552098,0.0240565597430824,0.00781282882252582,0.607706532409719,0.0240565597430829,0.148088152545492
3.8,0.0573325734709291,-0.027926850995905,-0.885249974430189,0.00496413249289615,-0.027926850995905,0.177455628083549,-0.00504787051000735,0.485918591956788,-0.885249974430184,-0.00504787051000771,0.0556450008254984,0.0278637721529071,0.00496413249289621,0.485918591956791,0.0278637721529079,0.177394403679447
3.9,0.105619320197518,-0.0309469406889683,-0.876805796783851,0.00251553872690605,-0.0309469406889682,0.206814150691088,-0.0025819469842717,0.3477973349787,-0.876805796783847,-0.00258194698427216,0.104278085789859,0.0308952437564727,0.00251553872690651,0.347797334978701,0.0308952437564737,0.206728219060452
4,0.14189362460714,-0.0327953643228515,-0.84908768602705,0.000674411291991795,-0.0327953643228514,0.235008755558566,-0.000721107018883063,0.197976379474035,-0.849087686027047,-0.000721107018883721,0.140903091748618,0.0327571502909777,0.000674411291992494,0.197976379474034,0.0327571502909786,0.234935047243106
4.1,0.163993995234187,-0.0330823489383851,-0.800552829465684,-0.000326066925584218,-0.0330823489383852,0.259415208275076,0.000299284502415702,0.0428580610616377,-0.800552829465684,0.000299284502415315,0.163334364591901,0.0330598056219735,-0.000326066925584005,0.0428580610616369,0.0330598056219739,0.259409884306761
4.2,0.170351046184773,-0.031386878643772,-0.730307683477492,-0.000233439551481589,-0.0313868786437725,0.275175160610898,0.000223749601642563,-0.109035772801254,-0.730307683477492,0.000223749601643622,0.169979300034556,0.0313828382811151,-0.00023343955148289,-0.109035772801251,0.031382838281115,0.275307168193095
4.3,0.160292112223692,-0.0272131545621002,-0.638429525949379,0.00122005058464948,-0.0272131545621009,0.274743735156807,-0.00121883535587386,-0.247332103888564,-0.63842952594938,-0.00121883535587025,0.160145516200827,0.0272314749609403,0.00122005058464637,-0.247332103888558,0.0272314749609404,0.275076972906824
4.4,0.134381121305833,-0.0200598662430527,-0.52628180343632,0.00432410074826542,-0.0200598662430527,0.249129703376615,-0.00432098326853763,-0.361251173156524,-0.526281803436319,-0.00432098326853253,0.134384024834875,0.0201045764079418,0.00432410074826252,-0.361251173156517,0.0201045764079419,0.249708626217501
4.5,0.094740596261865,-0.00984571659591078,-0.396743823906956,0.00940974587761575,-0.00984571659591079,0.192511540096615,-0.00941445697359093,-0.442245821309452,-0.396743823906957,-0.00941445697359054,0.0948151151513652,0.00991642634394391,0.00940974587761815,-0.442245821309452,0.00991642634394114,0.193398388135532
