"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(2,1)) []","im(S(2,2)) []"
3,0.0372882170214848,-0.0314598588083784,-0.0314598588083779,0.689587013573767
3.1,0.172447506041664,-0.0118943005940581,-0.0118943005940584,0.615581645251722
3.2,0.307941929301757,0.0106406044408002,0.0106406044407999,0.529508733844032
3.3,0.440813269111203,0.0345972541714932,0.0345972541714929,0.44277430837925
3.4,0.567668274385031,0.057840323561125,0.0578403235611246,0.3643413115534
3.5,0.684700223002398,0.0778683851005659,0.0778683851005655,0.298159482629535
3.6,0.787737665300021,0.0921972147946952,0.0921972147946952,0.241936672825355
3.7,0.872327200851206,0.098803515055349,0.098803515055349,0.188258142509144
3.8,0.933861733325473,0.0964733204679405,0.0964733204679398,0.127754839143009
3.9,0.967773306582923,0.0849338205110799,0.0849338205110779,0.0526617146416881
4,0.969818873952727,0.0647606744105822,0.0647606744105797,-0.0408511008946219
4.1,0.936493024762218,0.0371732348137053,0.0371732348137049,-0.151943397552497
4.2,0.865593272121811,0.00389473754505194,0.00389473754505544,-0.27534075432255
4.3,0.756925736749621,-0.0327395901185131,-0.0327395901185074,-0.401927864841869
4.4,0.613058973676184,-0.0692784335282115,-0.0692784335282092,-0.51969619648132
4.5,0.439918031003682,-0.100266885793266,-0.100266885793265,-0.615510194346211
