"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(2,1)) []","im(S(2,2)) []"
3,-0.710069295549126,0.00832809336797287,0.0083280933679729,-0.823157514060581
3.1,-0.651322355694413,0.0139339152898008,0.0139339152898009,-0.87045347102287
3.2,-0.588201080601097,0.0204757220564315,0.0204757220564315,-0.89539206932832
3.3,-0.521081486500174,0.0279532097648552,0.0279532097648552,-0.895604586385688
3.4,-0.450375290346789,0.0362975724757668,0.0362975724757668,-0.869130467992132
3.5,-0.376532193195206,0.0453335177702919,0.0453335177702921,-0.814818891539553
3.6,-0.300041475400208,0.0547325349836963,0.0547325349836967,-0.732934392248331
3.7,-0.221431094824759,0.0639659725244026,0.0639659725244032,-0.625953732093091
3.8,-0.14126201936749,0.0722779488911073,0.072277948891108,-0.49941644108295
3.9,-0.0601159906420763,0.0787110249588136,0.0787110249588141,-0.362488686791541
4,0.0214230735126298,0.0822207230718459,0.0822207230718462,-0.227701627585007
4.1,0.102790441646182,0.0818904527112082,0.0818904527112082,-0.109352007802326
4.2,0.183457958780974,0.077198452129608,0.0771984521296081,-0.0205565313910136
4.3,0.262940370818901,0.0682232346420735,0.0682232346420735,0.0301401539592312
4.4,0.340787243429393,0.0556691985781921,0.055669198578192,0.0410525048256708
4.5,0.416563242121455,0.0406830036027809,0.0406830036027808,0.0173613469709514
