"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(2,1)) []","im(S(2,2)) []"
3,-0.710034406821228,0.0523478240430746,0.0523478240430743,0.340544554733697
3.1,-0.651531552068862,0.0556036720335832,0.0556036720335831,0.452151041666619
3.2,-0.588704251434357,0.0581512695738205,0.0581512695738205,0.552030873953583
3.3,-0.521926445347943,0.0598277226396217,0.0598277226396218,0.63687686434914
3.4,-0.451601233755307,0.0604740324871834,0.0604740324871835,0.703650662764677
3.5,-0.378158830322805,0.0599442828400388,0.0599442828400389,0.74978622313189
3.6,-0.302054299009924,0.0581161371733846,0.0581161371733847,0.773393662318954
3.7,-0.223765094862926,0.0549018363875425,0.0549018363875426,0.773446444924464
3.8,-0.143788437079789,0.0502585632094468,0.0502585632094469,0.749933790927746
3.9,-0.0626385480681297,0.0441968378254695,0.0441968378254696,0.703959803033584
4,0.0191562030466738,0.0367856204533266,0.0367856204533268,0.637770965535977
4.1,0.10105621063591,0.0281530763824815,0.0281530763824817,0.554695129077931
4.2,0.182513553104186,0.0184824956005345,0.0184824956005347,0.458979635293049
4.3,0.262974880988489,0.00800356005096042,0.00800356005096053,0.355526024941843
4.4,0.341884233100948,-0.00302013820213828,-0.00302013820213821,0.249534862914088
4.5,0.418685747381256,-0.0143058756333819,-0.0143058756333818,0.146094676652121
