"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(2,1)) []","im(S(2,2)) []"
3,-0.308946073596945,0.0701754938644646,0.0701754938644645,-0.809841751138193
3.1,-0.40237294064412,0.0633090692204723,0.0633090692204729,-0.859452015166891
3.2,-0.490626870323772,0.0540486310593206,0.0540486310593212,-0.887178531499606
3.3,-0.572923565573485,0.0421716949757055,0.0421716949757058,-0.8907162787354
3.4,-0.648564200746202,0.0274975736986522,0.0274975736986521,-0.868165624669503
3.5,-0.716943421969527,0.00994460997587755,0.00994460997587709,-0.818407564477464
3.6,-0.777564913022598,-0.0103834367648059,-0.0103834367648064,-0.741664074111915
3.7,-0.830063641438393,-0.0330832017389201,-0.0330832017389204,-0.640230154563879
3.8,-0.874229360428398,-0.0573278714015015,-0.0573278714015014,-0.519253286988493
3.9,-0.910020690239793,-0.0817795415178313,-0.0817795415178309,-0.387257970220267
4,-0.937556594488424,-0.104612039986971,-0.104612039986971,-0.255938170605977
4.1,-0.957076704526036,-0.123718818863169,-0.123718818863169,-0.138755922955139
4.2,-0.968874836762384,-0.137117563033362,-0.137117563033362,-0.0483076208928561
4.3,-0.973225081557472,-0.143440416051686,-0.143440416051686,0.0067929901849977
4.4,-0.970326312440312,-0.142298245078248,-0.142298245078248,0.0241548204907215
4.5,-0.960283093561939,-0.134338381322689,-0.134338381322689,0.00785698936330586
