"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(1,3)) []","im(S(1,4)) []","im(S(2,1)) []","im(S(2,2)) []","im(S(2,3)) []","im(S(2,4)) []","im(S(3,1)) []","im(S(3,2)) []","im(S(3,3)) []","im(S(3,4)) []","im(S(4,1)) []","im(S(4,2)) []","im(S(4,3)) []","im(S(4,4)) []"
3,-0.458815486574712,-0.0512093040176742,0.252883059894058,-0.0277644876903586,-0.051209304017674,-0.147344889841537,-0.0280732396643814,-0.124200869223478,0.252883059894059,-0.0280732396643811,-0.457672716079077,-0.0510913363480755,-0.0277644876903584,-0.124200869223477,-0.0510913363480758,-0.146877117632328
3.1,-0.477223340358474,-0.0510485627629765,0.176229737007785,-0.0256389606353135,-0.0510485627629769,-0.139297770847215,-0.0259967839148427,-0.229410776961768,0.176229737007789,-0.0259967839148424,-0.476392970595983,-0.0508919951092443,-0.0256389606353133,-0.229410776961769,-0.0508919951092437,-0.138787280555724
3.2,-0.490753263869587,-0.0491347135727611,0.100124004526655,-0.0219807418463428,-0.0491347135727616,-0.128409578683595,-0.0223781419272975,-0.32930072086568,0.100124004526658,-0.0223781419272973,-0.490270925114478,-0.048937502530782,-0.0219807418463426,-0.32930072086568,-0.0489375025307811,-0.127906950810047
3.3,-0.499043228750681,-0.0451364141722314,0.0253541607486145,-0.0165394286981149,-0.0451364141722318,-0.114835040203847,-0.0169579015500857,-0.421903027555156,0.025354160748616,-0.0169579015500855,-0.498937150502369,-0.0449008305534527,-0.0165394286981147,-0.421903027555156,-0.0449008305534521,-0.114412344314392
3.4,-0.501826410514331,-0.0388288289908926,-0.0474001532042461,-0.00919814953189502,-0.0388288289908929,-0.0991490954084799,-0.00961117119649689,-0.505047868760647,-0.0474001532042469,-0.00961117119649679,-0.502118315874172,-0.0385627775015862,-0.00919814953189497,-0.505047868760648,-0.038562777501586,-0.0989042007636643
3.5,-0.499033273605103,-0.0302460354433422,-0.117670003959038,-0.000112137183660969,-0.0302460354433426,-0.0825342838001966,-0.00048743477294113,-0.576732104344576,-0.11767000395904,-0.000487434772940834,-0.499740175361219,-0.0299634211667485,-0.000112137183661051,-0.576732104344577,-0.0299634211667485,-0.0825883711463589
3.6,-0.490922646171079,-0.0198526804996549,-0.185296645134486,0.0101444120670102,-0.0198526804996556,-0.0668911358346434,0.00984217878163135,-0.635745571127269,-0.185296645134488,0.00984217878163194,-0.492058604621286,-0.0195721665227197,0.0101444120670102,-0.635745571127269,-0.0195721665227196,-0.067376056225001
3.7,-0.478128767940425,-0.00859349524834462,-0.250445225885397,0.0205376476415766,-0.00859349524834525,-0.0547435573248227,0.0203424270142157,-0.681970846450623,-0.250445225885397,0.0203424270142163,-0.479706143222199,-0.00833520648234091,0.0205376476415766,-0.681970846450622,-0.00833520648234063,-0.0557793436856179
3.8,-0.461504841882978,0.00232480613118839,-0.31345720423212,0.0297776055865713,0.00232480613118803,-0.0488431995617209,0.0297129145613816,-0.715925396506828,-0.313457204232118,0.0297129145613817,-0.46353542365954,0.0025441050178002,0.0297776055865714,-0.715925396506825,0.00254410501780046,-0.0505124547448714
3.9,-0.441814958704182,0.0118616377320846,-0.374581904866781,0.0367466731472649,0.0118616377320845,-0.0515277757605466,0.0368158812399868,-0.738016963255543,-0.37458190486678,0.0368158812399863,-0.444310691353595,0.0120328156484721,0.0367466731472648,-0.738016963255541,0.0120328156484721,-0.0538580884772579
4,-0.419502150748721,0.0194903200345417,-0.433757192179513,0.0408787463823046,0.0194903200345416,-0.0640855172103634,0.0410657939023375,-0.748228799850775,-0.433757192179512,0.0410657939023371,-0.42247409323618,0.0196131456818057,0.0408787463823045,-0.748228799850774,0.0196131456818056,-0.0670478061098902
4.1,-0.394678703720532,0.0252406425224474,-0.490577717676543,0.0422163315574906,0.0252406425224473,-0.0864311142723949,0.0424969903282236,-0.746307792324604,-0.490577717676543,0.0424969903282236,-0.398134155613812,0.0253215442312985,0.0422163315574905,-0.746307792324603,0.0253215442312984,-0.0899522093631264
4.2,-0.36726751814681,0.0294978456061981,-0.544423597793733,0.0411928463949405,0.029497845606198,-0.117208042888735,0.0415426428783844,-0.732122390251954,-0.544423597793733,0.0415426428783845,-0.371207116350405,0.0295459958774799,0.0411928463949404,-0.732122390251953,0.0295459958774799,-0.12118897339343
4.3,-0.337152162183953,0.0327619162355836,-0.59462415654708,0.0383932455909177,0.0327619162355836,-0.154156475381462,0.0387888778300613,-0.705950780665749,-0.59462415654708,0.0387888778300611,-0.34156841926226,0.0327857869093197,0.0383932455909174,-0.705950780665748,0.0327857869093196,-0.15848978749008
4.4,-0.304267092822735,0.0354927240443623,-0.640568144454339,0.0344263493740321,0.0354927240443625,-0.194469758984834,0.0348501104132464,-0.668633534058405,-0.640568144454339,0.0348501104132461,-0.309144385078458,0.0354980337686996,0.0344263493740318,-0.668633534058405,0.0354980337686994,-0.199055759181398
4.5,-0.268632868842567,0.0380496293410177,-0.681747022267872,0.0298648380045911,0.0380496293410178,-0.234961035245318,0.030310884540195,-0.621597935877518,-0.681747022267872,0.0303108845401949,-0.273948126432474,0.0380385151197889,0.0298648380045911,-0.62159793587752,0.0380385151197888,-0.239726646977742
