Freq [GHz],"im(S(1,1)) []","im(S(1,2)) []","im(S(2,1)) []","im(S(2,2)) []",,,,,,,,,,,,
3,-0.710034407,0.052347824,0,0,0.052347824,0.340544555,0,0,0,0,-0.710034407,0.052347824,0,0,0.052347824,0.340544555
3.1,-0.651531552,0.055603672,0,0,0.055603672,0.452151042,0,0,0,0,-0.651531552,0.055603672,0,0,0.055603672,0.452151042
3.2,-0.588704251,0.05815127,0,0,0.05815127,0.552030874,0,0,0,0,-0.588704251,0.05815127,0,0,0.05815127,0.552030874
3.3,-0.521926445,0.059827723,0,0,0.059827723,0.636876864,0,0,0,0,-0.521926445,0.059827723,0,0,0.059827723,0.636876864
3.4,-0.451601234,0.060474032,0,0,0.060474032,0.703650663,0,0,0,0,-0.451601234,0.060474032,0,0,0.060474032,0.703650663
3.5,-0.37815883,0.059944283,0,0,0.059944283,0.749786223,0,0,0,0,-0.37815883,0.059944283,0,0,0.059944283,0.749786223
3.6,-0.302054299,0.058116137,0,0,0.058116137,0.773393662,0,0,0,0,-0.302054299,0.058116137,0,0,0.058116137,0.773393662
3.7,-0.223765095,0.054901836,0,0,0.054901836,0.773446445,0,0,0,0,-0.223765095,0.054901836,0,0,0.054901836,0.773446445
3.8,-0.143788437,0.050258563,0,0,0.050258563,0.749933791,0,0,0,0,-0.143788437,0.050258563,0,0,0.050258563,0.749933791
3.9,-0.062638548,0.044196838,0,0,0.044196838,0.703959803,0,0,0,0,-0.062638548,0.044196838,0,0,0.044196838,0.703959803
4,0.019156203,0.03678562,0,0,0.03678562,0.637770966,0,0,0,0,0.019156203,0.03678562,0,0,0.03678562,0.637770966
4.1,0.101056211,0.028153076,0,0,0.028153076,0.554695129,0,0,0,0,0.101056211,0.028153076,0,0,0.028153076,0.554695129
4.2,0.182513553,0.018482496,0,0,0.018482496,0.458979635,0,0,0,0,0.182513553,0.018482496,0,0,0.018482496,0.458979635
4.3,0.262974881,0.00800356,0,0,0.00800356,0.355526025,0,0,0,0,0.262974881,0.00800356,0,0,0.00800356,0.355526025
4.4,0.341884233,-0.003020138,0,0,-0.003020138,0.249534863,0,0,0,0,0.341884233,-0.003020138,0,0,-0.003020138,0.249534863
4.5,0.418685747,-0.014305876,0,0,-0.014305876,0.146094677,0,0,0,0,0.418685747,-0.014305876,0,0,-0.014305876,0.146094677
