"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(1,3)) []","re(S(1,4)) []","re(S(2,1)) []","re(S(2,2)) []","re(S(2,3)) []","re(S(2,4)) []","re(S(3,1)) []","re(S(3,2)) []","re(S(3,3)) []","re(S(3,4)) []","re(S(4,1)) []","re(S(4,2)) []","re(S(4,3)) []","re(S(4,4)) []"
3,-0.391778145048936,0.0342467099861974,0.606319411981346,-0.0117495008657941,0.0342467099861949,-0.247927888997389,0.0118147879904174,-0.266193411071959,0.606319411981349,0.0118147879904204,-0.388953864709493,-0.0342253229643042,-0.0117495008657938,-0.266193411071961,-0.0342253229643036,-0.248058217168079
3.1,-0.434629377611207,0.033319860392235,0.550050100196949,-0.00627327165134639,0.0333198603922348,-0.242254183751943,0.0063172152377149,-0.136531822372998,0.550050100196951,0.0063172152377153,-0.432200131947273,-0.0333001877583696,-0.00627327165134613,-0.136531822372999,-0.0333001877583691,-0.2423703173947
3.2,-0.468241091661634,0.0326908112746161,0.483688853329555,-0.00171919120320282,0.0326908112746161,-0.23377206132704,0.00174262793491714,1.05624794063307E-05,0.483688853329557,0.0017426279349173,-0.466237898512982,-0.0326771959067783,-0.00171919120320313,1.05624794059869E-05,-0.0326771959067785,-0.23386647276522
3.3,-0.491519700579964,0.0320872730022333,0.407194558495721,0.00188622350348456,0.0320872730022333,-0.222927765438304,-0.0018827778436629,0.139755465643026,0.407194558495722,-0.00188277784366258,-0.489956224164767,-0.0320832544633203,0.0018862235034842,0.139755465643025,-0.0320832544633207,-0.223000208526814
3.4,-0.503535750444859,0.0312242678155296,0.320684323326248,0.004572710493826,0.0312242678155298,-0.209857896527559,-0.00458915959367276,0.278501685693224,0.320684323326247,-0.00458915959367258,-0.502406759343053,-0.0312324230227478,0.00457271049382609,0.278501685693222,-0.0312324230227479,-0.209915513616999
3.5,-0.503608596204524,0.029810842437859,0.224485818906607,0.00637850427593136,0.0298108424378596,-0.194393874687552,-0.00641495189780896,0.411730689334313,0.224485818906606,-0.00641495189780917,-0.502889353076618,-0.0298326554022671,0.00637850427593198,0.41173068933431,-0.0298326554022669,-0.194451001271126
3.6,-0.491401948344063,0.0275736141783778,0.119204428650671,0.00733119848576831,0.0275736141783786,-0.176044356568456,-0.00738756290545441,0.534795240729368,0.11920442865067,-0.00738756290545493,-0.4910487655933,-0.0276094073748957,0.00733119848576913,0.534795240729366,-0.0276094073748955,-0.176122201701906
3.7,-0.467025157477429,0.0242961592248494,0.00580640260780489,0.00744589602712911,0.02429615922485,-0.153949652693389,-0.00752144325004472,0.64304158641888,0.00580640260780438,-0.00752144325004515,-0.466977279795706,-0.0243451800096189,0.00744589602712971,0.64304158641888,-0.0243451800096188,-0.154075716349248
3.8,-0.431133826465907,0.0198602570399091,-0.114283687585249,0.00673373630345626,0.0198602570399095,-0.126809722108007,-0.00682661748963048,0.73184859926163,-0.114283687585248,-0.00682661748963041,-0.431316696751654,-0.0199209500687855,0.00673373630345636,0.731848599261633,-0.0199209500687856,-0.127016437963766
3.9,-0.38502234696136,0.0142686498790238,-0.239078077594648,0.00521677711051783,0.0142686498790239,-0.0928049615339612,-0.00532370018326742,0.796629909172282,-0.239078077594646,-0.00532370018326675,-0.385352202211001,-0.0143390284510076,0.00521677711051752,0.796629909172288,-0.0143390284510076,-0.0931265752221697
4,-0.330699568962712,0.00763832389545716,-0.365928376533336,0.00294613659539992,0.00763832389545726,-0.0495743046806255,-0.00306235536996932,0.832931001819055,-0.365928376533333,-0.00306235536996841,-0.331089226568573,-0.00771626919294416,0.00294613659539958,0.832931001819061,-0.00771626919294398,-0.0500405522065752
4.1,-0.270935538240573,0.000178832891056849,-0.491460932364251,2.02488459920218E-05,0.000178832891056983,0.00558257927308452,-0.000140070515878075,0.836835475030941,-0.49146093236425,-0.00014007051587759,-0.271301181881195,-0.00026213726049078,2.02488459919243E-05,0.836835475030944,-0.000262137260490744,0.00495703257906405
4.2,-0.209260005718566,-0.00780046863385937,-0.611581468204142,-0.00339920551070103,-0.00780046863385945,0.0749336708157681,0.00328124639639712,0.805897196310915,-0.611581468204144,0.00328124639639687,-0.209528727356127,0.00771452487469523,-0.00339920551070125,0.805897196310915,0.00771452487469462,0.07416154675189
4.3,-0.149880777437939,-0.0157919991679871,-0.721592554078733,-0.00707235448368999,-0.0157919991679876,0.15848815259164,0.00695961096609081,0.740601392415658,-0.721592554078736,0.00695961096609057,-0.149998470186059,0.0157078961836224,-0.00707235448369144,0.740601392415658,0.0157078961836211,0.157611497448744
4.4,-0.0974739665103578,-0.0228552360220796,-0.816463090325967,-0.010656328914391,-0.0228552360220799,0.251079231637636,0.0105474514073047,0.645840136098357,-0.816463090325965,0.010547451407306,-0.0974127296198902,0.0227816766147701,-0.0106563289143942,0.64584013609836,0.0227816766147694,0.25013896000466
4.5,-0.0567888963081815,-0.0273535755430629,-0.891264942359141,-0.0136409288893992,-0.0273535755430607,0.340281146166036,0.0135264463100958,0.531325333077305,-0.891264942359126,0.0135264463100972,-0.0565523057167082,0.0273060315047791,-0.0136409288893998,0.531325333077307,0.0273060315047804,0.33925483665254
