"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(2,1)) []","re(S(2,2)) []"
3,-0.990321770931032,-0.086345816768475,-0.0863458167684757,0.141786668916837
3.1,-0.974615401804888,-0.0944685016990664,-0.0944685016990671,0.253421977081511
3.2,-0.939118381910437,-0.0973894538437449,-0.0973894538437453,0.336410920929633
3.3,-0.88277026429073,-0.0938425422442469,-0.093842542244247,0.392419142273354
3.4,-0.804904834317642,-0.083085872045907,-0.0830858720459072,0.428172820485657
3.5,-0.705379004809247,-0.0651968192914126,-0.0651968192914132,0.453662921818191
3.6,-0.584715749876106,-0.0412377268781253,-0.0412377268781261,0.478828081319216
3.7,-0.444261074898393,-0.0131973373832377,-0.013197337383238,0.509923195208211
3.8,-0.286354999822152,0.0162939503563656,0.0162939503563661,0.547380956798978
3.9,-0.114513040369723,0.0443618257561491,0.0443618257561498,0.586097864571736
4,0.0663961892621173,0.068229246371176,0.0682292463711758,0.617464619644978
4.1,0.250014018671973,0.0853716558016578,0.0853716558016571,0.631759585984523
4.2,0.428467451762937,0.0934611454799359,0.0934611454799379,0.620101394848567
4.3,0.592570407880007,0.0901961005555998,0.0901961005556085,0.576024859400535
4.4,0.732385962186252,0.0732639296962014,0.0732639296962147,0.497031629518098
4.5,0.838247924687046,0.0409335000850524,0.040933500085053,0.386048086190656
