"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(2,1)) []","re(S(2,2)) []"
3,-0.701259000889123,-0.0344738717830861,-0.0344738717830862,0.464032442443524
3.1,-0.755794393516939,-0.0364647478169896,-0.0364647478169893,0.334230946247835
3.2,-0.805511878894521,-0.0377475579599665,-0.0377475579599662,0.196999957783547
3.3,-0.850040907020771,-0.0380395398712858,-0.0380395398712856,0.0561113654965891
3.4,-0.889033701626295,-0.0369997912437033,-0.0369997912437033,-0.0836712527306192
3.5,-0.922169864849293,-0.0342363121421348,-0.034236312142135,-0.216433770959474
3.6,-0.949163648623883,-0.0293325499560674,-0.0293325499560676,-0.335086631747237
3.7,-0.969774068405708,-0.0219051377901477,-0.0219051377901478,-0.431638801634736
3.8,-0.983816796079609,-0.0117021528190405,-0.0117021528190405,-0.497980338124011
3.9,-0.991174961810686,0.00126210671199188,0.00126210671199202,-0.527331318336921
4,-0.991804407215684,0.0165683451456133,0.0165683451456134,-0.516260407611659
4.1,-0.985729007000389,0.0333171313815458,0.0333171313815459,-0.466696729477682
4.2,-0.973024588312369,0.0501961138053505,0.0501961138053504,-0.386899209322286
4.3,-0.953795097383494,0.0657189500864913,0.0657189500864912,-0.290428392490154
4.4,-0.928149074485272,0.0785634517290687,0.0785634517290687,-0.193096714155487
4.5,-0.896184991986917,0.0878597390334588,0.0878597390334589,-0.109125445252921
