"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(2,1)) []","re(S(2,2)) []"
3,0.942290490822172,0.0655971006320658,0.0655971006320657,0.480626157030884
3.1,0.905356368961077,0.0782140941381839,0.0782140941381837,0.353038531164661
3.2,0.859543993969364,0.0905487402126778,0.0905487402126778,0.217838925864446
3.3,0.805583263293987,0.102173797354841,0.102173797354841,0.078704616174245
3.4,0.744269146093479,0.112526808306308,0.112526808306308,-0.0597489400824131
3.5,0.676461827255347,0.120884836977233,0.120884836977233,-0.191826543231605
3.6,0.603084178048511,0.12635784232452,0.126357842324519,-0.310736632817008
3.7,0.525110495478581,0.127923523475643,0.127923523475642,-0.408847962269285
3.8,0.443540291256732,0.124533052163283,0.124533052163282,-0.478406432431379
3.9,0.359354470891382,0.115311089568536,0.115311089568535,-0.512852705819046
4,0.273459474234767,0.0998404805541644,0.0998404805541644,-0.508660252398995
4.1,0.186635160965727,0.0784573790621639,0.0784573790621642,-0.467196552852878
4.2,0.0995074735040087,0.0524159266778661,0.0524159266778663,-0.395698963346136
4.3,0.0125605772125403,0.0237816289641467,0.0237816289641466,-0.306490776446187
4.4,-0.0738135529692247,-0.00497135957786471,-0.0049713595778648,-0.214333260176594
4.5,-0.159246796008374,-0.0315088054609169,-0.0315088054609168,-0.13291864922127
