"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(2,1)) []","re(S(2,2)) []"
3,0.946666459139966,-0.0231342688163132,-0.0231342688163133,-0.827584046832993
3.1,0.909999613396366,-0.0224496841399869,-0.0224496841399868,-0.754259553594385
3.2,0.864450607839695,-0.0208806941237099,-0.0208806941237098,-0.663996156173929
3.3,0.810706626126045,-0.0183088424403374,-0.0183088424403375,-0.558781035689145
3.4,0.749508121618707,-0.0146374832014292,-0.0146374832014291,-0.441313451592073
3.5,0.681638474326225,-0.00980305195273995,-0.0098030519527401,-0.314977191854244
3.6,0.607914028550578,-0.00378683977711577,-0.00378683977711573,-0.183755906325102
3.7,0.529174515941723,0.00337385251052847,0.00337385251052847,-0.0520844869996373
3.8,0.44627387168105,0.0115765844500705,0.0115765844500706,0.0753631152735839
3.9,0.36007146682451,0.0206481898271168,0.0206481898271167,0.193939630653709
4,0.271423802804076,0.0303441177094166,0.0303441177094166,0.299323216545852
4.1,0.181176736824509,0.0403536549362062,0.0403536549362062,0.387819462907327
4.2,0.0901583202814413,0.0503112948000312,0.0503112948000312,0.456631623274784
4.3,-0.000827671816601372,0.0598136827448234,0.0598136827448232,0.504064705019773
4.4,-0.0910074676604039,0.0684407694905383,0.0684407694905383,0.529636360396226
4.5,-0.179642272717844,0.07577922221265,0.07577922221265,0.534080351597995
