"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(1,3)) []","re(S(1,4)) []","re(S(2,1)) []","re(S(2,2)) []","re(S(2,3)) []","re(S(2,4)) []","re(S(3,1)) []","re(S(3,2)) []","re(S(3,3)) []","re(S(3,4)) []","re(S(4,1)) []","re(S(4,2)) []","re(S(4,3)) []","re(S(4,4)) []"
3,0.127361630566359,-0.0158723054907882,0.830134629687059,-0.0212745335316505,-0.0158723054907886,0.0041443431530257,-0.0211985381105449,0.920132486055265,0.83013462968706,-0.0211985381105443,0.131181169023869,-0.0160102938164501,-0.0212745335316507,0.920132486055264,-0.0160102938164507,0.00410443123006377
3.1,0.0852042393393607,-0.0243615779310549,0.842474021803355,-0.0272039095678795,-0.0243615779310553,-0.00941422943966906,-0.0271810856891393,0.889910960671819,0.842474021803357,-0.027181085689139,0.0892822873186947,-0.0244903757128777,-0.0272039095678798,0.889910960671816,-0.0244903757128783,-0.00920192058089461
3.2,0.0406692909290203,-0.0333912771981303,0.847642090095802,-0.0332437564062041,-0.0333912771981307,-0.0208750957405814,-0.033295717719421,0.846517506266666,0.847642090095804,-0.0332957177194208,0.044970931941268,-0.0334993299678758,-0.0332437564062044,0.846517506266663,-0.033499329967876,-0.0203704145430296
3.3,-0.00554935527975157,-0.0425302015481937,0.846013084316778,-0.0389472159549115,-0.0425302015481941,-0.0292118105332522,-0.0390933673671902,0.790521165809523,0.846013084316781,-0.0390933673671902,-0.00106218416409504,-0.0426039133624675,-0.0389472159549118,0.790521165809521,-0.0426039133624674,-0.0283756949691963
3.4,-0.0526265377229572,-0.0511400142398787,0.838140484968371,-0.0436791415713439,-0.0511400142398787,-0.0332147368218579,-0.0439328691479287,0.723018611700686,0.838140484968373,-0.0439328691479289,-0.04799254330405,-0.0511656798592116,-0.0436791415713441,0.723018611700686,-0.0511656798592116,-0.0320211859987516
3.5,-0.0995967715876146,-0.0583862275955764,0.824730725379119,-0.0466464408723839,-0.0583862275955762,-0.0316665244027263,-0.0470121641206794,0.64592370026381,0.824730725379119,-0.0470121641206798,-0.0948539031829751,-0.0583528304529552,-0.0466464408723842,0.645923700263809,-0.0583528304529555,-0.0301184190003038
3.6,-0.145445474464866,-0.0633838716298891,0.806532407821149,-0.0470437011850519,-0.0633838716298889,-0.0236698217299707,-0.0475143484615682,0.561825508532364,0.806532407821147,-0.0475143484615686,-0.140630758961051,-0.0632862755551885,-0.0470437011850523,0.561825508532362,-0.0632862755551891,-0.0218141642488616
3.7,-0.189327931145953,-0.065501125954959,0.78413950384294,-0.0443376187567302,-0.0655011259549589,-0.00908700854082758,-0.0448915043130892,0.473273516116871,0.784139503842937,-0.0448915043130891,-0.184477906668151,-0.0653425633316089,-0.0443376187567306,0.473273516116869,-0.0653425633316094,-0.00702210502688372
3.8,-0.230802107884577,-0.0646759270397028,0.757799729562587,-0.0385780406760854,-0.0646759270397028,0.0110664896030843,-0.0391781646989884,0.382106078202989,0.757799729562584,-0.039178164698988,-0.225953635490391,-0.0644681559930124,-0.0385780406760856,0.382106078202989,-0.0644681559930126,0.0131985966949116
3.9,-0.269872339539753,-0.0614864387582709,0.727376011386838,-0.0304895623669181,-0.0614864387582708,0.0345095108181895,-0.0310919585461215,0.289480073981457,0.727376011386837,-0.0310919585461214,-0.26506444487445,-0.0612465942316016,-0.0304895623669182,0.289480073981458,-0.0612465942316018,0.0365451985976979
4,-0.306791330210251,-0.0568832558227776,0.692514149671862,-0.021207743794989,-0.0568832558227773,0.0580072605996448,-0.0217761333874818,0.196400320331421,0.692514149671862,-0.0217761333874823,-0.302067644876736,-0.0566286101178339,-0.0212077437949891,0.196400320331422,-0.0566286101178341,0.0597890542778103
4.1,-0.34179464352923,-0.0517935124088946,0.652895802852116,-0.0118535509141127,-0.0517935124088943,0.0780012657842904,-0.0123663391947655,0.104164033071729,0.652895802852116,-0.012366339194766,-0.337204521374361,-0.0515369816384583,-0.0118535509141129,0.104164033071729,-0.0515369816384584,0.0793996660997316
4.2,-0.374947055229077,-0.046863623667343,0.608410672812111,-0.00326201593095777,-0.0468636236673428,0.0912463657538627,-0.00370892036463332,0.0144848049894623,0.608410672812111,-0.0037089203646334,-0.370544454915204,-0.0466119360145049,-0.00326201593095774,0.0144848049894624,-0.0466119360145049,0.0921707320273853
4.3,-0.406124856239888,-0.0424117781828489,0.559191343298532,0.00405330993268903,-0.0424117781828489,0.0951853103208237,0.00367332180409787,-0.0706215266846961,0.559191343298532,0.00367332180409797,-0.401965981893853,-0.0421660968675403,0.00405330993268915,-0.0706215266846963,-0.0421660968675401,0.0955866713870661
4.4,-0.435065618599798,-0.0385019855274146,0.505560289779643,0.00983862966416048,-0.0385019855274147,0.0880224972879872,0.00951678949202097,-0.149058546786652,0.505560289779643,0.00951678949202095,-0.431206690279977,-0.0382597102454552,0.00983862966416049,-0.149058546786653,-0.0382597102454549,0.0878927612275818
4.5,-0.461425971805831,-0.0350396889810798,0.447956582131074,0.0140518029403518,-0.0350396889810798,0.0686629206514384,0.0137753151685031,-0.218895335695507,0.447956582131074,0.0137753151685032,-0.457921753598236,-0.0347964003425726,0.0140518029403518,-0.218895335695508,-0.0347964003425726,0.0680301311164089
