Freq [GHz],"re(S(1,1)) []","re(S(1,2)) []",,,"re(S(2,1)) []","re(S(2,2)) []",,,,,,,,,,
3,-0.724736323,-0.023612251,0,0,-0.023612251,-0.060025467,0,0,0,0,-0.724736323,-0.023612251,0,0,-0.023612251,-0.060025467
3.1,-0.66789819,-0.026399015,0,0,-0.026399015,-0.036820259,0,0,0,0,-0.66789819,-0.026399015,0,0,-0.026399015,-0.036820259
3.2,-0.606708829,-0.029191278,0,0,-0.029191278,-0.012245843,0,0,0,0,-0.606708829,-0.029191278,0,0,-0.029191278,-0.012245843
3.3,-0.54151787,-0.031937746,0,0,-0.031937746,0.013293241,0,0,0,0,-0.54151787,-0.031937746,0,0,-0.031937746,0.013293241
3.4,-0.472706367,-0.034573201,0,0,-0.034573201,0.039252086,0,0,0,0,-0.472706367,-0.034573201,0,0,-0.034573201,0.039252086
3.5,-0.400685627,-0.03701539,0,0,-0.03701539,0.064915568,0,0,0,0,-0.400685627,-0.03701539,0,0,-0.03701539,0.064915568
3.6,-0.325895661,-0.039161744,0,0,-0.039161744,0.089367551,0,0,0,0,-0.325895661,-0.039161744,0,0,-0.039161744,0.089367551
3.7,-0.248803191,-0.040886385,0,0,-0.040886385,0.111463571,0,0,0,0,-0.248803191,-0.040886385,0,0,-0.040886385,0.111463571
3.8,-0.169899184,-0.042038223,0,0,-0.042038223,0.129814872,0,0,0,0,-0.169899184,-0.042038223,0,0,-0.042038223,0.129814872
3.9,-0.089695891,-0.042441485,0,0,-0.042441485,0.142796471,0,0,0,0,-0.089695891,-0.042441485,0,0,-0.042441485,0.142796471
4,-0.008723363,-0.041900596,0,0,-0.041900596,0.148597539,0,0,0,0,-0.008723363,-0.041900596,0,0,-0.041900596,0.148597539
4.1,0.072474531,-0.040211839,0,0,-0.040211839,0.145336789,0,0,0,0,0.072474531,-0.040211839,0,0,-0.040211839,0.145336789
4.2,0.153344563,-0.037184138,0,0,-0.037184138,0.131264859,0,0,0,0,0.153344563,-0.037184138,0,0,-0.037184138,0.131264859
4.3,0.233329041,-0.032670103,0,0,-0.032670103,0.105063269,0,0,0,0,0.233329041,-0.032670103,0,0,-0.032670103,0.105063269
4.4,0.311871052,-0.026605312,0,0,-0.026605312,0.06621885,0,0,0,0,0.311871052,-0.026605312,0,0,-0.026605312,0.06621885
4.5,0.38841997,-0.019048799,0,0,-0.019048799,0.015403376,0,0,0,0,0.38841997,-0.019048799,0,0,-0.019048799,0.015403376
