"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(2,1)) []","im(S(2,2)) []"
3,-0.327365810656482,-0.0453430386949802,-0.0453430386949801,-0.894316930731435
3.1,-0.417317189090615,-0.0396255397187686,-0.0396255397187685,-0.917828476461271
3.2,-0.502206071473628,-0.0323787592530718,-0.0323787592530719,-0.918597921373853
3.3,-0.581317056822675,-0.0235050663229745,-0.0235050663229747,-0.895294510641358
3.4,-0.654015459103686,-0.012933002944449,-0.0129330029444491,-0.847069130461155
3.5,-0.719750324978602,-0.000643279737648816,-0.000643279737648755,-0.773825253613395
3.6,-0.77805985959008,0.0132931102332083,0.0132931102332085,-0.676598088052844
3.7,-0.828578559854332,0.0286641277828795,0.0286641277828797,-0.55803202491519
3.8,-0.871044451308271,0.0450574918646614,0.0450574918646614,-0.422894416134434
3.9,-0.905304054681181,0.0618060543344876,0.0618060543344874,-0.278477860808789
4,-0.931312382094248,0.0779627568673407,0.0779627568673404,-0.134639516456984
4.1,-0.949125677578358,0.092339819380675,0.092339819380675,-0.00316579003551058
4.2,-0.958885899723001,0.103642273032575,0.103642273032575,0.10375628367701
4.3,-0.960797907547881,0.110694982825791,0.110694982825792,0.175842489039497
4.4,-0.955102424809877,0.112708132324958,0.112708132324959,0.207163411994171
4.5,-0.942049415263385,0.109480693126076,0.109480693126076,0.197766840401782
