"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(2,1)) []","im(S(2,2)) []"
3,-0.309361349423301,0.0682106938370516,0.0682106938370518,-0.805316248831348
3.1,-0.401564918469905,0.0613136269305531,0.0613136269305531,-0.854992168629916
3.2,-0.488678323667191,0.0520653808006093,0.0520653808006092,-0.882950020458752
3.3,-0.56990853076248,0.04024061759175,0.0402406175917501,-0.886854421128133
3.4,-0.644553957251267,0.0256567422335414,0.025656742233541,-0.864785813488104
3.5,-0.712014236900216,0.00823134887286081,0.00823134887286067,-0.815620090805415
3.6,-0.771803664985766,-0.011931036495195,-0.0119310364951951,-0.739591497898509
3.7,-0.823568387259948,-0.0344241436914144,-0.0344241436914145,-0.639026195362102
3.8,-0.867104742083997,-0.058415562998728,-0.0584155629987278,-0.519121467196876
3.9,-0.90237168474813,-0.0825598319366109,-0.0825598319366103,-0.38846318166605
4,-0.929485519541122,-0.105025149416457,-0.105025149416458,-0.258794520028883
4.1,-0.948684925707438,-0.123709134754038,-0.123709134754038,-0.143567964860866
4.2,-0.96026430675312,-0.136652131672637,-0.136652131672637,-0.0552571263954448
4.3,-0.964493262797921,-0.142529424384521,-0.142529424384521,-0.0022213659029724
4.4,-0.961556002646342,-0.141004743451944,-0.141004743451945,0.0134740272336257
4.5,-0.951539120335857,-0.132768039249426,-0.132768039249426,-0.00382138535239875
