"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(1,3)) []","im(S(1,4)) []","im(S(2,1)) []","im(S(2,2)) []","im(S(2,3)) []","im(S(2,4)) []","im(S(3,1)) []","im(S(3,2)) []","im(S(3,3)) []","im(S(3,4)) []","im(S(4,1)) []","im(S(4,2)) []","im(S(4,3)) []","im(S(4,4)) []"
3,-0.470204909047223,-0.00143602211725645,-0.486292198763948,0.0248179063277137,-0.00143602211725992,-0.0661058207811334,0.0249108698705578,-0.837939709344178,-0.486292198763948,0.0249108698705613,-0.472320012983672,-0.00146985206788068,0.0248179063277207,-0.837939709344181,-0.00146985206787379,-0.0662372626389518
3.1,-0.411854040333009,0.00145393554087586,-0.561940976311587,0.0240787307888499,0.00145393554087421,-0.0313058522560063,0.0241881802501475,-0.872786494295459,-0.561940976311589,0.0241881802501492,-0.414149763248372,0.00141028450991721,0.0240787307888537,-0.872786494295459,0.00141028450992049,-0.0314465814579674
3.2,-0.347935639202715,0.00441669196351929,-0.63299372736245,0.0223306237167011,0.00441669196351851,0.00130244508158119,0.0224516676628412,-0.886863964524549,-0.632993727362455,0.0224516676628419,-0.350334825310456,0.00436372433876297,0.0223306237167016,-0.886863964524548,0.00436372433876351,0.00115640105496243
3.3,-0.279829579189327,0.00766388176541475,-0.69809933408465,0.0199189425621159,0.00766388176541424,0.0321789285301589,0.0200471485962451,-0.878276032135484,-0.698099334084655,0.0200471485962454,-0.282250286931314,0.00760352182782617,0.0199189425621155,-0.878276032135486,0.0076035218278261,0.0320285416809352
3.4,-0.209207080577349,0.011284106728479,-0.755744405700588,0.0170916006824023,0.0112841067284785,0.0618455774263671,0.0172226449840288,-0.845892683228852,-0.755744405700594,0.0172226449840288,-0.211566365679357,0.0112190697483193,0.0170916006824027,-0.845892683228855,0.0112190697483199,0.0616900449375441
3.5,-0.138033024392361,0.0152535892170413,-0.804247381192826,0.0140304581637108,0.0152535892170408,0.0908274897842655,0.0141598070718644,-0.789448920885218,-0.804247381192831,0.0141598070718642,-0.140251257811924,0.0151869269884906,0.0140304581637123,-0.78944892088522,0.0151869269884919,0.0906655814179332
3.6,-0.0685459568325944,0.0194318245820406,-0.841762318695012,0.0108839574665069,0.0194318245820403,0.119600702710127,0.0110066804112065,-0.709561213381911,-0.841762318695014,0.0110066804112062,-0.0705514565569945,0.0193664870566056,0.0108839574665084,-0.70956121338191,0.0193664870566067,0.11943229872766
3.7,-0.00321060436077009,0.0235652663325172,-0.866300313004303,0.00779420287843298,0.0235652663325173,0.148523785688688,0.0079049931695261,-0.607700500832576,-0.866300313004304,0.00790499316952565,-0.0049442697243406,0.023503718222379,0.00779420287843349,-0.607700500832571,0.0235037182223791,0.148351797317552
3.8,0.0553615976777556,0.0273126757645768,-0.87577940641506,0.00491693172235959,0.0273126757645771,0.177721147062214,0.00501040928873551,-0.486197208385621,-0.875779406415059,0.00501040928873506,0.0539420213923574,0.0272567049962325,0.00491693172235871,-0.486197208385614,0.0272567049962315,0.177554066400674
3.9,0.104528088662239,0.0302890670070798,-0.868116352992503,0.00243389412990644,0.0302890670070801,0.206869902314638,0.00250524358069911,-0.348369440517524,-0.868116352992502,0.00250524358069872,0.103444509025749,0.0302398923184875,0.00243389412990497,-0.34836944051752,0.0302398923184863,0.206725138017563
4,0.141771441264307,0.0321060996985123,-0.84137421984894,0.000557244612858024,0.0321060996985122,0.234822561470284,0.000603176342517274,-0.198836582262357,-0.84137421984894,0.000603176342516944,0.141023066011129,0.0320647690553692,0.000557244612857275,-0.198836582262359,0.0320647690553686,0.234730240288616
4.1,0.164902029920635,0.0323802499698239,-0.793976232680154,-0.000473507447685601,0.0323802499698235,0.259000881482259,-0.000453597630176078,-0.0439743489886026,-0.793976232680156,-0.000453597630176429,0.164464542573533,0.0323482520719143,-0.000473507447685326,-0.0439743489886041,0.0323482520719142,0.259006471045377
4.2,0.172313142478359,0.0306976033602432,-0.72498554792654,-0.000398879890617343,0.0306976033602429,0.274612686283635,-0.000401797490674428,0.107739644305497,-0.724985547926543,-0.000401797490674907,0.17213982980298,0.0306776594168673,-0.000398879890618261,0.107739644305502,0.0306776594168657,0.274774331991109
4.3,0.163289688425489,0.0265697078724194,-0.634430388671991,0.00105548088739916,0.0265697078724198,0.274173915698697,0.00103748516012464,0.245990772344697,-0.634430388671993,0.00103748516012402,0.16331505484691,0.0265666710777741,0.001055480887393,0.245990772344711,0.0265666710777692,0.274548815594552
4.4,0.138354150902336,0.0195021545682001,-0.523624926697215,0.0041842998339435,0.0195021545682009,0.248689475967732,0.00416360255158812,0.360049957033372,-0.523624926697213,0.00416360255158753,0.138500653999709,0.0195231975925378,0.00418429983393206,0.360049957033387,0.0195231975925311,0.249311387019937
4.5,0.0995951996266118,0.00942194457242924,-0.395405501048202,0.00932072265108049,0.00942194457242889,0.192233772255399,0.00931314771065604,0.441375687652032,-0.395405501048199,0.0093131477106558,0.0997835670700538,0.00947303983933368,0.00932072265108182,0.441375687652028,0.00947303983933228,0.193108722183218
