"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(2,1)) []","im(S(2,2)) []"
3,-0.714284976199013,-0.0520976828572645,-0.0520976828572643,0.334360823213644
3.1,-0.656261976922019,-0.0553837368517242,-0.0553837368517239,0.446367520425774
3.2,-0.593905785273575,-0.0579713571892449,-0.0579713571892445,0.546826629472816
3.3,-0.527585737287527,-0.0596974290859363,-0.059697429085936,0.632424141334045
3.4,-0.457700312526726,-0.0604021999933253,-0.0604021999933252,0.700103231958014
3.5,-0.38467511389012,-0.0599384095564656,-0.0599384095564657,0.747267247695555
3.6,-0.308960626826995,-0.0581817799689061,-0.0581817799689063,0.771984394743911
3.7,-0.231029779633114,-0.0550420740168422,-0.0550420740168424,0.773177114997394
3.8,-0.151375332855293,-0.0504735961885439,-0.0504735961885442,0.750777897494588
3.9,-0.0705071316785924,-0.0444837971965541,-0.0444837971965543,0.705832721779264
4,0.0110507399008039,-0.0371386372785766,-0.0371386372785767,0.64053339942305
4.1,0.0927628607365072,-0.0285636284829181,-0.0285636284829181,0.558161508769404
4.2,0.174085385854985,-0.0189400039647727,-0.0189400039647727,0.462931128528106
4.3,0.254468927684156,-0.00849616455581603,-0.00849616455581602,0.359727301436108
4.4,0.333361364441907,0.00250472470549831,0.0025047247054983,0.253753164461283
4.5,0.410210540891109,0.0137795463198763,0.0137795463198763,0.150119131009937
