"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(1,3)) []","im(S(1,4)) []","im(S(2,1)) []","im(S(2,2)) []","im(S(2,3)) []","im(S(2,4)) []","im(S(3,1)) []","im(S(3,2)) []","im(S(3,3)) []","im(S(3,4)) []","im(S(4,1)) []","im(S(4,2)) []","im(S(4,3)) []","im(S(4,4)) []"
3,-0.601960666299389,0.0146252492507572,0.225402160230308,0.0199861330478461,0.0146252492507575,-0.166273579097078,0.0199443882838545,0.626216673504771,0.225402160230307,0.0199443882838546,-0.602419137435336,0.0146459522955107,0.0199861330478461,0.626216673504772,0.0146459522955107,-0.166115751795264
3.1,-0.576306118326633,0.00771834061404945,0.296322734078046,0.0272540601156121,0.00771834061405079,-0.129047679269298,0.0272332799233676,0.693736218324022,0.296322734078047,0.0272332799233684,-0.57685532117484,0.00775236915223692,0.0272540601156196,0.693736218324014,0.00775236915223338,-0.128934077343738
3.2,-0.544572815752808,0.00238575574209164,0.365545494080925,0.0321038485160957,0.00238575574209373,-0.0962292623437984,0.0321044771023453,0.752097734853441,0.365545494080927,0.0321044771023467,-0.545178649962551,0.0024373951935593,0.0321038485161117,0.752097734853433,0.00243739519354488,-0.0961743450700133
3.3,-0.507088581802138,-0.00138943557694921,0.432340629542245,0.0345254993178994,-0.00138943557694742,-0.0684168261625482,0.0345451855349792,0.799394340061931,0.432340629542247,0.0345451855349807,-0.507713131662314,-0.00131767858048812,0.0345254993179187,0.799394340061926,-0.00131767858050777,-0.0684242803088494
3.4,-0.464199153368012,-0.0040939945561465,0.495970699276304,0.0349160757754733,-0.00409399455614555,-0.0452229930790248,0.0349505444224951,0.833456017715872,0.495970699276307,0.0349505444224964,-0.464801586928278,-0.00400157314952113,0.0349160757754902,0.833456017715874,-0.00400157314953797,-0.0452890793131211
3.5,-0.416309499845998,-0.00635289317397537,0.555707290880765,0.0337974732894474,-0.00635289317397512,-0.0257355565676883,0.0338413024607118,0.852014800392169,0.555707290880766,0.0338413024607127,-0.416847237773142,-0.00624062861961929,0.0337974732894587,0.852014800392176,-0.0062406286196295,-0.0258526272728681
3.6,-0.363920307472135,-0.0087131710200708,0.610841418425797,0.0316401285603866,-0.00871317102007084,-0.00880789058743769,0.0316872698330254,0.852928602724662,0.610841418425797,0.0316872698330259,-0.364350441870216,-0.00858259184358732,0.0316401285603921,0.852928602724671,-0.00858259184359146,-0.00896694168507641
3.7,-0.307654507979159,-0.0115683124855041,0.660688064074782,0.0287993777688205,-0.011568312485504,0.00680893510694714,0.0288434497340751,0.834428909357474,0.660688064074781,0.0288434497340753,-0.307935417098009,-0.0114212257661214,0.0287993777688215,0.83442890935748,-0.011421225766122,0.00661673954296564
3.8,-0.248269902492328,-0.0151611573721326,0.704585640970818,0.0255162399038915,-0.0151611573721324,0.0224385182494847,0.0255506978831086,0.795335398707046,0.704585640970816,0.0255506978831087,-0.248362985012315,-0.0149994377357504,0.0255162399038902,0.795335398707047,-0.0149994377357499,0.0222210216172447
3.9,-0.18665616346477,-0.0196118237272159,0.741891509083208,0.0219414581990692,-0.0196118237272156,0.0395026233294856,0.0219597517353674,0.735176520139591,0.741891509083205,0.0219597517353675,-0.186527611771704,-0.0194373443663876,0.0219414581990675,0.73517652013959,-0.0194373443663873,0.0392661965542805
4,-0.12381771521371,-0.0249444593274756,0.771975003167886,0.0181614947338421,-0.0249444593274753,0.0595446669682453,0.0181573173327208,0.654185352201908,0.771975003167883,0.018157317332721,-0.123440258485504,-0.0247591551241863,0.0181614947338411,0.654185352201906,-0.0247591551241865,0.0592938094914044
4.1,-0.0608475482294777,-0.0311033405426038,0.79420974085762,0.0142185522421217,-0.0311033405426036,0.0841861549484448,0.0141862898750961,0.553214210195301,0.794209740857618,0.0141862898750965,-0.0602021111107605,-0.0309094879019005,0.0142185522421215,0.553214210195302,-0.0309094879019009,0.0839230466053397
4.2,0.00110027276415042,-0.0379547682833281,0.807967287667804,0.0101223721282859,-0.0379547682833279,0.114906298605781,0.0100578842990847,0.433728721684452,0.807967287667803,0.0100578842990853,0.0020230486107659,-0.0377556577598709,0.0101223721282862,0.433728721684456,-0.0377556577598714,0.114630359953533
4.3,0.0608312610829829,-0.0452719934813745,0.812614579721886,0.00585213519132409,-0.0452719934813743,0.152472423838656,0.00575408780719003,0.298186969079456,0.812614579721887,0.00575408780719051,0.0620297064273744,-0.0450732451240884,0.00585213519132419,0.29818696907946,-0.0450732451240888,0.152180195296872
4.4,0.117119455353188,-0.052700552957515,0.807517838491174,0.00134301105662275,-0.0527005529575151,0.195819528952136,0.00121523916583798,0.151204894734045,0.807517838491176,0.00121523916583822,0.118579876628263,-0.0525123281698897,0.00134301105662259,0.151204894734045,-0.0525123281698901,0.195505362937128
4.5,0.168707467904777,-0.0597051108970288,0.792056005758089,-0.0035611296090269,-0.0597051108970296,0.240325308293612,-0.00370485466326466,0.00165843274103188,0.792056005758091,-0.00370485466326376,0.170403554675289,-0.0595452467192443,-0.00356112960902745,0.00165843274103288,-0.0595452467192451,0.23998319428435
