"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(2,1)) []","im(S(2,2)) []"
3,-0.322305836380191,-0.0459403964073907,-0.0459403964073906,-0.890163074669452
3.1,-0.414924241699854,-0.0401496616378303,-0.0401496616378298,-0.915398945934029
3.2,-0.502403248458213,-0.0327863985416668,-0.0327863985416663,-0.917872246154758
3.3,-0.584001019749137,-0.0237486411754093,-0.023748641175409,-0.896192057208913
3.4,-0.6590594773972,-0.0129618095264582,-0.0129618095264582,-0.849446026016141
3.5,-0.727007499244998,-0.000405822145202802,-0.000405822145202923,-0.777475270097215
3.6,-0.787366690138174,0.0138451026741167,0.0138451026741165,-0.681260924667982
3.7,-0.839758997560122,0.0295694233240541,0.029569423324054,-0.563413063231217
3.8,-0.883914433469428,0.0463365515093453,0.0463365515093453,-0.42869904241097
3.9,-0.91967629465259,0.0634502934043622,0.0634502934043623,-0.284459263072894
4,-0.947000909076406,0.0799240249621183,0.0799240249621183,-0.140650502101066
4.1,-0.96594942634462,0.0945241482637862,0.0945241482637861,-0.00919471251802648
4.2,-0.976670659253367,0.105912934862627,0.105912934862627,0.097590523754916
4.3,-0.979376227646888,0.112888169043825,0.112888169043825,0.169350836953263
4.4,-0.974311605641189,0.114659391965862,0.114659391965862,0.200188164048882
4.5,-0.96172829152839,0.111054054055405,0.111054054055405,0.190279486745901
