"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(1,3)) []","im(S(1,4)) []","im(S(2,1)) []","im(S(2,2)) []","im(S(2,3)) []","im(S(2,4)) []","im(S(3,1)) []","im(S(3,2)) []","im(S(3,3)) []","im(S(3,4)) []","im(S(4,1)) []","im(S(4,2)) []","im(S(4,3)) []","im(S(4,4)) []"
3,-0.472179507581824,-0.0505423848976679,0.249816883614695,-0.0275396985686364,-0.050542384897668,-0.151328179074604,-0.0276475913246997,-0.116973342143844,0.249816883614695,-0.0276475913247003,-0.471082564604123,-0.0506099139347515,-0.0275396985686364,-0.116973342143845,-0.0506099139347509,-0.151268386421992
3.1,-0.490557645937476,-0.0503465367338858,0.174261432362945,-0.0254190631769876,-0.0503465367338861,-0.143102156677315,-0.0255145817056694,-0.222111760287129,0.174261432362946,-0.0255145817056694,-0.489771141939321,-0.0504377539845605,-0.0254190631769869,-0.222111760287129,-0.050437753984559,-0.143040576513372
3.2,-0.504007247040407,-0.0484558587239649,0.0992720113296766,-0.0218139566592371,-0.0484558587239654,-0.132046581743255,-0.021885104699153,-0.322183694130707,0.0992720113296768,-0.0218851046991526,-0.503550615621456,-0.0485727696037348,-0.0218139566592365,-0.322183694130702,-0.0485727696037341,-0.132008986997538
3.3,-0.512181994112325,-0.0445458308102604,0.0256110156216203,-0.0164789666464638,-0.0445458308102609,-0.118304480834484,-0.0165120531281332,-0.415191301003558,0.02561101562162,-0.0165120531281329,-0.512066880045755,-0.0446891385714656,-0.0164789666464639,-0.415191301003553,-0.0446891385714659,-0.118319129574928
3.4,-0.514824235114996,-0.0383874251774035,-0.0460595178009245,-0.00928439720717827,-0.0383874251774037,-0.102416328210768,-0.00926663814388469,-0.498953038718032,-0.0460595178009247,-0.00926663814388453,-0.515055146211764,-0.0385552349552441,-0.00928439720717891,-0.498953038718035,-0.0385552349552444,-0.102510614099435
3.5,-0.511860927561637,-0.029992476815183,-0.115274170866504,-0.000347713195610921,-0.0299924768151828,-0.0855056858229166,-0.000270060248776633,-0.571459421558905,-0.115274170866504,-0.000270060248776633,-0.512436433887524,-0.0301788954168065,-0.00034771319561098,-0.571459421558913,-0.0301788954168056,-0.0857004498005885
3.6,-0.503531830491167,-0.0197837933865147,-0.181862636378925,0.00981318841650455,-0.0197837933865144,-0.0693989796223827,0.0099539100321955,-0.63144791072292,-0.181862636378924,0.00995391003219543,-0.504446096716763,-0.0199782236110111,0.0098131884165057,-0.631447910722925,-0.0199782236110092,-0.0697016773765452
3.7,-0.490445305970098,-0.00865922806145774,-0.245972901893799,0.0202144005944292,-0.00865922806145776,-0.0565559356691155,0.0204138041954644,-0.678704074671427,-0.245972901893798,0.0204138041954643,-0.491689839761837,-0.0088471840931488,0.0202144005944304,-0.678704074671427,-0.00884718409314738,-0.0569557776132448
3.8,-0.473441068495465,0.0021982586715514,-0.307940840956675,0.0295810374481283,0.00219825867155087,-0.0497084006265568,0.0298256560516002,-0.713693887668703,-0.307940840956676,0.0298256560516005,-0.475006393521327,0.00203268530104095,0.0295810374481278,-0.713693887668701,0.0020326853010409,-0.0501773456883622
3.9,-0.453293757900341,0.0117321970279786,-0.368032157113443,0.0367678759048141,0.0117321970279778,-0.0512421444755642,0.0370364337336617,-0.73686673331538,-0.368032157113444,0.0370364337336625,-0.455170083016993,0.0116031149168479,0.0367678759048125,-0.736866733315382,0.0116031149168469,-0.051743190167478
4,-0.430472293750673,0.0193749823422628,-0.426216065790369,0.0411544375063076,0.0193749823422621,-0.0625533641335022,0.0414240587353034,-0.748278769011013,-0.426216065790369,0.0414240587353043,-0.43264841385785,0.0192920867492271,0.0411544375063067,-0.748278769011019,0.0192920867492264,-0.0630526055651685
4.1,-0.405112772584327,0.0251199896354799,-0.482117471917059,0.0427268893876974,0.0251199896354797,-0.0836878515354635,0.0429796209962985,-0.747703397480571,-0.482117471917058,0.0429796209962988,-0.407573918742912,0.0250874828111975,0.0427268893876979,-0.747703397480576,0.0250874828111977,-0.0841638308757871
4.2,-0.377150673934547,0.0293368978602663,-0.535135799120023,0.0418826398948565,0.0293368978602664,-0.113405812432818,0.0421071398114458,-0.734967391094246,-0.535135799120022,0.0421071398114454,-0.379876862685552,0.0293539477379162,0.041882639894857,-0.734967391094247,0.0293539477379166,-0.113852273594735
4.3,-0.346472066983659,0.0325283827481319,-0.584609123564259,0.0391975448071582,0.0325283827481321,-0.149538378596031,0.0393882164214987,-0.710260050040689,-0.584609123564259,0.0393882164214981,-0.349437723847937,0.0325904412433491,0.0391975448071579,-0.710260050040687,0.0325904412433491,-0.149962076042242
4.4,-0.313008536179333,0.0351652190993987,-0.629929304118706,0.0352841033957257,0.0351652190993988,-0.189360854760407,0.0354412233083579,-0.674316993073195,-0.629929304118706,0.0354412233083577,-0.316183129781873,0.0352654426733103,0.0352841033957251,-0.674316993073192,0.0352654426733098,-0.189779034443826
4.5,-0.276775947853277,0.0376178975716806,-0.670589410549528,0.0307159650676871,0.0376178975716805,-0.229784722436527,0.0308455686953415,-0.628469481641162,-0.670589410549527,0.0308455686953414,-0.280125049769801,0.0377482363880291,0.030715965067687,-0.628469481641161,0.0377482363880291,-0.230225392259232
