"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(2,1)) []","re(S(2,2)) []"
3,0.908824017212,-0.0521139652810255,-0.0521139652810255,0.297513142180068
3.1,0.871160416556377,-0.0603458326693251,-0.060345832669325,0.16107162934686
3.2,0.825046990382116,-0.0682069344462957,-0.0682069344462957,0.0214744051749865
3.3,0.771170837803937,-0.0754348023373614,-0.0754348023373615,-0.117495876253798
3.4,0.710268191536435,-0.0817004235083419,-0.0817004235083422,-0.251404218488622
3.5,0.643120219884705,-0.0865970512953848,-0.086597051295385,-0.375104301666054
3.6,0.570547756930172,-0.0896359308426404,-0.0896359308426405,-0.482767558986337
3.7,0.493403284469145,-0.0902570814470839,-0.0902570814470837,-0.568081496862165
3.8,0.412558829544981,-0.087866443630427,-0.0878664436304266,-0.624719818862254
3.9,0.328889285940465,-0.0819114510099867,-0.0819114510099863,-0.6471775155409
4,0.243251973034565,-0.0720010344612875,-0.0720010344612873,-0.631984090904216
4.1,0.156464756063231,-0.058058426005538,-0.0580584260055379,-0.579122957524004
4.2,0.0692863088995871,-0.0404662996871216,-0.0404662996871216,-0.493219483331552
4.3,-0.0175974258153504,-0.0201372803024354,-0.0201372803024351,-0.383861134161431
4.4,-0.103577197481453,0.00155467151877407,0.00155467151877457,-0.264523329990665
4.5,-0.188113240662173,0.0229958102957605,0.0229958102957604,-0.150123021559318
