"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(2,1)) []","re(S(2,2)) []"
3,0.930618829907282,0.0658514582480355,0.0658514582480356,0.482528997546176
3.1,0.893910084801642,0.0781769206369086,0.0781769206369086,0.355804663238164
3.2,0.848436031498818,0.0902210355914594,0.0902210355914593,0.221450888625954
3.3,0.794913929556432,0.101560118157752,0.101560118157752,0.083131207163095
3.4,0.734133904734781,0.111634262058289,0.111634262058288,-0.0545385124996702
3.5,0.666953021883391,0.119722512242104,0.119722512242104,-0.185855139602222
3.6,0.594287160012534,0.124936657693645,0.124936657693645,-0.304018931751044
3.7,0.517097124911047,0.126256863894594,0.126256863894594,-0.401398705915299
3.8,0.436364266709757,0.122639190853861,0.122639190853861,-0.470260724363469
3.9,0.35305168347785,0.113218757406462,0.113218757406462,-0.504104040436379
4,0.268052275070805,0.0975979043622237,0.0975979043622237,-0.499517710326483
4.1,0.182135311917228,0.0761417235209339,0.076141723520934,-0.458044888102497
4.2,0.0959140090338468,0.0501358012538507,0.0501358012538504,-0.387119158213818
4.3,0.00985660429249346,0.0216651188022088,0.0216651188022092,-0.299192043830714
4.4,-0.075655344366509,-0.0068028516459008,-0.00680285164590047,-0.208989694210981
4.5,-0.160245701666691,-0.0329692354679801,-0.03296923546798,-0.1299763075672
