"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(1,3)) []","re(S(1,4)) []","re(S(2,1)) []","re(S(2,2)) []","re(S(2,3)) []","re(S(2,4)) []","re(S(3,1)) []","re(S(3,2)) []","re(S(3,3)) []","re(S(3,4)) []","re(S(4,1)) []","re(S(4,2)) []","re(S(4,3)) []","re(S(4,4)) []"
3,-0.396056141292159,-0.0337885356014754,0.599814436969628,-0.0116064356933735,-0.0337885356014754,-0.249361894181156,-0.0116968145153602,0.266807349023332,0.599814436969629,-0.0116968145153601,-0.393444478104428,-0.0337609178851726,-0.0116064356933899,0.266807349023333,-0.0337609178851889,-0.249286360436816
3.1,-0.439347847939396,-0.0329020962302918,0.5446579180497,-0.00616064514817866,-0.0329020962302922,-0.243600142567841,-0.00622942821058477,0.137354399672174,0.544657918049702,-0.00622942821058465,-0.437114097404295,-0.0328754729561464,-0.00616064514818202,0.137354399672174,-0.0328754729561494,-0.243557450069955
3.2,-0.473433051301147,-0.0323122358169771,0.479537424466735,-0.00162539337042734,-0.0323122358169773,-0.234982536374272,-0.00167096428214954,0.000993889474631305,0.479537424466738,-0.0016709642821496,-0.471603106539327,-0.0322908348666214,-0.00162539337042687,0.000993889474631643,-0.0322908348666209,-0.234972150356416
3.3,-0.49721482229449,-0.03174744434216,0.404391383633275,0.00197359977491808,-0.0317474443421599,-0.223963470927761,0.00195229141104063,-0.138594268445237,0.404391383633278,0.00195229141104046,-0.495797853354815,-0.0317344136110923,0.00197359977491845,-0.138594268445236,-0.0317344136110919,-0.223986115383125
3.4,-0.509756171109953,-0.030925259821108,0.319311392238672,0.00466408354430046,-0.0309252598211078,-0.210690751706664,0.00466776792939365,-0.277209076823258,0.319311392238674,0.00466776792939346,-0.508743267463376,-0.0309226429625967,0.00466408354430023,-0.277209076823259,-0.0309226429625968,-0.210749563680972
3.5,-0.510363742351165,-0.0295578212032452,0.224594577784639,0.00648092023812668,-0.0295578212032451,-0.19500893360701,0.00650995356302815,-0.410334855378578,0.22459457778464,0.00650995356302797,-0.509727442545155,-0.0295665403452986,0.00648092023812653,-0.41033485537858,-0.0295665403452986,-0.195110189905897
3.6,-0.498682705623986,-0.0273749462767925,0.120811018092709,0.00744759656799813,-0.0273749462767926,-0.176441765334888,0.00750169087669208,-0.533329871783101,0.120811018092709,0.00750169087669187,-0.498377640724152,-0.0273948737949092,0.00744759656799845,-0.533329871783103,-0.0273948737949088,-0.176595317632105
3.7,-0.474798016416478,-0.0241632741191464,0.008887554541459,0.00757468908729836,-0.0241632741191466,-0.154147427376682,0.00765250039912869,-0.641548099603804,0.00888755454145907,0.00765250039912843,-0.474762828388899,-0.0241934873218844,0.0075746890872987,-0.641548099603802,-0.0241934873218841,-0.154366826798543
3.8,-0.43933594285298,-0.0198073073739418,-0.109793528312226,0.00686870909591275,-0.0198073073739418,-0.126847669276646,0.00696737998707996,-0.730378176410065,-0.109793528312225,0.00696737998707962,-0.439496541546821,-0.0198465177384588,0.00686870909591209,-0.730378176410058,-0.0198465177384595,-0.127149728171379
3.9,-0.393558679996803,-0.0143119176837681,-0.233287653611262,0.00534750950220874,-0.0143119176837679,-0.0927491573126628,0.00546231309546639,-0.795245956836834,-0.23328765361126,0.00546231309546599,-0.393832794280913,-0.0143589377804662,0.00534750950220651,-0.795245956836821,-0.0143589377804681,-0.093152343391059
4,-0.339443303504579,-0.00779527646707723,-0.358987661905545,0.00305921291577799,-0.00779527646707712,-0.0495196176547162,0.00318350102105304,-0.83171181724775,-0.358987661905544,0.00318350102105264,-0.3397461887875,-0.00784934238821165,0.00305921291577519,-0.831711817247739,-0.00784934238821394,-0.0500402287003093
4.1,-0.279732748370638,-0.000466730551189576,-0.483555501621654,0.000101394444468227,-0.000466730551190007,0.00551782608567682,0.000227073099196657,-0.835874143387659,-0.483555501621654,0.000227073099196249,-0.279983845444606,-0.000527549808668194,0.000101394444467643,-0.835874143387655,-0.000527549808669099,0.00487291045340438
4.2,-0.217938870077068,0.00736650092209016,-0.602922770225184,-0.00336217227385099,0.00736650092208891,0.0746296437360639,-0.00324346204134371,-0.805291757797623,-0.602922770225187,-0.0032434620413442,-0.218069140490893,0.007299113001985,-0.00336217227384625,-0.805291757797626,0.00729911300198654,0.0738732415539124
4.3,-0.158264552986503,0.0152013526310132,-0.712404519813871,-0.00708606693470583,0.0152013526310113,0.157862665686026,-0.00698096521669689,-0.740427383484484,-0.712404519813877,-0.00698096521669762,-0.158224054881101,0.0151286605384874,-0.00708606693469572,-0.740427383484487,0.01512866053849,0.157033956837996
4.4,-0.105395460443394,0.0221038343413657,-0.806966742366612,-0.0107180508911469,0.0221038343413641,0.250105930935462,-0.0106285679897173,-0.64610710597129,-0.806966742366616,-0.0106285679897184,-0.105160339859553,0.0220310481715361,-0.0107180508911376,-0.646107105971286,0.0220310481715369,0.249256127215008
4.5,-0.0641027945407573,0.0264447448233107,-0.881663928172606,-0.0137336553433118,0.0264447448233092,0.338897482592016,-0.0136528605519586,-0.531939577007215,-0.8816639281726,-0.0136528605519596,-0.0636801663446989,0.0263855172622107,-0.0137336553433121,-0.531939577007213,0.0263855172622114,0.338040483686006
