"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(1,3)) []","re(S(1,4)) []","re(S(2,1)) []","re(S(2,2)) []","re(S(2,3)) []","re(S(2,4)) []","re(S(3,1)) []","re(S(3,2)) []","re(S(3,3)) []","re(S(3,4)) []","re(S(4,1)) []","re(S(4,2)) []","re(S(4,3)) []","re(S(4,4)) []"
3,-0.21024966299315,0.046197275765373,-0.713371699076113,-0.0375625884734138,0.0461972757653727,-0.207500374589365,-0.0376354266773987,-0.585823624373168,-0.713371699076111,-0.0376354266773988,-0.208870938742081,0.04613776409869,-0.0375625884734139,-0.585823624373169,0.0461377640986904,-0.207377402018351
3.1,-0.269266331245391,0.0453609403990351,-0.687810446958991,-0.0314102570006139,0.0453609403990338,-0.212203712620302,-0.0314898820131189,-0.500314337921618,-0.687810446958989,-0.0314898820131193,-0.2680432015863,0.0452940086929023,-0.0314102570006275,-0.500314337921615,0.0452940086929201,-0.212032913155
3.2,-0.324826178200304,0.043361497028895,-0.655800440128064,-0.0238352731544836,0.0433614970288942,-0.210179500516777,-0.0239138717438436,-0.405599355389383,-0.655800440128064,-0.0239138717438438,-0.323776064750174,0.0432905360787285,-0.0238352731544986,-0.405599355389381,0.0432905360787484,-0.20998171223016
3.3,-0.376410853789521,0.0412019678065404,-0.617195235478194,-0.0159042336725276,0.0412019678065406,-0.204124614978616,-0.0159748455221543,-0.301973197624508,-0.617195235478195,-0.0159748455221541,-0.375545137312681,0.0411319729974575,-0.0159042336725373,-0.301973197624509,0.0411319729974692,-0.203921303226689
3.4,-0.423456959604297,0.0395610563370151,-0.571991985645221,-0.00837555055280245,0.0395610563370157,-0.196210951993774,-0.00843278365183353,-0.190256790672549,-0.571991985645222,-0.00843278365183306,-0.42278005313781,0.0394972956686375,-0.00837555055280583,-0.190256790672548,0.0394972956686403,-0.196020070733643
3.5,-0.46535754269464,0.0386996325002339,-0.520307691254087,-0.00164772691955616,0.0386996325002342,-0.187976700981389,-0.00168794531705713,-0.0719331287396956,-0.520307691254087,-0.00168794531705655,-0.464866074367055,0.0386468549011028,-0.00164772691955553,-0.071933128739691,0.038646854901101,-0.187811460576593
3.6,-0.501479862646149,0.038563235255942,-0.46235851917681,0.0041481318130553,0.0385632352559419,-0.18040100339807,0.00412686324257311,0.0507807344061936,-0.46235851917681,0.00412686324257357,-0.501162060499884,0.0385255170353316,0.00414813181305708,0.0507807344062031,0.0385255170353295,-0.180270240713597
3.7,-0.531196337615741,0.0389193614560263,-0.398442437978728,0.00903213430198521,0.038919361456026,-0.174013849206375,0.00903012809793674,0.174956268469624,-0.398442437978727,0.00903012809793692,-0.531031694723989,0.0389002847004901,0.00903213430198622,0.174956268469637,0.0389002847004896,-0.173922957596132
3.8,-0.55392374300163,0.0394561168606141,-0.328925893418849,0.0130895131804394,0.0394561168606137,-0.168964328272264,0.0131054427237413,0.297077075662096,-0.328925893418848,0.0131054427237411,-0.553883013651302,0.039459051631997,0.0130895131804391,0.297077075662109,0.0394590516319981,-0.168916210226076
3.9,-0.569164213201202,0.0398353845609233,-0.254235399669744,0.0164208180994875,0.039835384560923,-0.165010794381244,0.0164515629060552,0.413226565110695,-0.254235399669743,0.0164515629060548,-0.569209759632785,0.0398638160426229,0.0164208180994862,0.413226565110705,0.0398638160426246,-0.165006674762008
4,-0.576541176439456,0.0397145717567386,-0.174854877844947,0.0191182400874623,0.0397145717567385,-0.161409585508319,0.0191585919859471,0.519252708656562,-0.174854877844947,0.0191585919859466,-0.576627663297172,0.0397725030114297,0.0191182400874611,0.519252708656565,0.039772503011431,-0.161449749089486
4.1,-0.575824790118316,0.0387505516042411,-0.0913294007175783,0.021257388551761,0.038750551604241,-0.156682318812508,0.0212996431989091,0.610790387912781,-0.091329400717578,0.0212996431989089,-0.575900218732572,0.0388430159367409,0.0212573885517608,0.61079038791278,0.0388430159367413,-0.156766978399397
4.2,-0.566945079132195,0.0365953260490722,-0.00427572524195945,0.0228975756841356,0.0365953260490722,-0.148260306656657,0.0229310608882988,0.683040886478591,-0.00427572524195948,0.0229310608882992,-0.566952161664047,0.0367289763669431,0.0228975756841363,0.68304088647859,0.0367289763669424,-0.148390895139258
4.3,-0.54999640398214,0.0328915060318383,0.0856004036731497,0.0240873584655933,0.0328915060318384,-0.132078008457873,0.0240980091925683,0.730332872890329,0.0856004036731497,0.0240980091925696,-0.549874277656434,0.0330750983017968,0.0240873584655938,0.73033287289033,0.0330750983017955,-0.132259163065778
4.4,-0.525242747703095,0.0272783681697619,0.177480766222146,0.0248754163351061,0.0272783681697622,-0.102368312477714,0.0248456971571817,0.745818817104958,0.177480766222147,0.0248456971571836,-0.524928993297489,0.0275226748580655,0.0248754163351049,0.745818817104959,0.0275226748580643,-0.102610606356351
4.5,-0.493137231244511,0.0194259633261386,0.270406409667051,0.0253321480450972,0.0194259633261388,-0.0522099292341305,0.0252424315264725,0.722282042677332,0.270406409667052,0.0252424315264724,-0.492570077243602,0.0197422005616211,0.0253321480450977,0.722282042677331,0.0197422005616213,-0.0525332872266093
