"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(2,1)) []","re(S(2,2)) []"
3,0.93525837604073,-0.0526868520053185,-0.0526868520053184,0.308993009188828
3.1,0.897541768345774,-0.0610946280528484,-0.0610946280528483,0.172746068986894
3.2,0.851106332828454,-0.0691301776621245,-0.0691301776621243,0.0330479778388665
3.3,0.796657202309138,-0.0765218180049711,-0.0765218180049709,-0.106312777410894
3.4,0.734950982482486,-0.0829287296707871,-0.082928729670787,-0.240880593175126
3.5,0.666791331725143,-0.0879293564736652,-0.0879293564736653,-0.365469464499829
3.6,0.593023429425282,-0.0910170730621142,-0.0910170730621145,-0.474188398960448
3.7,0.514525503021321,-0.0916117094499114,-0.0916117094499117,-0.560639125947393
3.8,0.432195940467444,-0.0890988535053932,-0.0890988535053934,-0.618392301218107
3.9,0.346935448871083,-0.0829095747110347,-0.0829095747110348,-0.641839194218291
4,0.259625186088023,-0.0726466230569129,-0.0726466230569128,-0.627433058135492
4.1,0.171103489996353,-0.0582442055731168,-0.0582442055731167,-0.575141840827782
4.2,0.0821452141320878,-0.0401178069669637,-0.0401178069669638,-0.489658244490586
4.3,-0.00655187365402128,-0.0192330710679981,-0.0192330710679984,-0.380709786555772
4.4,-0.09437006223521,0.00297292523243396,0.0029729252324336,-0.261934085530447
4.5,-0.180762610013731,0.0248291623434831,0.0248291623434828,-0.148360913188694
