"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(1,3)) []","re(S(1,4)) []","re(S(2,1)) []","re(S(2,2)) []","re(S(2,3)) []","re(S(2,4)) []","re(S(3,1)) []","re(S(3,2)) []","re(S(3,3)) []","re(S(3,4)) []","re(S(4,1)) []","re(S(4,2)) []","re(S(4,3)) []","re(S(4,4)) []"
3,0.128930231527205,-0.0159860001314744,0.820863274216824,-0.0214509408341872,-0.0159860001314741,0.0041004943935441,-0.0215644150895454,0.920938831890514,0.820863274216824,-0.0215644150895454,0.132555930125652,-0.0158871292341385,-0.021450940834187,0.920938831890515,-0.0158871292341386,0.00386487784242617
3.1,0.0858139460244501,-0.0242985465947479,0.832824766520805,-0.0272811515548708,-0.0242985465947478,-0.00984950439473891,-0.0274288826525582,0.891927144443398,0.832824766520808,-0.0274288826525583,0.0896075791915955,-0.0242035388129896,-0.0272811515548708,0.891927144443388,-0.0242035388129882,-0.010017247521942
3.2,0.0403610064353625,-0.03313881063811,0.837761852998007,-0.0332230378304536,-0.0331388106381101,-0.0216966083560141,-0.0334062387996476,0.849730840474473,0.837761852998012,-0.0334062387996474,0.0442807370008222,-0.0330535122355403,-0.0332230378304532,0.849730840474463,-0.0330535122355382,-0.0217950692623798
3.3,-0.00674308763513385,-0.0420988989574037,0.836037303688641,-0.0388568854756603,-0.0420988989574042,-0.0304492584728919,-0.0390716805775292,0.794881434012437,0.836037303688645,-0.0390716805775288,-0.00274013759525733,-0.0420309860728678,-0.03885688547566,0.794881434012435,-0.0420309860728667,-0.0304851861517764
3.4,-0.0546889294776509,-0.050569935438318,0.828184549412176,-0.0435816394073507,-0.0505699354383187,-0.0349288789610164,-0.0438181249871667,0.72844942104117,0.828184549412179,-0.0438181249871663,-0.0506447674477015,-0.0505287624870579,-0.0435816394073514,0.728449421041172,-0.0505287624870584,-0.03491988097824
3.5,-0.102530415412774,-0.0577466117042778,0.814886922470543,-0.046631202843176,-0.0577466117042784,-0.0339305983221768,-0.0468740477850506,0.652298365005641,0.814886922470546,-0.0468740477850504,-0.098484728862036,-0.0577420957272632,-0.0466312028431777,0.65229836500564,-0.0577420957272645,-0.0339060244307575
3.6,-0.149265281657114,-0.0627577978438409,0.796877863595303,-0.0471994463217867,-0.0627577978438411,-0.0265322860840772,-0.0474295955428063,0.568952862579468,0.796877863595306,-0.0474295955428063,-0.145254568017509,-0.062798226757606,-0.0471994463217882,0.568952862579463,-0.0627982267576067,-0.0265302605611111
3.7,-0.194041386291793,-0.064953930454799,0.77475486190163,-0.0447130437020249,-0.0649539304547988,-0.0125217448196763,-0.0449098679810583,0.480956815956253,0.774754861901632,-0.0449098679810586,-0.190098768209538,-0.065043320349645,-0.0447130437020249,0.48095681595625,-0.0650433203496446,-0.0125813200193162
3.8,-0.236389228095363,-0.0642256574667144,0.748787114655738,-0.0391559837633692,-0.0642256574667142,0.0072019118664748,-0.0393008678813835,0.390220824006146,0.748787114655739,-0.0393008678813841,-0.232545288078994,-0.0643618862195705,-0.0391559837633687,0.39022082400615,-0.0643618862195701,0.00705154125416596
3.9,-0.276283308363432,-0.0611022988921303,0.718861313873981,-0.0311922407618693,-0.0611022988921304,0.03048128183737,-0.0312742738974863,0.297963483485407,0.718861313873981,-0.0312742738974867,-0.272567968327638,-0.0612770282480114,-0.03119224076187,0.297963483485415,-0.0612770282480121,0.0302293251668236
4,-0.313962731004502,-0.0565137199964601,0.684632122441374,-0.0219263414851502,-0.0565137199964606,0.0541686547134469,-0.0219459260212746,0.205168805930632,0.684632122441373,-0.0219459260212744,-0.310407034929603,-0.0567141440654898,-0.0219263414851524,0.205168805930638,-0.0567141440654915,0.0538239771069009
4.1,-0.349668006644075,-0.0513982607343822,0.645771646683395,-0.0124846496503582,-0.0513982607343827,0.0747318841813552,-0.012450987018752,0.113049574877057,0.645771646683393,-0.0124509870187514,-0.346304372715467,-0.0516097742828608,-0.01248464965036,0.113049574877059,-0.0516097742828625,0.0743166716074416
4.2,-0.383477621374171,-0.0464278491762857,0.602150338217231,-0.00373345046329884,-0.0464278491762859,0.0889018850612691,-0.0036596244153165,0.0232293263139801,0.602150338217231,-0.00365962441531618,-0.380338464035888,-0.046636478555995,-0.00373345046329934,0.0232293263139803,-0.0466364785559959,0.0884426158143286
4.3,-0.415281143931292,-0.041943000024152,0.553881413318938,0.00377975304281663,-0.0419430000241518,0.0940766966213468,0.00387926724932321,-0.0623309124683223,0.553881413318938,0.00387926724932292,-0.412396903622826,-0.042136904981671,0.00377975304281671,-0.0623309124683216,-0.042136904981671,0.0935977448123616
4.4,-0.444825387503046,-0.0380199759968843,0.501272093871416,0.00978030491317796,-0.0380199759968839,0.0884147202607988,0.00989105235847587,-0.14154120129886,0.501272093871416,0.00989105235847532,-0.44222289160571,-0.0381899938464379,0.00978030491317784,-0.141541201298857,-0.0381899938464377,0.0879358564134188
4.5,-0.471772388087778,-0.0345674803097286,0.444750180629506,0.014213349385058,-0.0345674803097284,0.0707651274459429,0.0143236123169977,-0.212433416294314,0.444750180629506,0.0143236123169975,-0.469473833105341,-0.0347070649026979,0.0142133493850582,-0.212433416294314,-0.0347070649026978,0.0702999443578358
