"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(1,3)) []","im(S(1,4)) []","im(S(2,1)) []","im(S(2,2)) []","im(S(2,3)) []","im(S(2,4)) []","im(S(3,1)) []","im(S(3,2)) []","im(S(3,3)) []","im(S(3,4)) []","im(S(4,1)) []","im(S(4,2)) []","im(S(4,3)) []","im(S(4,4)) []"
3,0.160807044462967,0.00337609292952393,-0.825137664957351,0.0125431657359556,0.0033760929295233,-0.0652115289710688,0.0125515534400804,-0.839540031989144,-0.825137664957346,0.012551553440081,0.162889444696589,0.00304062019572415,0.0125431657359553,-0.839540031989141,0.00304062019572506,-0.0651245087135342
3.1,0.118683815424967,0.0135199416601508,-0.853009840885575,0.0107203631219783,0.0135199416601514,-0.0311323862646654,0.0107038719804074,-0.873955258099323,-0.853009840885574,0.0107038719804083,0.121285022667436,0.0131778843065823,0.0107203631219764,-0.873955258099312,0.013177884306583,-0.0308801712688997
3.2,0.0641507628843347,0.0225442047842084,-0.861048128204701,0.00809331414084291,0.0225442047842086,0.000927015373758668,0.00805171944893642,-0.887441627521403,-0.8610481282047,0.00805171944893751,0.0672514414084218,0.0222039235310818,0.0080933141408424,-0.887441627521392,0.0222039235310819,0.00133561472907553
3.3,-0.00104056778507587,0.030659615118872,-0.849743507618306,0.00560205490482088,0.0306596151188715,0.0313508885991054,0.00553687210355466,-0.878249695908744,-0.849743507618307,0.00553687210355515,0.00250580380347352,0.0303284414579329,0.00560205490482151,-0.878249695908738,0.0303284414579327,0.0318907956664532
3.4,-0.0746560974619918,0.0379768632606008,-0.820332222389177,0.00395059381358616,0.0379768632606001,0.0606255802945137,0.00386473895450647,-0.845323275275576,-0.820332222389178,0.00386473895450632,-0.0707501791824171,0.037661306234945,0.00395059381358668,-0.845323275275575,0.037661306234945,0.0612595969212029
3.5,-0.15413809030762,0.0445244973764315,-0.774659427780807,0.00360030602196099,0.044524497376431,0.0892706459018684,0.00349821206375762,-0.788406668093007,-0.774659427780808,0.00349821206375744,-0.14998639407993,0.0442305348113934,0.0036003060219608,-0.78840666809301,0.0442305348113938,0.0899529453158406
3.6,-0.23675588581141,0.0502677348586571,-0.715005776559255,0.0048098736255992,0.0502677348586569,0.117774739361309,0.00469780839047104,-0.70809413049734,-0.715005776559256,0.00469780839047134,-0.232493051268749,0.0500011522492964,0.00480987362559862,-0.708094130497343,0.0500011522492971,0.118453970477329
3.7,-0.319746015797492,0.0551257044449816,-0.643908995142717,0.00766960846254958,0.0551257044449816,0.146511957008097,0.00755601760305452,-0.60584622260905,-0.643908995142717,0.00755601760305529,-0.31551955005619,0.0548924954521292,0.00766960846254934,-0.605846222609055,0.0548924954521296,0.147134710814233
3.8,-0.40043691491283,0.0589845253705434,-0.56400392395729,0.0121177528061506,0.0589845253705433,0.175602796324667,0.01201350268874,-0.484026777779486,-0.56400392395729,0.0120135026887407,-0.396398699386238,0.0587913580901796,0.012117752806151,-0.484026777779493,0.0587913580901795,0.176118543360824
3.9,-0.476351823097444,0.0617021542897631,-0.477893716192895,0.0179442627653456,0.0617021542897628,0.20466763221005,0.0178626598186066,-0.346031125217523,-0.477893716192895,0.0178626598186068,-0.472649833838794,0.0615568542005546,0.0179442627653463,-0.346031125217535,0.061556854200554,0.205036290329462
4,-0.5452842656632,0.0630999841817463,-0.388055317654119,0.0247918999135244,0.0630999841817465,0.232409174993733,0.0247483327907049,-0.196559606615803,-0.388055317654119,0.0247483327907049,-0.542055087723931,0.0630118861605635,0.0247918999135244,-0.196559606615816,0.0630118861605632,0.232611462043375
4.1,-0.605343616792658,0.0629380033931381,-0.29677580826249,0.0321630127705153,0.0629380033931396,0.2559955706849,0.0321740200836044,-0.0420087786132228,-0.296775808262491,0.0321740200836051,-0.602706160775343,0.0629178626090436,0.0321630127705138,-0.042008778613228,0.0629178626090445,0.256042792748993
4.2,-0.654972573026706,0.0608795870515242,-0.206112980553144,0.0394374793606601,0.0608795870515276,0.270406351852776,0.0395190146211521,0.109223157628842,-0.206112980553146,0.0395190146211544,-0.653023210842738,0.0609385032379533,0.0394374793606576,0.109223157628854,0.060938503237956,0.270340147798642
4.3,-0.692942482989158,0.056479198184276,-0.117873015897548,0.0459053278624291,0.05647919818428,0.268391612118336,0.0460700282062594,0.246958044509879,-0.11787301589755,0.0460700282062632,-0.691751648042996,0.0566258481791153,0.0459053278624267,0.246958044509906,0.0566258481791185,0.268265211949683
4.4,-0.718335320669799,0.0492845559496909,-0.0335992917052883,0.0508176786833227,0.049284555949693,0.242269290005508,0.0510711408266924,0.360527060241834,-0.03359929170529,0.051071140826696,-0.71794549787976,0.0495206043525012,0.0508176786833218,0.360527060241858,0.0495206043525027,0.242138643728828
4.5,-0.730522142138036,0.0392020602511256,0.0454317420536392,0.0534608925671807,0.0392020602511257,0.188114732759814,0.0537974336338373,0.441263250955329,0.0454317420536395,0.0537974336338374,-0.730947122063942,0.0395180054697314,0.0534608925671801,0.441263250955331,0.0395180054697319,0.18814348641363
