"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(1,3)) []","re(S(1,4)) []","re(S(2,1)) []","re(S(2,2)) []","re(S(2,3)) []","re(S(2,4)) []","re(S(3,1)) []","re(S(3,2)) []","re(S(3,3)) []","re(S(3,4)) []","re(S(4,1)) []","re(S(4,2)) []","re(S(4,3)) []","re(S(4,4)) []"
3,0.328210933584905,-0.0806600633514321,0.344780693245084,-0.0161886061759427,-0.080660063351433,-0.244133732900762,-0.0161375426402713,0.265067633670524,0.344780693245083,-0.016137542640271,0.32744558654363,-0.080650430432651,-0.0161886061759417,0.265067633670523,-0.0806504304326504,-0.244345855835292
3.1,0.382301596383206,-0.0766604472617538,0.218496938404965,-0.0126276167584982,-0.0766604472617541,-0.238910373774814,-0.0125729002457245,0.135039829782226,0.218496938404963,-0.012572900245726,0.381732991996515,-0.0767018390624601,-0.0126276167584998,0.135039829782221,-0.0767018390624585,-0.239111943600791
3.2,0.429315694983867,-0.0720088837602106,0.0917334589812134,-0.0110169329992481,-0.0720088837602105,-0.230697401247758,-0.0109667714317326,-0.00158051363453903,0.0917334589812118,-0.0109667714317336,0.429076736298348,-0.0721014510632747,-0.0110169329992502,-0.00158051363454223,-0.0721014510632733,-0.230836350637115
3.3,0.466632701212274,-0.0667636200370331,-0.0320929856006857,-0.0112966433324993,-0.0667636200370332,-0.2199914752136,-0.0112585926391114,-0.141174813146303,-0.0320929856006863,-0.0112585926391116,0.466852226984454,-0.066906315999079,-0.0112966433325002,-0.141174813146306,-0.0669063159990783,-0.220023690325576
3.4,0.492169055296279,-0.0609166856789554,-0.14980375425441,-0.0131033247261791,-0.060916685678956,-0.206991353750163,-0.013084520223167,-0.279633311467608,-0.14980375425441,-0.013084520223167,0.492962336205829,-0.0611078712326146,-0.0131033247261786,-0.279633311467612,-0.0611078712326145,-0.206883635348107
3.5,0.504431373534965,-0.0544378623762875,-0.258647901731842,-0.0159342385144987,-0.0544378623762884,-0.191586014267469,-0.0159415239229403,-0.412516418111854,-0.258647901731842,-0.0159415239229405,0.505891851414985,-0.0546756514711896,-0.0159342385144977,-0.412516418111858,-0.0546756514711898,-0.191317944785677
3.6,0.502534111190816,-0.0473008569687836,-0.356418580367977,-0.0192351982348058,-0.0473008569687843,-0.173326678947,-0.0192749855760405,-0.535213757345879,-0.356418580367977,-0.0192749855760405,0.504727043290094,-0.0475832963913155,-0.0192351982348054,-0.535213757345881,-0.0475832963913153,-0.17289228850715
3.7,0.486185785094422,-0.0394973627475063,-0.441499073725746,-0.0224394804183012,-0.0394973627475064,-0.151374267341307,-0.0225173168825763,-0.643065253059515,-0.441499073725746,-0.0225173168825757,0.489144169217457,-0.0398224619794642,-0.0224394804183015,-0.643065253059512,-0.0398224619794636,-0.150783961356447
3.8,0.455646389635253,-0.031041878042392,-0.512852336814181,-0.0249887865624397,-0.0310418780423916,-0.124424354254676,-0.025108632352058,-0.731430155364707,-0.512852336814181,-0.0251086323520567,0.459369287079783,-0.0314074366183668,-0.0249887865624401,-0.731430155364699,-0.0314074366183661,-0.123706898689301
3.9,0.411660510504815,-0.0219704130573845,-0.569972609515001,-0.0263549938675117,-0.0219704130573839,-0.0906352736649902,-0.0265182197757498,-0.795736567007978,-0.569972609515,-0.0265182197757484,0.416113651855952,-0.0223735431412286,-0.0263549938675118,-0.795736567007968,-0.0223735431412283,-0.0898385094886437
4,0.355373822476186,-0.012339561677474,-0.612816947981049,-0.0260699567624359,-0.0123395616774736,-0.0476399804528026,-0.0262740928317502,-0.831614296711907,-0.612816947981048,-0.0262740928317496,0.360492190602991,-0.0127757806161637,-0.0260699567624356,-0.8316142967119,-0.0127757806161641,-0.0468272801716829
4.1,0.288243093010635,-0.00223913812431364,-0.641730530408209,-0.02376349586993,-0.00223913812431324,0.00716959287565146,-0.0240008244325714,-0.835288950199157,-0.641730530408207,-0.024000824432572,0.293935051122165,-0.00270094126637944,-0.0237634958699303,-0.835288950199156,-0.00270094126638023,0.0079311390594961
4.2,0.21195025667104,0.00815835226590926,-0.657374513595192,-0.0192065337432971,0.00815835226591086,0.0757586361160845,-0.0194627436507807,-0.80443420864605,-0.657374513595192,-0.0194627436507821,0.218102743466857,0.00768332928153018,-0.0192065337432991,-0.804434208646049,0.00768332928153032,0.0764179995326127
4.3,0.128329350450921,0.0184799373702955,-0.660660603104429,-0.0123556867891019,0.0184799373702996,0.157693288570482,-0.0126090085297288,-0.739520986502997,-0.66066060310443,-0.0126090085297298,0.13481369736902,0.0180104704952477,-0.0123556867891058,-0.739520986502985,0.01801047049525,0.158225936713027
4.4,0.0393116537260864,0.0279561962024784,-0.652693151471472,-0.00339521147077658,0.0279561962024837,0.248064488081911,-0.00361671461790412,-0.645257509424946,-0.652693151471474,-0.00361671461790376,0.0459896691600014,0.0275169617354812,-0.00339521147078057,-0.645257509424924,0.0275169617354846,0.24843839246199
4.5,-0.0531098603588877,0.0352633558129612,-0.634717703140904,0.00723079009627525,0.0352633558129617,0.337460637451582,0.00707485910792491,-0.531143756521346,-0.634717703140908,0.00707485910792516,-0.0463797833416412,0.0348802031789749,0.00723079009627515,-0.531143756521347,0.0348802031789746,0.337574239512517
