"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(2,1)) []","im(S(2,2)) []"
3,-0.0168246323252913,-0.0652335226226498,-0.0652335226226499,-0.893683816856395
3.1,-0.113004849864222,-0.0584169362370793,-0.0584169362370797,-0.900350243528102
3.2,-0.207454829107693,-0.049028417032287,-0.0490284170322874,-0.879995001835739
3.3,-0.299191118071537,-0.0368349853831193,-0.0368349853831196,-0.831541041795295
3.4,-0.38725886166531,-0.0216925833843958,-0.0216925833843959,-0.755041978748075
3.5,-0.470747357041925,-0.00362210052537443,-0.00362210052537445,-0.652228858365835
3.6,-0.548815538522045,0.0170931413473261,0.0170931413473261,-0.527122605574373
3.7,-0.620723736476724,0.0398036125029329,0.0398036125029331,-0.386547426982371
3.8,-0.685862711179917,0.0634177191729511,0.0634177191729514,-0.240261545746777
3.9,-0.743768526379343,0.0864057954648255,0.086405795464826,-0.100360717670313
4,-0.794115177772956,0.106935015969587,0.106935015969588,0.0202699503663821
4.1,-0.836685351253242,0.123148131797565,0.123148131797565,0.110300624657935
4.2,-0.871328585078347,0.133525869894057,0.133525869894057,0.162425050396323
4.3,-0.897920262267211,0.137206379749118,0.137206379749117,0.174986112944328
4.4,-0.916332676602178,0.134133532251618,0.134133532251617,0.152054739368138
4.5,-0.926423487675821,0.124984907033923,0.124984907033923,0.101987661023642
