"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(2,1)) []","re(S(2,2)) []"
3,0.950784323141374,-0.0616052835798456,-0.0616052835798455,0.215418541553854
3.1,0.943060087188993,-0.074061682425251,-0.0740616824252511,0.0700243411167167
3.2,0.925603138428119,-0.0862024245485423,-0.0862024245485425,-0.0754155326446465
3.3,0.898705047769081,-0.0974973059689096,-0.0974973059689097,-0.215400586334058
3.4,0.8627613738442,-0.107261057167943,-0.107261057167943,-0.343520171363159
3.5,0.818280249356227,-0.114648362357911,-0.114648362357911,-0.452612747241382
3.6,0.76588538235004,-0.118683604927664,-0.118683604927664,-0.535225846614787
3.7,0.706306089940662,-0.118346795819549,-0.118346795819548,-0.584489859816269
3.8,0.640349992481407,-0.112731262191004,-0.112731262191004,-0.595425042379092
3.9,0.568860964560794,-0.101265394984579,-0.101265394984579,-0.566488705345526
4,0.492672722071684,-0.0839491966709432,-0.083949196670943,-0.500881363071586
4.1,0.412572091064189,-0.0615145549101117,-0.0615145549101113,-0.4069450274451
4.2,0.329282763120603,-0.0354131592244615,-0.0354131592244613,-0.29715210249375
4.3,0.243472172512992,-0.00759545988917528,-0.00759545988917542,-0.185771426062501
4.4,0.155776072179644,0.0198543966257072,0.0198543966257067,-0.0859937779822255
4.5,0.0668313553045456,0.045089737933141,0.0450897379331411,-0.00758365489324653
