"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(1,3)) []","im(S(1,4)) []","im(S(2,1)) []","im(S(2,2)) []","im(S(2,3)) []","im(S(2,4)) []","im(S(3,1)) []","im(S(3,2)) []","im(S(3,3)) []","im(S(3,4)) []","im(S(4,1)) []","im(S(4,2)) []","im(S(4,3)) []","im(S(4,4)) []"
3,0.0515716762456044,0.0793472301920157,0.194052415080483,-0.0233866745990667,0.0793472301920163,-0.147408137669342,0.0233967352047433,0.121669413559402,0.194052415080484,0.0233967352047432,0.0520234321971419,-0.0793955230443626,-0.0233866745990676,0.121669413559402,-0.0793955230443623,-0.147579744589918
3.1,0.0571036505883717,0.0815759662033177,0.0965174519410659,-0.0233650160023902,0.0815759662033139,-0.139168393135937,0.0232898332853111,0.226398272660162,0.0965174519410656,0.0232898332853131,0.0573546743783569,-0.0816364292075652,-0.0233650160023885,0.226398272660163,-0.0816364292075606,-0.13928262877503
3.2,0.063122916307755,0.0814341174300343,-0.00113950981052979,-0.0221159999446298,0.0814341174300315,-0.128062828098435,0.0219354853743555,0.325787031598156,-0.00113950981053064,0.0219354853743572,0.0632027484371196,-0.0815076149576429,-0.0221159999446282,0.325787031598155,-0.0815076149576397,-0.128137386221872
3.3,0.0699232663700911,0.0784364895266576,-0.0975380294189692,-0.0192170332626098,0.0784364895266576,-0.114290561212665,0.0189150187279606,0.417877064007883,-0.0975380294189693,0.0189150187279608,0.0698727775208119,-0.0785226855709121,-0.01921703326261,0.41787706400788,-0.0785226855709124,-0.114336928825303
3.4,0.0778254374056613,0.0721280344995674,-0.191264001659852,-0.0143207903164712,0.0721280344995689,-0.0984926562904244,0.013889740511259,0.50054086301663,-0.191264001659851,0.0138897405112575,0.0776920548089083,-0.0722239385336116,-0.0143207903164735,0.500540863016627,-0.0722239385336133,-0.0985104455461831
3.5,0.0870096064688186,0.0622103296394102,-0.281011319073678,-0.00734271296393253,0.0622103296394112,-0.081925991691704,0.00678876587651434,0.571855147589727,-0.281011319073676,0.00678876587651219,0.0868422018043887,-0.0623092084536142,-0.0073427129639354,0.571855147589726,-0.0623092084536153,-0.0818983930622611
3.6,0.0972881347633354,0.0488533629135202,-0.365806523768857,0.00131899863806717,0.0488533629135204,-0.0665467559717872,-0.00197290612758542,0.630695636336881,-0.365806523768855,-0.00197290612758699,0.0971333210659513,-0.0489450044421803,0.0013189986380652,0.630695636336882,-0.0489450044421806,-0.0664402953534707
3.7,0.107949440356568,0.0329437213905405,-0.445209363883099,0.0106723331710049,0.0329437213905405,-0.0548831003501687,-0.0113880734251474,0.676986122892102,-0.445209363883099,-0.0113880734251481,0.107850075418531,-0.0330159987361522,0.0106723331710042,0.676986122892102,-0.0330159987361527,-0.0546545768316892
3.8,0.117825960863893,0.0159196096695505,-0.519303666060151,0.019297691976055,0.0159196096695508,-0.0496208918426078,-0.0200294057252996,0.711223593086208,-0.519303666060153,-0.0200294057252999,0.117821879914807,-0.0159608300766403,0.0192976919760549,0.711223593086208,-0.0159608300766409,-0.0492310054140229
3.9,0.125599891800143,-0.000763147085430883,-0.588405428360965,0.0257950625467819,-0.000763147085430559,-0.0529775099536128,-0.0264997873956306,0.733763859817932,-0.588405428360967,-0.026499787395631,0.125730694264308,0.00076176925953188,0.0257950625467816,0.733763859817932,0.000761769259531537,-0.0524054410149212
4,0.13016880165174,-0.0160998380341803,-0.652672307989006,0.0292577014155501,-0.0160998380341802,-0.0661131963743873,-0.0299039144827311,0.744543820196825,-0.652672307989006,-0.0299039144827316,0.130477543354285,0.0161426968220519,0.0292577014155497,0.744543820196826,0.016142696822052,-0.0653640455650119
4.1,0.130863656289488,-0.0296564557336329,-0.711882705522373,0.0294776301525952,-0.0296564557336329,-0.0888550140883534,-0.030048050075507,0.743284334651352,-0.711882705522373,-0.0300480500755072,0.131398989593023,0.0297437411897758,0.0294776301525952,0.743284334651354,0.029743741189776,-0.0879561264010686
4.2,0.127457766813542,-0.0414236696902508,-0.765462052521044,0.0268331063881731,-0.0414236696902509,-0.119818083640634,-0.0273221779142767,0.729844324476577,-0.765462052521044,-0.0273221779142766,0.12827270626972,0.0415527299819813,0.0268331063881735,0.729844324476577,0.0415527299819813,-0.118807546040088
4.3,0.120044533925116,-0.0516086607966188,-0.812640268519621,0.02203473297917,-0.0516086607966189,-0.156761838618742,-0.0224437750181394,0.704498774803799,-0.812640268519622,-0.0224437750181394,0.121192320748865,0.0517755564779541,0.0220347329791701,0.704498774803799,0.051775556477954,-0.15567585659164
4.4,0.108888039049213,-0.060478977033093,-0.85260799627043,0.0159111733954119,-0.0604789770330932,-0.196926676251285,-0.0162438539576791,0.668081917105669,-0.852607996270431,-0.0162438539576792,0.110417102749622,0.060679605718924,0.0159111733954116,0.668081917105667,0.0606796057189239,-0.195789965784236
4.5,0.0943059519968922,-0.0682753723298728,-0.88461721550084,0.00929668732490017,-0.0682753723298728,-0.237192930256344,-0.00955575231793664,0.622005357259614,-0.884617215500838,-0.00955575231793648,0.0962557578966263,0.0685060233851117,0.00929668732490018,0.622005357259613,0.0685060233851119,-0.236011707580741
