"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(1,3)) []","re(S(1,4)) []","re(S(2,1)) []","re(S(2,2)) []","re(S(2,3)) []","re(S(2,4)) []","re(S(3,1)) []","re(S(3,2)) []","re(S(3,3)) []","re(S(3,4)) []","re(S(4,1)) []","re(S(4,2)) []","re(S(4,3)) []","re(S(4,4)) []"
3,-0.0234681321540002,0.0125889768860171,0.962654493501652,-0.00866609650095935,0.0125889768860345,0.00426658007722547,0.0090818019235463,-0.918170993361695,0.962654493501655,0.00908180192352905,-0.0214060753842472,-0.0125842931075197,-0.00866609650097615,-0.918170993361697,-0.0125842931075364,0.00306823890346441
3.1,-0.0212214014900876,0.0250605079479461,0.973866697414411,-0.0134996708251727,0.0250605079479555,-0.0092398811873563,0.0139580704152782,-0.888137715569056,0.973866697414413,0.0139580704152675,-0.0192526178808961,-0.0250624699092679,-0.0134996708251826,-0.888137715569052,-0.0250624699092761,-0.010433885108304
3.2,-0.0186719931432582,0.0388185740364354,0.974569530375039,-0.0189271631416047,0.0388185740364384,-0.0205654432239819,0.0194100389148049,-0.84502716842587,0.974569530375038,0.0194100389147995,-0.0168439169883611,-0.0388316122305851,-0.0189271631416089,-0.845027168425864,-0.0388316122305867,-0.0217634548036109
3.3,-0.0156906888642664,0.0533735365232168,0.964854313864658,-0.0246149333532304,0.0533735365232173,-0.0286518382972414,0.0250949828815151,-0.789443773319761,0.964854313864656,0.025094982881513,-0.0140409878192296,-0.0534036368114072,-0.0246149333532311,-0.789443773319757,-0.0534036368114067,-0.0298721954565589
3.4,-0.0119112539115822,0.0680376130293828,0.945121775017902,-0.0299577164160236,0.0680376130293837,-0.0322819583202064,0.0303991091459554,-0.722524534878181,0.945121775017899,0.0303991091459545,-0.0104651393729593,-0.0680919821282239,-0.0299577164160234,-0.72252453487818,-0.0680919821282243,-0.0335502040771881
3.5,-0.00667010142808122,0.0818013538663859,0.916155285859504,-0.034072456612882,0.0818013538663873,-0.0302711542852005,0.0344343325805844,-0.64619590181553,0.916155285859502,0.0344343325805834,-0.00544050280431868,-0.0818867827826327,-0.0340724566128824,-0.64619590181553,-0.0818867827826338,-0.0316133529951116
3.6,0.000918405231939982,0.0933655275840961,0.879088861804135,-0.035941319480429,0.093365527584097,-0.021802004058849,0.0361847981949969,-0.563001216997629,0.879088861804134,0.0361847981949957,0.00192833218229523,-0.0934861801113902,-0.0359413194804301,-0.563001216997629,-0.0934861801113908,-0.0232346217786769
3.7,0.0117035735262789,0.101514980088247,0.835184833074952,-0.0347416600429371,0.101514980088247,-0.00684981590229723,0.0348388446756836,-0.475397403744221,0.835184833074953,0.0348388446756829,0.0124969540395772,-0.101670673288234,-0.0347416600429379,-0.475397403744221,-0.101670673288234,-0.00836958899401489
3.8,0.026152774884057,0.105638764221364,0.785472199645464,-0.0302433293899088,0.105638764221364,0.0134633564681695,0.0301843287755868,-0.385134096582951,0.785472199645463,0.0301843287755869,0.026735705469284,-0.105824310037837,-0.0302433293899086,-0.385134096582951,-0.105824310037837,0.0118836935995393
3.9,0.0441312018558949,0.105940729547872,0.730478737305805,-0.023007183528869,0.105940729547872,0.0368032090759028,0.0228010483821163,-0.293319962473087,0.730478737305802,0.0228010483821168,0.0445108210107946,-0.106146748691034,-0.0230071835288684,-0.293319962473089,-0.106146748691034,0.0352088927874251
4,0.0649475489581955,0.103192858871436,0.670261784328908,-0.0142096575224775,0.103192858871436,0.0599589131591099,0.013878655092613,-0.200948907677886,0.670261784328905,0.0138786550926134,0.0651329415266292,-0.103407953889842,-0.0142096575224772,-0.200948907677887,-0.103407953889843,0.0583984959718139
4.1,0.0876024424856267,0.0983156087073954,0.604680747496071,-0.00521799804957484,0.0983156087073955,0.0794564483365724,0.00478886163548832,-0.109322577832776,0.60468074749607,0.00478886163548846,0.0876085527303924,-0.0985287733432628,-0.00521799804957489,-0.109322577832776,-0.0985287733432628,0.0779661576426029
4.2,0.111063061427477,0.0920837880932796,0.533683435560673,0.00279282716252259,0.0920837880932797,0.0921553875522427,-0.0032961404214705,-0.020156657908757,0.533683435560673,-0.00329614042147037,0.110915575461684,-0.0922859062974314,0.00279282716252257,-0.0201566579087571,-0.0922859062974312,0.0907499434289902
4.3,0.134439877287374,0.0850249613539241,0.457458332537243,0.00901292022877514,0.0850249613539242,0.0955912204460386,-0.00957282606509787,0.0645407312453487,0.457458332537244,-0.00957282606509775,0.134178476651813,-0.0852091402944015,0.00901292022877526,0.0645407312453487,-0.0852091402944014,0.0942628588530709
4.4,0.157047001282202,0.077437294860512,0.376456415743558,0.0129922744856191,0.077437294860512,0.0880397072800084,-0.0135980777882534,0.142690419649866,0.376456415743558,-0.0135980777882535,0.156725844544977,-0.0775984272456389,0.012992274485619,0.142690419649866,-0.0775984272456389,0.0867621671398174
4.5,0.17838548780048,0.0694481631372652,0.29134896237234,0.0145710701141585,0.0694481631372649,0.0684597513985032,-0.0152180291049141,0.212383497893461,0.291348962372339,-0.0152180291049141,0.178071470771841,-0.0695821936875933,0.0145710701141582,0.212383497893461,-0.069582193687593,0.0671937217414169
