"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(1,3)) []","re(S(1,4)) []","re(S(2,1)) []","re(S(2,2)) []","re(S(2,3)) []","re(S(2,4)) []","re(S(3,1)) []","re(S(3,2)) []","re(S(3,3)) []","re(S(3,4)) []","re(S(4,1)) []","re(S(4,2)) []","re(S(4,3)) []","re(S(4,4)) []"
3,0.441606610593511,-0.0933958539682884,0.329374775610333,-0.0248050041979475,-0.0933958539682883,-0.241262856445605,-0.0248607166146628,0.263426621948762,0.329374775610335,-0.0248607166146627,0.442668813920811,-0.0933807945954464,-0.0248050041979476,0.263426621948762,-0.0933807945954461,-0.241544676337355
3.1,0.492277604645351,-0.0892754967545706,0.222461967577848,-0.0220936487850346,-0.0892754967545714,-0.236006988435269,-0.0221277687558749,0.133291060630021,0.222461967577849,-0.0221277687558748,0.492987028688112,-0.0892706912368773,-0.0220936487850339,0.13329106063002,-0.0892706912368767,-0.236214478274047
3.2,0.534013248621607,-0.0845430831531111,0.115354498526911,-0.0211136664287336,-0.0845430831531116,-0.22798339402345,-0.0211297368502413,-0.00345950058359378,0.115354498526911,-0.0211297368502413,0.534402323565004,-0.0845488749270722,-0.021113666428733,-0.00345950058359361,-0.084548874927072,-0.228054800116275
3.3,0.565117563616168,-0.079363309437942,0.0100393763964686,-0.0218551711643077,-0.0793633094379423,-0.21759692430938,-0.0218541576113184,-0.143132442887841,0.0100393763964683,-0.0218541576113187,0.565233874202166,-0.0793779485612039,-0.0218551711643078,-0.14313244288784,-0.0793779485612037,-0.217475247279111
3.4,0.584412372855804,-0.0737323006396589,-0.091569790746495,-0.0239875033180666,-0.0737323006396595,-0.20495752063258,-0.0239691690254807,-0.281537431844453,-0.0915697907464957,-0.0239691690254813,0.584314870859271,-0.0737525485949647,-0.0239875033180672,-0.281537431844454,-0.0737525485949642,-0.204594176833812
3.5,0.591207636530471,-0.0675534967623749,-0.187723645222926,-0.027025867047214,-0.0675534967623758,-0.189878975971549,-0.0269898560029934,-0.414180987265694,-0.187723645222927,-0.0269898560029939,0.590961921668541,-0.067575473877259,-0.0270258670472148,-0.414180987265697,-0.067575473877258,-0.189236423139297
3.6,0.585243176102199,-0.0606894251178957,-0.276899077726066,-0.0304163413308496,-0.0606894251178966,-0.171857212877812,-0.0303627943436446,-0.536444785148066,-0.276899077726067,-0.0303627943436449,0.584916429828367,-0.0607096130944104,-0.0304163413308502,-0.536444785148069,-0.0607096130944094,-0.170911878141725
3.7,0.566624960228059,-0.0529983568640599,-0.35783303152734,-0.0335718184999943,-0.0529983568640599,-0.150022434400182,-0.0335017562960623,-0.643703088724272,-0.357833031527342,-0.0335017562960623,0.566281175247901,-0.0530145431704891,-0.0335718184999948,-0.643703088724272,-0.0530145431704886,-0.148769056958153
3.8,0.53576862608801,-0.0443586610281997,-0.429532628706355,-0.0358925438725117,-0.0443586610281982,-0.123067541460382,-0.0358081202055942,-0.731366078372939,-0.429532628706357,-0.0358081202055942,0.535464665966289,-0.0443704882615742,-0.0358925438725123,-0.731366078372935,-0.0443704882615749,-0.121525693572675
3.9,0.493353075794859,-0.0346799573293415,-0.4912682117964,-0.0367910383268862,-0.0346799573293389,-0.0891741014156745,-0.036695500017533,-0.79489546545012,-0.491268211796401,-0.0366955000175331,0.493135876680695,-0.0346887990741135,-0.0367910383268871,-0.794895465450112,-0.0346887990741151,-0.0873967595026554
4,0.440280872615185,-0.0239035381711666,-0.542556252958442,-0.035729333078729,-0.0239035381711638,-0.0460042539498106,-0.0356263206962218,-0.829920659395337,-0.542556252958442,-0.0356263206962219,0.440185839666318,-0.0239117490229848,-0.0357293330787304,-0.82992065939533,-0.0239117490229862,-0.0440859808360412
4.1,0.377640475695934,-0.0120093950861366,-0.583138152688669,-0.0322692407701187,-0.0120093950861344,0.00907056676294423,-0.0321610652718624,-0.832660910770558,-0.583138152688669,-0.0321610652718621,0.377690903625898,-0.0120193085061427,-0.0322692407701204,-0.832660910770556,-0.0120193085061427,0.0109929628300162
4.2,0.306667270867416,0.000925406960232753,-0.612959284349467,-0.0261329038109947,0.000925406960234713,0.0781648937995812,-0.0260177759339513,-0.80085621119265,-0.612959284349467,-0.0260177759339501,0.306874486065564,0.000912801090050149,-0.0261329038109963,-0.800856211192654,0.000912801090051194,0.0799316413024365
4.3,0.228704306919313,0.014546729320882,-0.632150740241431,-0.017269270788061,0.0145467293208855,0.16105977870272,-0.0171382022235912,-0.735195238393825,-0.632150740241431,-0.0171382022235894,0.229068214898809,0.014535440557097,-0.017269270788062,-0.735195238393829,0.0145354405570973,0.162532530785207
4.4,0.145167889246348,0.0278948678320694,-0.641014467929824,-0.00591947151815978,0.0278948678320741,0.25245095266418,-0.00575455838346501,-0.640723633088327,-0.641014467929825,-0.00575455838346338,0.145677710208284,0.0279034396678469,-0.00591947151816035,-0.640723633088327,0.0279034396678452,0.25353866328907
4.5,0.0575262013431563,0.0391579967169842,-0.640011081508728,0.00733316599445911,0.0391579967169847,0.340262835405861,0.00755665977402959,-0.527182221647998,-0.64001108150873,0.00755665977402925,0.0581613528223415,0.0392305467096414,0.00733316599445857,-0.527182221647999,0.039230546709641,0.340808691917054
