"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(1,3)) []","im(S(1,4)) []","im(S(2,1)) []","im(S(2,2)) []","im(S(2,3)) []","im(S(2,4)) []","im(S(3,1)) []","im(S(3,2)) []","im(S(3,3)) []","im(S(3,4)) []","im(S(4,1)) []","im(S(4,2)) []","im(S(4,3)) []","im(S(4,4)) []"
3,0.236154765176093,-7.02965890965936E-05,-0.747427936146137,0.0055367011053063,-7.02965890965612E-05,-0.0635954005522073,0.00567442194000457,-0.840044073656315,-0.747427936146139,0.00567442194000453,0.234053325568858,-0.000118551440607269,0.00553670110530624,-0.840044073656313,-0.000118551440607153,-0.0631024464458461
3.1,0.179786410638787,0.0114488343292025,-0.772364590011917,0.0051685721066939,0.011448834329203,-0.0299826286257739,0.00530588590839872,-0.874040340506783,-0.77236459001192,0.00530588590839867,0.177743876449858,0.0113985024316353,0.00516857210669395,-0.87404034050678,0.0113985024316348,-0.0292895599595681
3.2,0.113842666005612,0.0215591734927616,-0.782596828137248,0.0039900523394681,0.0215591734927618,0.00166724032117754,0.00412666062025524,-0.887096369941502,-0.782596828137252,0.00412666062025482,0.111929109149959,0.0215113956660288,0.00399005233946766,-0.887096369941499,0.0215113956660286,0.00254934534130126
3.3,0.0402432164010556,0.0306500594951877,-0.778444511713921,0.00293820880450936,0.0306500594951871,0.0317952066713841,0.0030742257543062,-0.877410820322147,-0.778444511713926,0.00307422575430554,0.0385173845775244,0.0306089734803642,0.00293820880450872,-0.877410820322147,0.0306089734803646,0.0328349139530687
3.4,-0.0388763897902799,0.0389993924094198,-0.760577852930102,0.0027266420618337,0.0389993924094186,0.060901692506311,0.0028613301272577,-0.843934864444071,-0.760577852930107,0.00286133012725705,-0.0403706313723502,0.0389678341757486,0.00272664206183328,-0.843934864444074,0.0389678341757494,0.0620506473257997
3.5,-0.121308904245522,0.0467668723228193,-0.729974248791313,0.00383603573424522,0.0467668723228183,0.089489489993772,0.00396773568685639,-0.786468045033896,-0.729974248791318,0.00396773568685588,-0.122544765624277,0.0467459100430437,0.00383603573424511,-0.786468045033899,0.0467459100430443,0.090684867041036
3.6,-0.204876493632325,0.0540004860085678,-0.687855986252453,0.00655063809494749,0.0540004860085675,0.118010625274189,0.00667707571389762,-0.705679254147989,-0.687855986252457,0.00667707571389717,-0.205844819483438,0.0539893955058031,0.00655063809494749,-0.705679254147989,0.053989395505803,0.119176799093717
3.7,-0.287493856172377,0.0606488368573202,-0.635621506862364,0.0109857879764949,0.0606488368573209,0.146794075481811,0.011104487943095,-0.603089781152924,-0.635621506862368,0.0111044879430944,-0.288202086235525,0.0606456320236117,0.0109857879764946,-0.603089781152921,0.0606456320236108,0.147844373906448
3.8,-0.367205654561738,0.0665767125275477,-0.574780027857621,0.0170951402825528,0.0665767125275488,0.175921834072722,0.017204024878733,-0.481089398888991,-0.574780027857624,0.0172040248787324,-0.36767549693282,0.0665791929671988,0.0170951402825522,-0.481089398888987,0.0665791929671976,0.176762014469441
3.9,-0.442210523252773,0.0715784903224401,-0.50689563126637,0.0246644265474267,0.0715784903224407,0.205005036855891,0.0247627191790242,-0.343071104311744,-0.506895631266373,0.0247627191790237,-0.442474824340618,0.0715855053924224,0.0246644265474258,-0.343071104311742,0.071585505392422,0.205541151958762
4,-0.510879457706384,0.0753771013776077,-0.433543343182867,0.0333028261244406,0.0753771013776078,0.232795145883616,0.0333921733192143,-0.193741282803623,-0.433543343182869,0.0333921733192143,-0.510978786698221,0.0753896078388051,0.0333028261244397,-0.193741282803623,0.0753896078388056,0.232949306398359
4.1,-0.571770716801443,0.0775921293064624,-0.356276847507299,0.042441923169429,0.0775921293064627,0.256577800658122,0.042527267085479,-0.0395568656906952,-0.356276847507301,0.0425272670854796,-0.57175008857064,0.0776139720458925,0.0424419231694285,-0.0395568656906955,0.0776139720458931,0.256313826574942
4.2,-0.623638889446879,0.0776732365317837,-0.27660559027471,0.0513500543229608,0.0776732365317858,0.27143399040334,0.0514393770157021,0.110963226481231,-0.276605590274711,0.0514393770157031,-0.623544869021674,0.0777123272454815,0.0513500543229607,0.110963226481236,0.0777123272454806,0.270785463948023
4.3,-0.665433880292655,0.0748501279618321,-0.195978138418748,0.0591689612997642,0.0748501279618358,0.269901220055298,0.0592708551478561,0.247548028339689,-0.19597813841875,0.0592708551478571,-0.665312104216122,0.0749204234800376,0.0591689612997643,0.247548028339702,0.0749204234800346,0.268971043411045
4.4,-0.696286654034049,0.0682698917177861,-0.115768604593791,0.0649807946217619,0.0682698917177886,0.243370083285757,0.0650992715476977,0.359634382332223,-0.115768604593792,0.0650992715476981,-0.696179633329364,0.0683901219401339,0.0649807946217618,0.359634382332239,0.0683901219401312,0.242251794506529
4.5,-0.715482252694581,0.0575751550657862,-0.0372635151144226,0.067914248851566,0.057575155065787,0.186670499937169,0.0680416092885601,0.438967023289234,-0.0372635151144228,0.0680416092885607,-0.71542724112495,0.0577526262913872,0.0679142488515653,0.438967023289238,0.0577526262913877,0.185306964729247
